HAND-WIN%-TOTALWINS-TOTALLOSS-TOTALDRAWS
['1414', 84.43, 7656, 1412, 0]
['1313', 81.44, 7428, 1693, 0]
['1212', 78.84, 7090, 1903, 0]
['1111', 76.34, 6878, 2132, 0]
['1010', 74.09, 6711, 2347, 0]
['0909', 71.37, 6477, 2598, 0]
['0808', 67.92, 6161, 2910, 0]
['1314s', 67.27, 4020, 1956, 0]
['1114s', 66.56, 4107, 2063, 0]
['1314', 65.72, 11943, 6230, 0]
['1214s', 65.68, 3989, 2084, 0]
['0707', 64.71, 5889, 3211, 0]
['1214', 64.66, 11695, 6392, 0]
['1014s', 64.42, 3835, 2118, 0]
['1213s', 63.36, 3830, 2215, 0]
['0814s', 63.17, 3847, 2243, 0]
['1114', 63.12, 11474, 6704, 0]
['0606', 63.1, 5689, 3327, 0]
['1014', 62.94, 11290, 6648, 0]
['1013s', 62.62, 3774, 2253, 0]
['0914s', 62.38, 3779, 2279, 0]
['1213', 61.62, 11189, 6968, 0]
['1113s', 61.49, 3812, 2387, 0]
['0914', 61.08, 11144, 7101, 0]
['1112s', 61.02, 3647, 2330, 0]
['0714s', 60.29, 3616, 2382, 0]
['0913s', 60.28, 3653, 2407, 0]
['1013', 60.21, 10939, 7230, 0]
['1113', 59.98, 10923, 7288, 0]
['0814', 59.92, 10795, 7220, 0]
['0514s', 59.89, 3570, 2391, 0]
['1012s', 59.41, 3647, 2492, 0]
['0614s', 59.28, 3529, 2424, 0]
['0714', 59.13, 10720, 7411, 0]
['0505', 58.95, 5401, 3761, 0]
['0314s', 58.74, 3547, 2491, 0]
['0414s', 58.43, 3556, 2530, 0]
['1011s', 58.32, 3550, 2537, 0]
['0813s', 58.1, 3524, 2541, 0]
['0214s', 58.09, 3447, 2487, 0]
['0713s', 58.06, 3488, 2520, 0]
['0614', 57.92, 10595, 7697, 0]
['0912s', 57.92, 3468, 2520, 0]
['1112', 57.8, 10606, 7743, 0]
['0514', 57.63, 10268, 7549, 0]
['1012', 57.43, 10538, 7811, 0]
['0913', 57.42, 10369, 7690, 0]
['0613s', 56.9, 3478, 2634, 0]
['0414', 56.56, 10193, 7829, 0]
['0314', 56.5, 10207, 7858, 0]
['0513s', 56.48, 3410, 2628, 0]
['0413s', 56.29, 3360, 2609, 0]
['0813', 56.28, 10106, 7851, 0]
['0404', 55.77, 5053, 4008, 0]
['1011', 55.73, 10021, 7961, 0]
['0712s', 55.41, 3325, 2676, 0]
['0214', 55.29, 9974, 8064, 0]
['0912', 55.28, 9897, 8007, 0]
['0713', 55.24, 10081, 8170, 0]
['0812s', 55.12, 3360, 2736, 0]
['0911s', 54.51, 3176, 2650, 0]
['0811s', 54.17, 3291, 2784, 0]
['0812', 54.03, 9772, 8315, 0]
['0613', 53.7, 9665, 8332, 0]
['0612s', 53.57, 3205, 2778, 0]
['0513', 53.39, 9617, 8395, 0]
['0313s', 53.13, 3191, 2815, 0]
['0911', 52.89, 9665, 8610, 0]
['0413', 52.79, 9514, 8508, 0]
['0213s', 52.77, 3116, 2789, 0]
['0910s', 52.74, 3179, 2849, 0]
['0711s', 52.58, 3168, 2857, 0]
['0512s', 52.32, 3095, 2820, 0]
['0712', 51.88, 9374, 8695, 0]
