HAND-WIN%-TOTALWINS-TOTALLOSS-TOTALDRAWS
['1414', 83.99, 7692, 1466, 0]
['1313', 81.5, 7407, 1681, 0]
['1212', 78.19, 7047, 1966, 0]
['1111', 75.89, 6832, 2170, 0]
['1010', 74.18, 6738, 2345, 0]
['0909', 70.84, 6446, 2653, 0]
['0808', 67.97, 6225, 2933, 0]
['1314s', 66.31, 3966, 2015, 0]
['1314', 65.96, 11914, 6148, 0]
['1114s', 65.88, 4005, 2074, 0]
['0707', 65.48, 5806, 3061, 0]
['1214s', 65.46, 3962, 2091, 0]
['1014s', 65.05, 3978, 2137, 0]
['1213s', 64.65, 3942, 2155, 0]
['1214', 64.49, 11689, 6436, 0]
['1114', 63.56, 11544, 6618, 0]
['1014', 63.17, 11450, 6675, 0]
['0914s', 62.95, 3835, 2257, 0]
['1113s', 62.64, 3717, 2217, 0]
['0606', 62.53, 5643, 3382, 0]
['0814s', 62.31, 3795, 2296, 0]
['1013s', 62.06, 3798, 2322, 0]
['1113', 60.96, 11153, 7143, 0]
['0914', 60.95, 10987, 7039, 0]
['1213', 60.9, 11092, 7122, 0]
['0913s', 60.57, 3630, 2363, 0]
['0614s', 60.4, 3624, 2376, 0]
['0714s', 60.39, 3715, 2437, 0]
['1112s', 60.23, 3663, 2419, 0]
['1012s', 59.92, 3679, 2461, 0]
['0514s', 59.84, 3612, 2424, 0]
['0814', 59.7, 10729, 7243, 0]
['1013', 59.27, 10622, 7299, 0]
['0505', 59.2, 5281, 3640, 0]
['0714', 59.15, 10630, 7341, 0]
['0414s', 59.09, 3556, 2462, 0]
['1112', 58.48, 10588, 7516, 0]
['0813s', 58.41, 3498, 2491, 0]
['0314s', 58.22, 3504, 2515, 0]
['0214s', 58.1, 3564, 2570, 0]
['0514', 57.68, 10547, 7738, 0]
['0913', 57.56, 10488, 7734, 0]
['0614', 57.33, 10481, 7801, 0]
['1011s', 57.31, 3457, 2575, 0]
['0613s', 57.17, 3430, 2570, 0]
['1012', 57.06, 10288, 7742, 0]
['0713s', 56.71, 3428, 2617, 0]
['0413s', 56.7, 3390, 2589, 0]
['0912s', 56.63, 3487, 2670, 0]
['0414', 56.62, 10325, 7912, 0]
['0911s', 56.62, 3493, 2676, 0]
['0813', 56.12, 10208, 7980, 0]
['0513s', 55.75, 3344, 2654, 0]
['0314', 55.72, 9977, 7929, 0]
['0912', 55.56, 10025, 8017, 0]
['0404', 55.55, 4993, 3996, 0]
['0713', 55.44, 10021, 8056, 0]
['1011', 55.32, 9961, 8046, 0]
['0313s', 55.1, 3390, 2762, 0]
['0812s', 55.04, 3318, 2710, 0]
['0214', 54.92, 9955, 8173, 0]
['0613', 54.58, 9886, 8226, 0]
['0910s', 54.56, 3256, 2712, 0]
['0512s', 54.46, 3247, 2715, 0]
['0513', 54.13, 9814, 8318, 0]
['0712s', 54.13, 3276, 2776, 0]
['0812', 53.74, 9679, 8331, 0]
['0911', 53.67, 9757, 8424, 0]
['0213s', 53.64, 3197, 2763, 0]
['0612s', 53.12, 3197, 2822, 0]
['0811s', 52.4, 3142, 2854, 0]
['0711s', 52.36, 3116, 2835, 0]
['0303', 52.23, 4674, 4275, 0]
['0810s', 52.19, 3185, 2918, 0]
['0910', 52.08, 9360, 8614, 0]
['0413', 52.07, 9512, 8754, 0]
['0313', 52.02, 9433, 8701, 0]
['0712', 51.78, 9441, 8791, 0]
['0312s', 51.75, 3107, 2897, 0]
['0412s', 51.63, 3108, 2912, 0]
['0611s', 51.37, 3104, 2938, 0]
['0213', 50.94, 9224, 8882, 0]
['0710s', 50.79, 3080, 2984, 0]
['0811', 50.72, 9135, 8877, 0]
['0212s', 50.7, 3095, 3009, 0]
['0512', 50.54, 9243, 9044, 0]
['0612', 50.52, 9157, 8968, 0]
['0809s', 50.37, 3090, 3045, 0]
['0711', 49.98, 9022, 9029, 0]
['0810', 49.92, 9046, 9075, 0]
['0709s', 49.87, 2964, 2980, 0]
['0511s', 49.39, 2972, 3046, 0]
['0202', 48.97, 4401, 4587, 0]
['0411s', 48.73, 2940, 3093, 0]
['0412', 48.58, 8687, 9194, 0]
['0710', 48.54, 8844, 9377, 0]
['0311s', 48.53, 2946, 3125, 0]
['0609s', 48.5, 2947, 3129, 0]
['0510s', 48.38, 2978, 3177, 0]
['0610s', 48.3, 2889, 3092, 0]
['0611', 48.13, 8786, 9468, 0]
['0708s', 48.13, 2920, 3147, 0]
['0809', 47.91, 8635, 9389, 0]
['0312', 47.84, 8669, 9452, 0]
['0410s', 47.6, 2897, 3189, 0]
