['win', [[11, 'D'], [10, 'C']], '2 Pairs']
['win', [[12, 'D'], [2, 'S']], '2 Pairs']
['win', [[11, 'D'], [14, 'D']], '2 Pairs']
['win', [[10, 'D'], [6, 'D']], '3 of a Kind']
['win', [[11, 'S'], [5, 'D']], '3 of a Kind']
['win', [[12, 'C'], [3, 'C']], '3 of a Kind']
['win', [[9, 'S'], [4, 'H']], '2 Pairs']
['win', [[10, 'S'], [7, 'H']], '2 Pairs']
['win', [[13, 'S'], [4, 'D']], 'Flush']
['win', [[12, 'D'], [13, 'H']], '2 Pairs']
['win', [[2, 'H'], [2, 'C']], '3 of a Kind']
['win', [[10, 'H'], [7, 'D']], 'Straight']
['win', [[7, 'H'], [3, 'S']], 'Straight']
['win', [[11, 'C'], [10, 'D']], '2 Pairs']
['win', [[14, 'C'], [2, 'C']], 'Flush']
['win', [[2, 'D'], [3, 'S']], 'Pair']
['win', [[9, 'S'], [4, 'C']], 'Straight']
['win', [[4, 'H'], [12, 'S']], 'Flush']
['win', [[13, 'D'], [13, 'S']], 'Flush']
['win', [[14, 'S'], [2, 'S']], 'Straight']
['win', [[7, 'H'], [5, 'C']], '3 of a Kind']
['win', [[10, 'D'], [10, 'S']], '3 of a Kind']
['win', [[13, 'D'], [11, 'D']], '2 Pairs']
['win', [[14, 'C'], [8, 'D']], '2 Pairs']
['win', [[8, 'D'], [7, 'S']], 'Straight']
['win', [[12, 'H'], [5, 'C']], '4 of a Kind']
['win', [[14, 'D'], [9, 'S']], '3 of a Kind']
['win', [[9, 'C'], [9, 'H']], '2 Pairs']
['win', [[6, 'S'], [7, 'S']], 'Flush']
['win', [[14, 'D'], [13, 'C']], '2 Pairs']
['win', [[12, 'C'], [12, 'S']], '4 of a Kind']
['win', [[11, 'C'], [6, 'D']], '2 Pairs']
['win', [[13, 'C'], [4, 'H']], '2 Pairs']
['win', [[5, 'S'], [8, 'S']], '2 Pairs']
['win', [[7, 'D'], [9, 'S']], '3 of a Kind']
['win', [[11, 'H'], [8, 'H']], 'Flush']
['win', [[14, 'H'], [4, 'D']], '2 Pairs']
['win', [[5, 'H'], [11, 'C']], '2 Pairs']
['win', [[3, 'H'], [12, 'S']], 'Full House']
['win', [[13, 'D'], [12, 'S']], '3 of a Kind']
['win', [[14, 'H'], [12, 'S']], 'Pair']
['win', [[11, 'S'], [2, 'D']], 'Pair']
['win', [[9, 'D'], [3, 'C']], '3 of a Kind']
['win', [[8, 'C'], [7, 'C']], 'Flush']
['win', [[14, 'C'], [2, 'S']], 'Pair']
['win', [[8, 'S'], [11, 'S']], 'Straight']
['win', [[7, 'H'], [7, 'S']], 'Full House']
['win', [[12, 'H'], [3, 'S']], '2 Pairs']
['win', [[10, 'D'], [7, 'D']], '3 of a Kind']
['win', [[10, 'D'], [10, 'H']], 'Full House']
['win', [[14, 'S'], [14, 'H']], 'Pair']
['win', [[8, 'C'], [4, 'H']], '2 Pairs']
['win', [[10, 'S'], [9, 'C']], '3 of a Kind']
['win', [[10, 'H'], [2, 'H']], '3 of a Kind']
['win', [[5, 'H'], [8, 'S']], 'Straight']
['win', [[6, 'H'], [2, 'D']], '2 Pairs']
['win', [[9, 'D'], [14, 'C']], '2 Pairs']
['win', [[2, 'H'], [7, 'S']], '2 Pairs']
['win', [[13, 'C'], [12, 'H']], 'Pair']
['win', [[12, 'S'], [12, 'C']], '3 of a Kind']
['win', [[4, 'S'], [3, 'S']], 'Straight']
['win', [[12, 'S'], [12, 'H']], 'Full House']
['win', [[9, 'C'], [3, 'H']], '4 of a Kind']
['win', [[11, 'D'], [6, 'D']], '3 of a Kind']
['win', [[12, 'C'], [14, 'D']], 'Full House']
['win', [[8, 'D'], [5, 'H']], '2 Pairs']
['win', [[7, 'S'], [10, 'C']], 'Straight']
['win', [[12, 'S'], [9, 'S']], 'Flush']
['win', [[5, 'S'], [2, 'C']], '2 Pairs']
['win', [[13, 'D'], [2, 'D']], '2 Pairs']
['win', [[14, 'D'], [7, 'C']], '2 Pairs']
['win', [[14, 'D'], [10, 'C']], '2 Pairs']
['win', [[8, 'C'], [3, 'C']], 'Flush']
['win', [[6, 'H'], [6, 'S']], 'Full House']
['win', [[12, 'H'], [3, 'S']], '3 of a Kind']
['win', [[14, 'S'], [8, 'S']], 'Flush']
['win', [[8, 'D'], [11, 'C']], '2 Pairs']
['win', [[12, 'S'], [14, 'C']], '2 Pairs']
['win', [[7, 'D'], [6, 'H']], 'Pair']
['win', [[10, 'D'], [9, 'C']], 'Straight']
['win', [[3, 'H'], [2, 'C']], '2 Pairs']
['win', [[6, 'S'], [9, 'C']], '2 Pairs']
['win', [[5, 'C'], [8, 'C']], 'Full House']
['win', [[14, 'C'], [14, 'H']], '3 of a Kind']
['win', [[11, 'S'], [13, 'H']], 'Pair']
['win', [[13, 'C'], [14, 'S']], 'Flush']
['win', [[13, 'H'], [4, 'H']], 'Flush']
['win', [[14, 'D'], [5, 'D']], '2 Pairs']
['win', [[10, 'D'], [10, 'S']], 'Full House']
['win', [[4, 'C'], [5, 'H']], 'Full House']
['win', [[13, 'D'], [3, 'D']], '2 Pairs']
['win', [[10, 'S'], [13, 'D']], 'Straight']
['win', [[2, 'S'], [11, 'S']], '2 Pairs']
['win', [[8, 'H'], [6, 'S']], 'Straight']
['win', [[4, 'C'], [12, 'D']], '2 Pairs']
['win', [[6, 'H'], [11, 'S']], 'Full House']
['win', [[4, 'C'], [13, 'S']], '2 Pairs']
['win', [[12, 'C'], [11, 'H']], '2 Pairs']
['win', [[14, 'D'], [6, 'H']], '2 Pairs']
['win', [[6, 'H'], [11, 'C']], '2 Pairs']
['win', [[12, 'H'], [8, 'H']], '2 Pairs']
['win', [[12, 'D'], [5, 'S']], '3 of a Kind']
['win', [[13, 'D'], [12, 'H']], '2 Pairs']
['win', [[11, 'H'], [7, 'H']], '3 of a Kind']
['win', [[12, 'D'], [7, 'D']], 'Flush']
['win', [[2, 'D'], [6, 'S']], 'Full House']
['win', [[6, 'H'], [12, 'H']], 'Flush']
['win', [[14, 'S'], [11, 'C']], '2 Pairs']
['win', [[13, 'C'], [7, 'H']], 'Straight']
['win', [[8, 'C'], [7, 'S']], 'Straight']
