['win', [[4, 'H'], [4, 'D']], '2 Pairs']
['win', [[8, 'H'], [14, 'D']], '2 Pairs']
['win', [[5, 'D'], [12, 'H']], 'Flush']
['win', [[9, 'H'], [6, 'C']], 'Full House']
['win', [[10, 'H'], [2, 'C']], 'Pair']
['win', [[13, 'S'], [9, 'D']], '2 Pairs']
['win', [[8, 'H'], [2, 'D']], 'Pair']
['win', [[9, 'S'], [14, 'H']], 'Pair']
['win', [[10, 'D'], [2, 'H']], 'Straight']
['win', [[3, 'S'], [9, 'S']], 'Straight']
['win', [[10, 'S'], [14, 'C']], '2 Pairs']
['win', [[6, 'C'], [4, 'D']], '2 Pairs']
['win', [[4, 'C'], [14, 'S']], 'Pair']
['win', [[7, 'C'], [7, 'D']], 'Pair']
['win', [[13, 'S'], [9, 'H']], 'Pair']
['win', [[6, 'C'], [13, 'D']], 'Pair']
['win', [[9, 'D'], [14, 'D']], '2 Pairs']
['win', [[4, 'C'], [13, 'C']], '2 Pairs']
['win', [[6, 'S'], [7, 'C']], '2 Pairs']
['win', [[4, 'H'], [4, 'S']], '2 Pairs']
['win', [[3, 'C'], [12, 'C']], 'Pair']
['win', [[10, 'H'], [3, 'H']], 'Flush']
['win', [[9, 'S'], [14, 'S']], 'High Card']
['win', [[11, 'S'], [12, 'D']], 'Full House']
['win', [[10, 'H'], [6, 'H']], 'Pair']
['win', [[14, 'H'], [3, 'S']], 'Straight']
['win', [[3, 'H'], [7, 'H']], 'Flush']
['win', [[9, 'D'], [14, 'S']], '2 Pairs']
['win', [[5, 'H'], [6, 'D']], 'Full House']
['win', [[9, 'S'], [6, 'S']], '2 Pairs']
['win', [[14, 'H'], [7, 'H']], 'Pair']
['win', [[14, 'S'], [9, 'C']], 'Pair']
['win', [[9, 'C'], [14, 'D']], '2 Pairs']
['win', [[13, 'S'], [5, 'S']], '4 of a Kind']
['win', [[9, 'H'], [4, 'C']], '2 Pairs']
['win', [[7, 'H'], [6, 'H']], 'Flush']
['win', [[5, 'S'], [4, 'H']], 'Full House']
['draw', [[[2, 'C'], [11, 'H']], [[7, 'D'], [12, 'D']]], 'High Card']
['win', [[8, 'S'], [12, 'D']], '2 Pairs']
['win', [[6, 'D'], [14, 'D']], 'Pair']
['win', [[13, 'C'], [14, 'D']], '2 Pairs']
['win', [[14, 'H'], [14, 'D']], '2 Pairs']
['win', [[11, 'S'], [2, 'C']], '2 Pairs']
['win', [[10, 'H'], [10, 'S']], 'Pair']
['win', [[13, 'S'], [10, 'C']], 'Flush']
['win', [[7, 'D'], [9, 'C']], '2 Pairs']
['draw', [[[2, 'C'], [9, 'H']], [[2, 'H'], [14, 'H']]], '2 Pairs']
['win', [[3, 'S'], [8, 'H']], 'Flush']
['win', [[6, 'S'], [2, 'C']], '2 Pairs']
['win', [[3, 'D'], [10, 'H']], 'Pair']
['win', [[7, 'D'], [8, 'C']], 'Pair']
['win', [[12, 'C'], [9, 'C']], 'Flush']
['win', [[3, 'H'], [5, 'D']], None]
['win', [[5, 'D'], [3, 'C']], '2 Pairs']
['win', [[13, 'S'], [4, 'C']], '2 Pairs']
['win', [[11, 'D'], [13, 'D']], 'Pair']
['win', [[11, 'D'], [12, 'C']], 'Pair']
['win', [[9, 'H'], [5, 'H']], None]
['win', [[11, 'C'], [7, 'C']], 'Straight']
['win', [[10, 'S'], [14, 'H']], 'Pair']
['win', [[12, 'S'], [8, 'S']], '3 of a Kind']
['win', [[13, 'H'], [2, 'S']], '2 Pairs']
['draw', [[[13, 'D'], [9, 'D']], [[10, 'S'], [9, 'C']]], '2 Pairs']
['win', [[10, 'S'], [12, 'H']], 'Straight']
['win', [[5, 'C'], [9, 'C']], 'Pair']
['win', [[10, 'C'], [10, 'D']], 'Flush']
['win', [[6, 'C'], [3, 'C']], 'Full House']
['win', [[9, 'C'], [9, 'S']], '2 Pairs']
['win', [[8, 'S'], [12, 'H']], 'Pair']
['win', [[14, 'H'], [7, 'S']], 'Pair']
['win', [[11, 'H'], [13, 'D']], '2 Pairs']
['win', [[2, 'D'], [8, 'D']], '2 Pairs']
['win', [[14, 'D'], [8, 'D']], 'Straight']
['win', [[5, 'S'], [4, 'H']], '3 of a Kind']
['win', [[14, 'S'], [8, 'H']], 'Pair']
['win', [[7, 'S'], [5, 'D']], 'Pair']
['win', [[12, 'D'], [14, 'H']], 'Pair']
['win', [[5, 'D'], [9, 'C']], 'Pair']
['win', [[10, 'C'], [5, 'D']], '2 Pairs']
['win', [[7, 'C'], [6, 'C']], 'Pair']
['win', [[13, 'D'], [11, 'D']], '2 Pairs']
['win', [[10, 'C'], [12, 'H']], '3 of a Kind']
['win', [[12, 'C'], [3, 'C']], '2 Pairs']
['win', [[10, 'C'], [10, 'H']], 'Full House']
['win', [[12, 'S'], [13, 'D']], 'Pair']
['win', [[12, 'S'], [11, 'C']], 'Full House']
['win', [[6, 'D'], [14, 'D']], 'Flush']
['win', [[5, 'C'], [14, 'S']], '2 Pairs']
['win', [[11, 'S'], [2, 'S']], '2 Pairs']
['win', [[3, 'H'], [6, 'C']], 'Straight']
['win', [[14, 'D'], [14, 'C']], '2 Pairs']
['win', [[6, 'C'], [5, 'H']], '2 Pairs']
['win', [[9, 'D'], [5, 'S']], 'Straight']
['win', [[10, 'D'], [14, 'H']], 'Straight']
['win', [[14, 'S'], [2, 'D']], '2 Pairs']
['win', [[10, 'H'], [12, 'H']], 'Straight']
['win', [[14, 'D'], [8, 'D']], 'Flush']
['win', [[14, 'C'], [2, 'C']], 'Pair']
['win', [[6, 'S'], [8, 'C']], '2 Pairs']
['win', [[10, 'H'], [14, 'H']], 'Pair']
['win', [[14, 'C'], [13, 'H']], 'Pair']
['win', [[5, 'S'], [6, 'D']], 'Pair']
['win', [[10, 'C'], [13, 'D']], 'Straight']
['win', [[9, 'S'], [12, 'C']], 'Pair']
['win', [[14, 'C'], [3, 'S']], '2 Pairs']
['win', [[11, 'H'], [12, 'S']], 'Pair']
['win', [[9, 'C'], [5, 'C']], 'Flush']
['win', [[8, 'H'], [10, 'D']], 'Pair']
['win', [[9, 'S'], [11, 'S']], 'Flush']
['win', [[5, 'D'], [10, 'C']], '2 Pairs']
['win', [[5, 'D'], [14, 'S']], 'Pair']
['win', [[13, 'D'], [5, 'C']], None]
['win', [[7, 'S'], [5, 'H']], '2 Pairs']
['win', [[7, 'S'], [13, 'H']], 'Pair']
['win', [[9, 'C'], [11, 'S']], 'Pair']
['win', [[8, 'D'], [14, 'D']], 'Pair']
['win', [[13, 'H'], [13, 'D']], 'Pair']
['win', [[9, 'H'], [11, 'H']], 'Flush']
['win', [[13, 'C'], [4, 'S']], 'Pair']
['win', [[3, 'S'], [2, 'S']], 'Flush']
['win', [[7, 'H'], [8, 'H']], 'Pair']
['win', [[7, 'H'], [9, 'D']], 'Pair']
['win', [[6, 'S'], [11, 'D']], 'Straight']
['win', [[3, 'C'], [14, 'S']], '2 Pairs']
