[557, 6.057613134384155]
[940, 11.162145137786865]
[13, 0.21941328048706055]
[162, 1.9717276096343994]
[160, 1.9428048133850098]
[100, 1.1983587741851807]
[100, 1.4641034603118896]
[2432, 25.33195734024048]
[345, 4.6814799308776855]
[500, 5.181912660598755]
[3295, 34.36038136482239]
[1906, 21.867997646331787]
[2040, 22.8173406124115]
[87, 1.2990248203277588]
[81, 1.3005774021148682]
[486, 9.6783926486969]
[344, 3.7210254669189453]
[82, 1.009300947189331]
[270, 3.1236462593078613]
[163, 1.9358229637145996]
[180, 2.1260297298431396]
[152, 1.820131778717041]
[360, 4.125228404998779]
[326, 3.767399311065674]
[742, 8.40370774269104]
[46, 0.7350349426269531]
[878, 10.256567239761353]
[927, 10.746017456054688]
[218, 2.704768419265747]
[55, 0.6991314888000488]
[670, 7.595684766769409]
[788, 8.892299890518188]
[563, 6.431422472000122]
[895, 10.098990440368652]
[827, 9.683243036270142]
[500, 5.928630352020264]
[3383, 38.6448187828064]
[1704, 19.4487943649292]
[2423, 33.3369197845459]
[5811, 77.13832354545593]
[6606, 82.12941288948059]
[3564, 43.972387075424194]
[8944, 114.82980179786682]
[6173, 79.10281133651733]
[4430, 63.504480600357056]
[9968, 127.90733432769775]
