Name,Frequency,Cost,Traits,,,,,,,,,,
Annie,12,4,Inferno,Summoner,,,,,,,,,
Aatrox,16,3,Light,Blademaster,,,,,,,,,
Ashe,12,4,Crystal,Ranger,,,,,,,,,
Azir,16,3,Desert,Summoner,,,,,,,,,
Brand,12,4,Inferno,Mage,,,,,,,,,
Braum,22,2,Glacial,Warden,,,,,,,,,
Diana,29,1,Inferno,Assassin,,,,,,,,,
Dr. Mundo,16,3,Poison,Berserker,,,,,,,,,
Ezreal,16,3,Glacial,Ranger,,,,,,,,,
Ivern,29,1,Woodland,Druid,,,,,,,,,
Janna,12,4,Cloud,Mystic,,,,,,,,,
Jax,22,2,Light,Berserker,,,,,,,,,
Kha'Zix,12,4,Desert,Assassin,,,,,,,,,
Kindred,16,3,Shadow,Inferno,Ranger,,,,,,,,
Kog'Maw,29,1,Poison,Predator,,,,,,,,,
Leblanc,22,2,Woodland,Mage,Assassin,,,,,,,,
Lux,10,7,Steel,Shadow,Ocean,Cloud,Glacial,Light,Crystal,Woodland,Electric,Inferno,Avatar
Malphite,12,4,Mountain,Warden,,,,,,,,,
Malzahar,22,2,Shadow,Summoner,,,,,,,,,
Maokai,29,1,Woodland,Druid,,,,,,,,,
Master Yi,10,5,Shadow,Mystic,Blademaster,,,,,,,,
Nami,10,5,Ocean,Mystic,,,,,,,,,
Nasus,29,1,Light,Warden,,,,,,,,,
Nautilus,16,3,Ocean,Warden,,,,,,,,,
Neeko,22,2,Woodland,Druid,,,,,,,,,
Nocturne,16,3,Steel,Assassin,,,,,,,,,
Olaf,12,4,Glacial,Berserker,,,,,,,,,
Ornn,29,1,Electric,Warden,,,,,,,,,
Qiyana,16,3,Mountain,Ocean,Cloud,Inferno,Assassin,,,,,,
Rek'Sai,22,2,Steel,Predator,,,,,,,,,
Renekton,29,1,Desert,Berserker,,,,,,,,,
Singed,10,5,Poison,Alchemist,,,,,,,,,
Sion,16,3,Shadow,Berserker,,,,,,,,,
Sivir,16,3,Desert,Blademaster,,,,,,,,,
Skarner,22,2,Crystal,Predator,,,,,,,,,
Soraka,16,3,Light,Mystic,,,,,,,,,
Syndra,22,2,Ocean,Mage,,,,,,,,,
Taliyah,29,1,Mountain,Mage,,,,,,,,,
Taric,10,5,Crystal,Warden,,,,,,,,,
Thresh,22,2,Ocean,Warden,,,,,,,,,
Twitch,12,4,Poison,Ranger,,,,,,,,,
Varus,22,2,Inferno,Ranger,,,,,,,,,
Vayne,29,1,Light,Ranger,,,,,,,,,
Veigar,16,3,Shadow,Mage,,,,,,,,,
Vladamir,29,1,Ocean,Mage,,,,,,,,,
Volibear,22,2,Electric,Glacial,Berserker,,,,,,,,
Warwick,29,1,Glacial,Predator,,,,,,,,,
Yasuo,22,2,Cloud,Blademaster,,,,,,,,,
Yorick,12,4,Light,Summoner,,,,,,,,,
Zed,10,5,Electric,Summoner,Assassin,,,,,,,,
Zyra,29,1,Inferno,Summoner,,,,,,,,,
