Name,Cost,Frequency,Traits,,
Diana,1,,Moonlight,Assassin,
Elise,1,,Cultist,Keeper,
Fiora,1,,Dualist,Enlightened,
Garen,1,,Warlord,Vanguard,
Lissandra,1,,Moonlight,Dazzler,
Maokai,1,,Elderwood,Brawler,
Nami,1,,Mage,Enlightened,
Nidalee,1,,Warlord,Sharpshooter,
Tahm Kench,1,,Fortune,Brawler,
Twisted Fate,1,,Cultist,Mage,
Vayne,1,,Dusk,Sharpshooter,
Wukong,1,,Divine,Vanguard,
Yasuo,1,,Exile,Dualist,
Annie,2,,Fortune,Mage,
Aphelios,2,,Moonlight,Hunter,
Hecarim,2,,Elderwood,Vanguard,
Janna,2,,Enlightened,Mystic,
Jarvan IV,2,,Warlord,Keeper,
Jax,2,,Divine,Dualist,
Lulu,2,,Elderwood,Mage,
Pyke,2,,Cultist,Assassin,
Sylas,2,,Moonlight,Brawler,
Teemo,2,,Spirit,Sharpshooter,
Thresh,2,,Dusk,Vanguard,
Vi,2,,Warlord,Brawler,
Zed,2,,Ninja,Shade,
Akali,3,,Ninja,Assassin,
Evelynn,3,,Cultist,Shade,
Irelia,3,,Divine,Enlightened,Adept
Jinx,3,,Fortune,Sharpshooter,
Kalista,3,,Cultist,Dualist,
Katarine,3,,Warlord,Assassin,Fortune
Kennen,3,,Ninja,Keeper,
Kindred,3,,Spirit,Hunter,
Lux,3,,Divine,Dazzler,
Nunu,3,,Elderwood,Brawler,
Veigar,3,,Elderwood,Mage,
Xin Zhao,3,,Warlord,Dualist,
Yummi,3,,Spirit,Mystic,
Aatrox,4,,Cultist,Vanguard,
Ahri,4,,Spirit,Mage,
Ashe,4,,Elderwood,Hunter,
Cassiopeia,4,,Dusk,Mystic,Dazzler
Jhin,4,,Cultist,Sharpshooter,
Morgana,4,,Dazzler,Enlightened,
Riven,4,,Dusk,Keeper,
Sejuani,4,,Fortune,Vanguard,
Shen,4,,Ninja,Adept,Mystic
Talon,4,,Enlightened,Assassin,
Warwick,4,,Divine,Brawler,Hunter
Azir,5,,Warlord,Keeper,Emperor
Ezreal,5,,Elderwood,Dazzler,
Kayn,5,,Shade,Tormented,
Lee Sin,5,,Divine,Dualist,
Lillia,5,,Dusk,Mage,
Sett,5,,Brawler,The Boss,
Yone,5,,Exile,Adept,
Zilean,5,,Cultist,Mystic,
