HAND-WIN%-TOTALWINS-TOTALLOSS-TOTALDRAWS
['1414', 85.36, 7763, 1331, 0]
['1313', 80.93, 7416, 1747, 0]
['1212', 78.8, 7205, 1938, 0]
['1111', 77.13, 6952, 2061, 0]
['1010', 74.33, 6685, 2309, 0]
['0909', 71.29, 6434, 2591, 0]
['0808', 68.76, 6177, 2807, 0]
['1314s', 67.05, 4086, 2008, 0]
['1214s', 66.57, 4051, 2034, 0]
['1114s', 65.64, 3983, 2085, 0]
['1314', 65.01, 11862, 6385, 0]
['0707', 64.8, 5780, 3140, 0]
['1214', 64.63, 11740, 6425, 0]
['1014s', 64.1, 3927, 2199, 0]
['0914s', 63.53, 3825, 2196, 0]
['1114', 63.46, 11501, 6621, 0]
['1014', 63.07, 11283, 6607, 0]
['1213s', 62.97, 3778, 2222, 0]
['1113s', 62.29, 3850, 2331, 0]
['0606', 62.28, 5620, 3404, 0]
['0814s', 62.07, 3806, 2326, 0]
['1213', 61.51, 11187, 6999, 0]
['0714s', 61.1, 3693, 2351, 0]
['1013s', 61.07, 3736, 2382, 0]
['1112s', 60.99, 3657, 2339, 0]
['1113', 60.51, 10980, 7165, 0]
['0914', 60.32, 10948, 7202, 0]
['0614s', 60.17, 3665, 2426, 0]
['0814', 60.07, 10830, 7200, 0]
['1013', 59.66, 10707, 7239, 0]
['0913s', 59.64, 3667, 2482, 0]
['1012s', 59.54, 3624, 2463, 0]
['0505', 59.51, 5347, 3638, 0]
['0714', 59.25, 10751, 7394, 0]
['0414s', 59.04, 3623, 2513, 0]
['1011s', 58.66, 3569, 2515, 0]
['0813s', 58.55, 3582, 2536, 0]
['0314s', 58.38, 3490, 2488, 0]
['1112', 58.22, 10511, 7542, 0]
['0514s', 58.14, 3556, 2560, 0]
['0913', 57.96, 10396, 7542, 0]
['0912s', 57.82, 3447, 2515, 0]
['0614', 57.69, 10472, 7679, 0]
['0514', 57.55, 10396, 7668, 0]
['0713s', 57.34, 3478, 2588, 0]
['0214s', 57.24, 3514, 2625, 0]
['0414', 57.23, 10328, 7719, 0]
['0613s', 57.22, 3407, 2547, 0]
['1012', 57.15, 10421, 7815, 0]
['0513s', 56.55, 3439, 2642, 0]
['0911s', 56.12, 3394, 2654, 0]
['0812s', 56.07, 3327, 2607, 0]
['0214', 56.03, 10142, 7960, 0]
['0314', 55.89, 10095, 7967, 0]
['0813', 55.85, 10082, 7969, 0]
['0404', 55.72, 5014, 3984, 0]
['1011', 55.56, 10001, 7998, 0]
['0912', 55.44, 9932, 7984, 0]
['0713', 55.12, 9967, 8114, 0]
['0313s', 54.74, 3344, 2765, 0]
['0712s', 54.74, 3338, 2760, 0]
['0910s', 54.38, 3287, 2758, 0]
['0811s', 54.28, 3193, 2689, 0]
['0613', 53.76, 9653, 8303, 0]
['0911', 53.7, 9853, 8496, 0]
['0612s', 53.65, 3224, 2785, 0]
['0812', 53.54, 9721, 8436, 0]
['0413s', 53.51, 3255, 2828, 0]
['0512s', 53.28, 3277, 2874, 0]
['0513', 53.08, 9499, 8397, 0]
['0711s', 52.71, 3185, 2858, 0]
['0810s', 52.62, 3193, 2875, 0]
['0303', 52.38, 4724, 4295, 0]
['0213s', 52.16, 3112, 2854, 0]
['0412s', 52.1, 3121, 2869, 0]
['0413', 52.0, 9396, 8674, 0]
['0910', 51.83, 9253, 8601, 0]
['0811', 51.81, 9374, 8718, 0]
['0712', 51.76, 9385, 8746, 0]
['0313', 51.67, 9409, 8802, 0]
['0612', 50.79, 9181, 8895, 0]
['0809s', 50.78, 3036, 2943, 0]
['0512', 50.75, 9179, 8908, 0]
['0213', 50.66, 9287, 9046, 0]
['0212s', 50.4, 3015, 2967, 0]
['0710s', 50.36, 3046, 3002, 0]
['0709s', 50.28, 3024, 2990, 0]
['0611s', 50.21, 3040, 3015, 0]
['0312s', 50.14, 3061, 3044, 0]
