Name,Cost,Frequency,Traits,,
Diana,1,29,Inferno,Assassin,
Ivern,1,29,Woodland,Druid,
KogMaw,1,29,Poison,Predator,
Leona,1,29,Lunar,Warden,
Maokai,1,29,Woodland,Druid,
Nasus,1,29,Light,Warden,
Ornn,1,29,Electric,Warden,
Renekton,1,29,Desert,Berserker,
Taliyah,1,29,Mountain,Mage,
Vayne,1,29,Light,Ranger,
Vladamir,1,29,Ocean,Mage,
Warwick,1,29,Glacial,Predator,
Zyra,1,29,Inferno,Summoner,
Braum,2,22,Glacial,Warden,
Jax,2,22,Light,Berserker,
Leblanc,2,22,Woodland,Mage,Assassin
Malzahar,2,22,Shadow,Summoner,
Neeko,2,22,Woodland,Druid,
RekSai,2,22,Steel,Predator,
Senna,2,22,Shadow,Soulbound,
Skarner,2,22,Crystal,Predator,
Syndra,2,22,Ocean,Mage,
Thresh,2,22,Ocean,Warden,
Varus,2,22,Inferno,Ranger,
Volibear,2,22,Electric,Glacial,Berserker
Yasuo,2,22,Cloud,Blademaster,
Aatrox,3,16,Light,Blademaster,
Azir,3,16,Desert,Summoner,
Dr. Mundo,3,16,Poison,Berserker,
Ezreal,3,16,Glacial,Ranger,
Karma,3,16,Lunar,Mystic,
Kindred,3,16,Shadow,Inferno,Ranger
Nautilus,3,16,Ocean,Warden,
Nocturne,3,16,Steel,Assassin,
Qiyana_M,3,16,Mountain,Assassin,
Qiyana_O,3,16,Ocean,Assassin,
Qiyana_C,3,16,Cloud,Assassin,
Qiyana_I,3,16,Inferno,Assassin,
Sion,3,16,Shadow,Berserker,
Sivir,3,16,Desert,Blademaster,
Soraka,3,16,Light,Mystic,
Veigar,3,16,Shadow,Mage,
Annie,4,12,Inferno,Summoner,
Ashe,4,12,Crystal,Ranger,
Brand,4,12,Inferno,Mage,
Janna,4,12,Cloud,Mystic,
KhaZix,4,12,Desert,Assassin,
Lucian,4,12,Light,Soulbound,
Malphite,4,12,Mountain,Warden,
Olaf,4,12,Glacial,Berserker,
Twitch,4,12,Poison,Ranger,
Yorick,4,12,Light,Summoner,
Master Yi,5,10,Shadow,Mystic,Blademaster
Nami,5,10,Ocean,Mystic,
Singed,5,10,Poison,Alchemist,
Taric,5,10,Crystal,Warden,
Zed,5,10,Electric,Summoner,Assassin
Lux_ST,7,10,Avatar,Steel,Steel
Lux_SH,7,10,Avatar,Shadow,Shadow
Lux_OC,7,10,Avatar,Ocean,Ocean
Lux_CL,7,10,Avatar,Cloud,Cloud
Lux_GL,7,10,Avatar,Glacial,Glacial
Lux_LI,7,10,Avatar,Light,Light
Lux_CR,7,10,Avatar,Crystal,Crystal
Lux_WO,7,10,Avatar,Woodland,Woodland
Lux_EL,7,10,Avatar,Electric,Electric
Lux_IN,7,10,Avatar,Inferno,Inferno
