Name,Cost,Frequency,Traits,,
Caitlyn,1,,Chrono,Sniper,
Fiora,1,,Cybernetic,Blademaster,
Graves,1,,Space-Pirate,Blaster,
Illoai,1,,Battlecast,Brawler,
Jarvan-IV,1,,Dark-Star,Protector,
Leona,1,,Cybernetic,Vanguard,
Malphite,1,,Rebel,Brawler,
Nocturne,1,,Battlecast,Infiltrator,
Poppy,1,,Star-Guardian,Vanguard,
Twisted-Fate,1,,Chrono,Sorcerer,
Xayah,1,,Celestial,Blademaster,
Ziggs,1,,Rebel,Demolitionist,
Zoe,1,,Star-Guardian,Sorcerer,
Ahri,2,,Star-Guardian,Sorcerer,
Annie,2,,Mech-Pilot,Sorcerer,
Blitzcrank,2,,Chrono,Brawler,
Darius,2,,Space-Pirate,Mana-Reaver,
KogMaw,2,,Battlecast,Blaster,
Lucian,2,,Cybernetic,Blaster,
Mordekaiser,2,,Dark-Star,Vanguard,
Nautilus,2,,Astro,Vanguard,
Rakan,2,,Celestial,Protector,
Shen,2,,Chrono,Blademaster,
Xin-Zhao,2,,Celestial,Protector,
Yasuo,2,,Rebel,Blademaster,
Zed,2,,Rebel,Infiltrator,
Ashe,3,,Celestial,Sniper,
Bard,3,,Astro,Mystic,
Cassiopeia,3,,Battlecast,Mystic,
Ezreal,3,,Chrono,Blaster,
Jayce,3,,Space-Pirate,Vanguard,
Karma,3,,Dark-Star,Mystic,
Master-Yi,3,,Rebel,Blademaster,
Neeko,3,,Star-Guardian,Protector,
Rumble,3,,Mech-Pilot,Demolitionist,
Shaco,3,,Dark-Star,Infiltrator,
Syndra,3,,Star-Guardian,Sorcerer,
Vayne,3,,Cybernetic,Sniper,
Vi,3,,Cybernetic,Brawler,
Fizz,4,,Mech-Pilot,Infiltrator,
Gnar,4,,Astro,Brawler,
Irelia,4,,Cybernetic,Blademaster,
Jinx,4,,Rebel,Blaster,
Jhin,4,,Dark-Star,Sniper,
Riven,4,,Chrono,Blademaster,
Soraka,4,,Star-Guardian,Mystic,
Teemo,4,,Astro,Sniper,
Viktor,4,,Battlecast,Sorcerer,
Wukong,4,,Chrono,Vanguard,
Aurelion-Sol,5,,Rebel,Starship,
Ekko,5,,Cybernetic,Infiltrator,
Gangplank,5,,Space-Pirate,Mercenary,Demolitionist
Janna,5,,Star-Guardian,Paragon,
Lulu,5,,Celestial,Mystic,
Thresh,5,,Chrono,Mana-Reaver,
Xerath,5,,Dark-Star,Sorcerer,
