2,['Caitlyn', 'Malphite', 'Blitzcrank'],['Chrono', 2],['Sniper', 1],['Rebel', 1],['Brawler', 2],,,,
2,['Caitlyn', 'Twisted-Fate', 'Zoe'],['Chrono', 2],['Sniper', 1],['Sorcerer', 2],['Star-Guardian', 1],,,,
2,['Caitlyn', 'Twisted-Fate', 'Ahri'],['Chrono', 2],['Sniper', 1],['Sorcerer', 2],['Star-Guardian', 1],,,,
2,['Caitlyn', 'Twisted-Fate', 'Annie'],['Chrono', 2],['Sniper', 1],['Sorcerer', 2],['Mech-Pilot', 1],,,,
2,['Caitlyn', 'Rakan', 'Xin-Zhao'],['Chrono', 1],['Sniper', 1],['Celestial', 2],['Protector', 2],,,,
2,['Fiora', 'Rakan', 'Xin-Zhao'],['Cybernetic', 1],['Blademaster', 1],['Celestial', 2],['Protector', 2],,,,
2,['Graves', 'Darius', 'Lucian'],['Space-Pirate', 2],['Blaster', 2],['Mana-Reaver', 1],['Cybernetic', 1],,,,
2,['Graves', 'Rakan', 'Xin-Zhao'],['Space-Pirate', 1],['Blaster', 1],['Celestial', 2],['Protector', 2],,,,
2,['Jarvan-IV', 'Xayah', 'Rakan'],['Dark-Star', 1],['Protector', 2],['Celestial', 2],['Blademaster', 1],,,,
2,['Jarvan-IV', 'Xayah', 'Xin-Zhao'],['Dark-Star', 1],['Protector', 2],['Celestial', 2],['Blademaster', 1],,,,
2,['Jarvan-IV', 'Rakan', 'Xin-Zhao'],['Dark-Star', 1],['Protector', 3],['Celestial', 2],,,,,,
2,['KhaZix', 'Rakan', 'Xin-Zhao'],['Void', 1],['Infiltrator', 1],['Celestial', 2],['Protector', 2],,,,
2,['Leona', 'Rakan', 'Xin-Zhao'],['Cybernetic', 1],['Vanguard', 1],['Celestial', 2],['Protector', 2],,,,
2,['Malphite', 'Twisted-Fate', 'Blitzcrank'],['Rebel', 1],['Brawler', 2],['Chrono', 2],['Sorcerer', 1],,,,
2,['Malphite', 'Blitzcrank', 'Shen'],['Rebel', 1],['Brawler', 2],['Chrono', 2],['Blademaster', 1],,,,
2,['Malphite', 'Rakan', 'Xin-Zhao'],['Rebel', 1],['Brawler', 1],['Celestial', 2],['Protector', 2],,,,
2,['Poppy', 'Zoe', 'Ahri'],['Star-Guardian', 3],['Vanguard', 1],['Sorcerer', 2],,,,,,
2,['Poppy', 'Rakan', 'Xin-Zhao'],['Star-Guardian', 1],['Vanguard', 1],['Celestial', 2],['Protector', 2],,,,
2,['Twisted-Fate', 'Zoe', 'Blitzcrank'],['Chrono', 2],['Sorcerer', 2],['Star-Guardian', 1],['Brawler', 1],,,,
2,['Twisted-Fate', 'Zoe', 'Shen'],['Chrono', 2],['Sorcerer', 2],['Star-Guardian', 1],['Blademaster', 1],,,,
2,['Twisted-Fate', 'Ahri', 'Blitzcrank'],['Chrono', 2],['Sorcerer', 2],['Star-Guardian', 1],['Brawler', 1],,,,
2,['Twisted-Fate', 'Ahri', 'Shen'],['Chrono', 2],['Sorcerer', 2],['Star-Guardian', 1],['Blademaster', 1],,,,
2,['Twisted-Fate', 'Annie', 'Blitzcrank'],['Chrono', 2],['Sorcerer', 2],['Mech-Pilot', 1],['Brawler', 1],,,,
2,['Twisted-Fate', 'Annie', 'Shen'],['Chrono', 2],['Sorcerer', 2],['Mech-Pilot', 1],['Blademaster', 1],,,,
2,['Twisted-Fate', 'Rakan', 'Xin-Zhao'],['Chrono', 1],['Sorcerer', 1],['Celestial', 2],['Protector', 2],,,,
2,['Xayah', 'Rakan', 'Xin-Zhao'],['Celestial', 3],['Blademaster', 1],['Protector', 2],,,,,,
2,['Ziggs', 'Rakan', 'Xin-Zhao'],['Rebel', 1],['Demolitionist', 1],['Celestial', 2],['Protector', 2],,,,
2,['Zoe', 'Rakan', 'Xin-Zhao'],['Star-Guardian', 1],['Sorcerer', 1],['Celestial', 2],['Protector', 2],,,,
2,['Ahri', 'Rakan', 'Xin-Zhao'],['Star-Guardian', 1],['Sorcerer', 1],['Celestial', 2],['Protector', 2],,,,
2,['Annie', 'Rakan', 'Xin-Zhao'],['Mech-Pilot', 1],['Sorcerer', 1],['Celestial', 2],['Protector', 2],,,,
2,['Blitzcrank', 'Rakan', 'Xin-Zhao'],['Chrono', 1],['Brawler', 1],['Celestial', 2],['Protector', 2],,,,
2,['Darius', 'Rakan', 'Xin-Zhao'],['Space-Pirate', 1],['Mana-Reaver', 1],['Celestial', 2],['Protector', 2],,,,
2,['KaiSa', 'Rakan', 'Xin-Zhao'],['Valkyrie', 1],['Infiltrator', 1],['Celestial', 2],['Protector', 2],,,,
2,['Lucian', 'Rakan', 'Xin-Zhao'],['Cybernetic', 1],['Blaster', 1],['Celestial', 2],['Protector', 2],,,,
2,['Mordekaiser', 'Rakan', 'Xin-Zhao'],['Dark-Star', 1],['Vanguard', 1],['Celestial', 2],['Protector', 2],,,,
2,['Rakan', 'Shen', 'Xin-Zhao'],['Celestial', 2],['Protector', 2],['Chrono', 1],['Blademaster', 1],,,,
2,['Rakan', 'Sona', 'Xin-Zhao'],['Celestial', 2],['Protector', 2],['Rebel', 1],['Mystic', 1],,,,
2,['Rakan', 'Xin-Zhao', 'Yasuo'],['Celestial', 2],['Protector', 2],['Rebel', 1],['Blademaster', 1],,,,
1,['Caitlyn', 'Fiora', 'Twisted-Fate'],['Chrono', 2],['Sniper', 1],['Cybernetic', 1],['Blademaster', 1],['Sorcerer', 1],,
1,['Caitlyn', 'Fiora', 'Blitzcrank'],['Chrono', 2],['Sniper', 1],['Cybernetic', 1],['Blademaster', 1],['Brawler', 1],,
1,['Caitlyn', 'Fiora', 'Shen'],['Chrono', 2],['Sniper', 1],['Cybernetic', 1],['Blademaster', 2],,,,
1,['Caitlyn', 'Graves', 'Twisted-Fate'],['Chrono', 2],['Sniper', 1],['Space-Pirate', 1],['Blaster', 1],['Sorcerer', 1],,
1,['Caitlyn', 'Graves', 'Blitzcrank'],['Chrono', 2],['Sniper', 1],['Space-Pirate', 1],['Blaster', 1],['Brawler', 1],,
1,['Caitlyn', 'Graves', 'Darius'],['Chrono', 1],['Sniper', 1],['Space-Pirate', 2],['Blaster', 1],['Mana-Reaver', 1],,
1,['Caitlyn', 'Graves', 'Lucian'],['Chrono', 1],['Sniper', 1],['Space-Pirate', 1],['Blaster', 2],['Cybernetic', 1],,
1,['Caitlyn', 'Graves', 'Shen'],['Chrono', 2],['Sniper', 1],['Space-Pirate', 1],['Blaster', 1],['Blademaster', 1],,
1,['Caitlyn', 'Jarvan-IV', 'Twisted-Fate'],['Chrono', 2],['Sniper', 1],['Dark-Star', 1],['Protector', 1],['Sorcerer', 1],,
1,['Caitlyn', 'Jarvan-IV', 'Blitzcrank'],['Chrono', 2],['Sniper', 1],['Dark-Star', 1],['Protector', 1],['Brawler', 1],,
1,['Caitlyn', 'Jarvan-IV', 'Rakan'],['Chrono', 1],['Sniper', 1],['Dark-Star', 1],['Protector', 2],['Celestial', 1],,
1,['Caitlyn', 'Jarvan-IV', 'Shen'],['Chrono', 2],['Sniper', 1],['Dark-Star', 1],['Protector', 1],['Blademaster', 1],,
1,['Caitlyn', 'Jarvan-IV', 'Xin-Zhao'],['Chrono', 1],['Sniper', 1],['Dark-Star', 1],['Protector', 2],['Celestial', 1],,
1,['Caitlyn', 'KhaZix', 'Twisted-Fate'],['Chrono', 2],['Sniper', 1],['Void', 1],['Infiltrator', 1],['Sorcerer', 1],,
