Class,Stages
Abomination,3
Abomination,4
Abomination,5
Coven,3
Dawnbringer,2
Dawnbringer,4
Dawnbringer,6
Dawnbringer,8
Draconic,3
Draconic,5
Dragonslayer,2
Dragonslayer,4
Forgotten,3
Forgotten,6
Forgotten,9
Hellion,3
Hellion,5
Hellion,7
Ironclad,2
Ironclad,3
Nightbringer,2
Nightbringer,4
Nightbringer,6
Nightbringer,8
Redeemed,3
Redeemed,6
Redeemed,9
Revenant,2
Revenant,3
Verdant,2
Assassin,2
Assassin,4
Assassin,6
Brawler,2
Brawler,4
Cavalier,2
Cavalier,3
Cavalier,4
Invoker,2
Invoker,4
Knight,2
Knight,4
Knight,6
Legionnaire,2
Legionnaire,4
Legionnaire,6
Legionnaire,8
Mystic,2
Mystic,3
Mystic,4
Ranger,2
Ranger,4
Renewer,2
Renewer,4
Skirmisher,3
Skirmisher,6
Spellweaver,2
Spellweaver,4
