Language,languageCode,Language (English name)
Afrikaans (Suid-Afrika),af-ZA,Afrikaans (South Africa)
Bahasa Indonesia (Indonesia),id-ID,Indonesian (Indonesia)
Bahasa Melayu (Malaysia),ms-MY,Malay (Malaysia)
Català (Espanya),ca-ES,Catalan (Spain)
Ceština (Ceská republika),cs-CZ,Czech (Czech Republic)
Dansk (Danmark),da-DK,Danish (Denmark)
Deutsch (Deutschland),de-DE,German (Germany)
English (Great Britain),en-GB,English (United Kingdom)
Español (España),es-ES,Spanish (Spain)
Euskara (Espainia),eu-ES,Basque (Spain)
Filipino (Pilipinas),fil-PH,Filipino (Philippines)
Français (France),fr-FR,French (France)
Galego (España),gl-ES,Galician (Spain)
Hrvatski (Hrvatska),hr-HR,Croatian (Croatia)
IsiZulu (Ningizimu Afrika),zu-ZA,Zulu (South Africa)
Íslenska (Ísland),is-IS,Icelandic (Iceland)
Italiano (Italia),it-IT,Italian (Italy)
Latviešu (latviešu),lv-LV,Latvian (Latvia)
Lietuviu (Lietuva),lt-LT,Lithuanian (Lithuania)
Magyar (Magyarország),hu-HU,Hungarian (Hungary)
Nederlands (Nederland),nl-NL,Dutch (Netherlands)
Polski (Polska),pl-PL,Polish (Poland)
Português (Portugal),pt-PT,Portuguese (Portugal)
Româna (România),ro-RO,Romanian (Romania)
Slovencina (Slovensko),sk-SK,Slovak (Slovakia)
Slovenšcina (Slovenija),sl-SI,Slovenian (Slovenia)
Urang (Indonesia),su-ID,Sundanese (Indonesia)
Swahili (Tanzania),sw-TZ,Swahili (Tanzania)
Swahili (Kenya),sw-KE,Swahili (Kenya)
Suomi (Suomi),fi-FI,Finnish (Finland)
Svenska (Sverige),sv-SE,Swedish (Sweden)
Türkçe (Türkiye),tr-TR,Turkish (Turkey)
