Name,Rarity,Price,Price x 10,Max Avg. Float input
Factory New_AWP-Containment-Breach,Covert,623.25,6232.5,0.07
Minimal Wear_AWP-Containment-Breach,Covert,252.27,2522.7000000000003,0.15
Field-Tested_AWP-Containment-Breach,Covert,106.5,1065.0,0.38
Well-Worn_AWP-Containment-Breach,Covert,67.58,675.8,0.45
Battle-Scarred_AWP-Containment-Breach,Covert,55.2,552.0,1.0
Factory New_MAC-10-Stalker,Covert,260.65,2606.5,0.07
Minimal Wear_MAC-10-Stalker,Covert,67.22,672.2,0.15
Field-Tested_MAC-10-Stalker,Covert,30.17,301.70000000000005,0.38
Well-Worn_MAC-10-Stalker,Covert,21.32,213.2,0.45
Battle-Scarred_MAC-10-Stalker,Covert,17.37,173.70000000000002,1.0
Factory New_SG-553-Colony-IV,Classified,177.52,1775.2,0.07
Minimal Wear_SG-553-Colony-IV,Classified,55.71,557.1,0.15
Field-Tested_SG-553-Colony-IV,Classified,20.41,204.1,0.38
Well-Worn_SG-553-Colony-IV,Classified,11.12,111.19999999999999,0.45
Battle-Scarred_SG-553-Colony-IV,Classified,6.35,63.5,1.0
Minimal Wear_SSG-08-Bloodshot,Classified,154.4,1544.0,0.02173913043478257
Field-Tested_SSG-08-Bloodshot,Classified,154.4,1544.0,0.5217391304347826
Well-Worn_SSG-08-Bloodshot,Classified,6.68,66.8,0.6739130434782609
Battle-Scarred_SSG-08-Bloodshot,Classified,8.68,86.8,1.8695652173913044
Factory New_Tec-9-Decimator,Classified,35.82,358.2,0.09333333333333334
Minimal Wear_Tec-9-Decimator,Classified,19.21,192.10000000000002,0.19999999999999998
Field-Tested_Tec-9-Decimator,Classified,6.18,61.8,0.5066666666666667
Well-Worn_Tec-9-Decimator,Classified,6.85,68.5,0.6
Battle-Scarred_Tec-9-Decimator,Classified,5.05,50.5,1.3333333333333333
Factory New_AK-47-Rat-Rod,Restricted,27.21,272.1,0.07
Minimal Wear_AK-47-Rat-Rod,Restricted,11.11,111.1,0.15
Field-Tested_AK-47-Rat-Rod,Restricted,8.33,83.3,0.38
Well-Worn_AK-47-Rat-Rod,Restricted,8.08,80.8,0.45
Battle-Scarred_AK-47-Rat-Rod,Restricted,7.95,79.5,1.0
Factory New_AUG-Arctic-Wolf,Restricted,13.44,134.4,0.10000000000000002
Minimal Wear_AUG-Arctic-Wolf,Restricted,6.49,64.9,0.2142857142857143
Field-Tested_AUG-Arctic-Wolf,Restricted,3.02,30.2,0.5428571428571429
Well-Worn_AUG-Arctic-Wolf,Restricted,3.75,37.5,0.6428571428571429
Battle-Scarred_AUG-Arctic-Wolf,Restricted,1.65,16.5,1.4285714285714286
Factory New_MP7-Neon-Ply,Restricted,9.03,90.3,0.07
Minimal Wear_MP7-Neon-Ply,Restricted,4.08,40.8,0.15
Field-Tested_MP7-Neon-Ply,Restricted,1.27,12.7,0.38
