HAND-WIN%-TOTALWINS-TOTALLOSS-TOTALDRAWS
['1414', 85.0, 7654, 1351, 0]
['1313', 81.27, 7278, 1677, 0]
['1212', 79.15, 7211, 1899, 0]
['1111', 76.9, 6899, 2072, 0]
['1010', 74.08, 6801, 2380, 0]
['0909', 70.71, 6362, 2635, 0]
['0808', 68.17, 6192, 2891, 0]
['1114s', 66.62, 3967, 1988, 0]
['1214s', 66.57, 3990, 2004, 0]
['1314s', 66.56, 4058, 2039, 0]
['1014s', 65.35, 3972, 2106, 0]
['1314', 65.11, 11814, 6331, 0]
['1214', 64.96, 11791, 6359, 0]
['0707', 64.93, 5785, 3125, 0]
['1213s', 64.08, 3949, 2214, 0]
['1014', 63.34, 11443, 6622, 0]
['1114', 63.12, 11367, 6642, 0]
['0914s', 62.91, 3802, 2242, 0]
['1113s', 62.69, 3823, 2275, 0]
['0606', 61.97, 5585, 3428, 0]
['1013s', 61.91, 3701, 2277, 0]
['0814s', 61.85, 3676, 2267, 0]
['1213', 61.8, 11128, 6878, 0]
['0914', 61.16, 10964, 6964, 0]
['0714s', 60.86, 3700, 2380, 0]
['1113', 60.31, 10777, 7091, 0]
['0614s', 60.19, 3649, 2413, 0]
['1112s', 60.08, 3619, 2405, 0]
['0514s', 59.91, 3629, 2428, 0]
['1013', 59.79, 10767, 7240, 0]
['0814', 59.62, 10728, 7266, 0]
['0505', 59.56, 5344, 3628, 0]
['0913s', 59.32, 3614, 2478, 0]
['0314s', 58.99, 3557, 2473, 0]
['1012s', 58.9, 3568, 2490, 0]
['0214s', 58.86, 3510, 2453, 0]
['0414s', 58.81, 3579, 2507, 0]
['0813s', 58.65, 3565, 2513, 0]
['1112', 58.4, 10641, 7580, 0]
['0912s', 58.11, 3504, 2526, 0]
['0714', 58.07, 10501, 7581, 0]
['0713s', 57.8, 3548, 2590, 0]
['0514', 57.64, 10632, 7813, 0]
['0614', 57.61, 10461, 7698, 0]
['0913', 57.59, 10538, 7759, 0]
['1011s', 57.06, 3395, 2555, 0]
['1012', 56.91, 10294, 7795, 0]
['0513s', 56.85, 3443, 2613, 0]
['0414', 56.72, 10425, 7954, 0]
['1011', 56.05, 10150, 7960, 0]
['0813', 55.95, 10174, 8010, 0]
['0314', 55.77, 10095, 8005, 0]
['0713', 55.62, 10002, 7982, 0]
['0613s', 55.4, 3344, 2692, 0]
['0404', 55.38, 5045, 4064, 0]
['0812s', 55.27, 3372, 2729, 0]
['0214', 55.08, 9967, 8128, 0]
['0912', 55.06, 9998, 8162, 0]
['0413s', 55.01, 3369, 2755, 0]
['0911s', 54.94, 3317, 2720, 0]
['0811s', 54.34, 3290, 2764, 0]
['0910s', 54.2, 3279, 2771, 0]
['0613', 54.01, 9698, 8259, 0]
['0313s', 53.95, 3316, 2831, 0]
['0911', 53.94, 9770, 8343, 0]
['0612s', 53.78, 3269, 2809, 0]
['0303', 53.37, 4791, 4186, 0]
['0712s', 53.13, 3287, 2900, 0]
['0213s', 53.11, 3172, 2800, 0]
['0812', 53.09, 9638, 8515, 0]
['0413', 53.04, 9575, 8478, 0]
['0513', 52.94, 9633, 8562, 0]
['0810s', 52.33, 3149, 2869, 0]
['0512s', 52.3, 3160, 2882, 0]
['0412s', 52.29, 3099, 2827, 0]
['0712', 52.07, 9415, 8665, 0]
['0313', 52.03, 9331, 8604, 0]
['0711s', 51.8, 3134, 2916, 0]
['0811', 51.59, 9305, 8733, 0]
['0212s', 51.52, 3086, 2904, 0]
['0809s', 51.18, 3097, 2954, 0]
['0910', 50.96, 9311, 8961, 0]
['0213', 50.93, 9210, 8874, 0]
['0710s', 50.87, 3106, 3000, 0]
['0612', 50.72, 9201, 8938, 0]
['0611s', 50.32, 3070, 3031, 0]
['0512', 50.15, 8987, 8935, 0]
['0312s', 50.14, 3001, 2984, 0]
['0411s', 49.94, 3077, 3084, 0]
['0810', 49.72, 9021, 9124, 0]
['0412', 49.69, 9050, 9162, 0]
['0711', 49.67, 8988, 9107, 0]
['0202', 49.63, 4408, 4473, 0]
['0511s', 49.5, 3019, 3080, 0]
['0709s', 49.14, 2933, 3036, 0]
['0611', 49.0, 8911, 9273, 0]
['0610s', 48.48, 2926, 3110, 0]
['0710', 48.47, 8763, 9316, 0]
['0708s', 48.4, 2979, 3176, 0]
['0809', 48.38, 8791, 9380, 0]
['0211s', 47.98, 2869, 3111, 0]
['0312', 47.88, 8699, 9468, 0]
['0311s', 47.52, 2894, 3196, 0]
['0609s', 47.49, 2851, 3153, 0]
['0410s', 47.38, 2858, 3174, 0]
['0511', 47.37, 8509, 9454, 0]
['0510s', 46.96, 2828, 3194, 0]
['0608s', 46.75, 2832, 3226, 0]
['0212', 46.67, 8509, 9723, 0]
['0310s', 46.55, 2871, 3297, 0]
['0709', 46.31, 8316, 9640, 0]
['0411', 46.25, 8333, 9684, 0]
['0610', 46.19, 8299, 9667, 0]
['0607s', 45.97, 2795, 3285, 0]
['0509s', 45.57, 2709, 3236, 0]
['0508s', 45.02, 2655, 3242, 0]
['0510', 44.92, 8051, 9873, 0]
['0311', 44.87, 8179, 10051, 0]
['0210s', 44.78, 2717, 3351, 0]
['0409s', 44.7, 2739, 3388, 0]
['0507s', 44.54, 2653, 3304, 0]
['0609', 44.46, 8090, 10107, 0]
['0211', 44.37, 8007, 10038, 0]
['0708', 44.18, 7990, 10094, 0]
['0309s', 43.4, 2656, 3464, 0]
['0410', 43.29, 7745, 10148, 0]
['0506s', 43.27, 2634, 3454, 0]
['0608', 42.79, 7737, 10343, 0]
['0509', 42.77, 7694, 10295, 0]
['0310', 42.52, 7564, 10226, 0]
['0607', 42.47, 7659, 10375, 0]
['0408s', 42.27, 2599, 3550, 0]
['0405s', 42.15, 2579, 3540, 0]
['0407s', 41.81, 2499, 3478, 0]
['0209s', 41.69, 2571, 3596, 0]
['0210', 41.5, 7496, 10566, 0]
['0308s', 41.49, 2547, 3592, 0]
['0508', 41.34, 7598, 10782, 0]
['0406s', 41.13, 2519, 3606, 0]
['0208s', 41.06, 2510, 3603, 0]
['0507', 41.06, 7387, 10604, 0]
['0409', 40.5, 7281, 10696, 0]
['0506', 40.18, 7230, 10762, 0]
['0307s', 40.12, 2389, 3565, 0]
['0306s', 40.06, 2421, 3623, 0]
['0309', 40.02, 7305, 10949, 0]
['0408', 39.93, 7301, 10984, 0]
['0209', 39.84, 7124, 10756, 0]
['0305s', 39.43, 2398, 3683, 0]
['0407', 38.5, 6886, 10998, 0]
['0406', 38.37, 7046, 11317, 0]
['0304s', 38.2, 2293, 3710, 0]
['0405', 37.9, 6835, 11199, 0]
['0207s', 37.73, 2254, 3720, 0]
['0308', 37.32, 6707, 11264, 0]
['0208', 37.1, 6689, 11341, 0]
['0206s', 37.09, 2178, 3694, 0]
['0204s', 36.85, 2265, 3881, 0]
['0205s', 36.57, 2197, 3811, 0]
['0307', 36.56, 6652, 11541, 0]
['0203s', 36.55, 2192, 3806, 0]
['0305', 35.98, 6412, 11409, 0]
['0306', 35.87, 6433, 11501, 0]
['0304', 35.35, 6461, 11818, 0]
['0205', 34.6, 6304, 11914, 0]
['0207', 34.29, 6135, 11755, 0]
['0206', 34.14, 6188, 11939, 0]
['0204', 33.16, 6034, 12164, 0]
['0203', 32.28, 5864, 12304, 0]
