Name,Rarity,Price,Price x 10,Max Avg. Float input
Factory New_AWP-Wildfire,Covert,317.93,3179.3,0.08695652173913045
Minimal Wear_AWP-Wildfire,Covert,184.83,1848.3000000000002,0.20289855072463767
Field-Tested_AWP-Wildfire,Covert,106.25,1062.5,0.5362318840579711
Well-Worn_AWP-Wildfire,Covert,88.2,882.0,0.6376811594202899
Battle-Scarred_AWP-Wildfire,Covert,57.18,571.8,1.4347826086956523
Factory New_FAMAS-Commemoration,Covert,56.73,567.3,0.14
Minimal Wear_FAMAS-Commemoration,Covert,36.03,360.3,0.3
Field-Tested_FAMAS-Commemoration,Covert,25.08,250.79999999999998,0.76
Well-Worn_FAMAS-Commemoration,Covert,35.71,357.1,0.9
Battle-Scarred_FAMAS-Commemoration,Covert,20.74,207.39999999999998,2.0
Factory New_MP9-Hydra,Classified,37.78,377.8,0.07
Minimal Wear_MP9-Hydra,Classified,13.89,138.9,0.15
Field-Tested_MP9-Hydra,Classified,7.87,78.7,0.38
Well-Worn_MP9-Hydra,Classified,6.72,67.2,0.45
Battle-Scarred_MP9-Hydra,Classified,5.49,54.900000000000006,1.0
Factory New_AUG-Death-by-Puppy,Classified,19.07,190.7,0.17500000000000002
Minimal Wear_AUG-Death-by-Puppy,Classified,13.36,133.6,0.37499999999999994
Field-Tested_AUG-Death-by-Puppy,Classified,7.94,79.4,0.95
Well-Worn_AUG-Death-by-Puppy,Classified,9.78,97.8,1.125
Factory New_P90-Nostalgia,Classified,20.22,202.2,0.12280701754385967
Minimal Wear_P90-Nostalgia,Classified,11.74,117.4,0.2631578947368421
Field-Tested_P90-Nostalgia,Classified,8.2,82.0,0.6666666666666667
Well-Worn_P90-Nostalgia,Classified,7.24,72.4,0.7894736842105264
Battle-Scarred_P90-Nostalgia,Classified,6.49,64.9,1.7543859649122808
Factory New_MP5-SD-Agent,Restricted,13.47,134.70000000000002,0.07
Minimal Wear_MP5-SD-Agent,Restricted,2.67,26.7,0.15
Field-Tested_MP5-SD-Agent,Restricted,1.47,14.7,0.38
Well-Worn_MP5-SD-Agent,Restricted,1.1,11.0,0.45
Battle-Scarred_MP5-SD-Agent,Restricted,0.84,8.4,1.0
Factory New_UMP-45-Plastique,Restricted,3.85,38.5,0.08750000000000001
Minimal Wear_UMP-45-Plastique,Restricted,1.84,18.400000000000002,0.18749999999999997
Field-Tested_UMP-45-Plastique,Restricted,1.02,10.2,0.475
Well-Worn_UMP-45-Plastique,Restricted,1.51,15.1,0.5625
Battle-Scarred_UMP-45-Plastique,Restricted,0.95,9.5,1.25
Factory New_P250-Inferno,Restricted,3.52,35.2,0.10294117647058824
Minimal Wear_P250-Inferno,Restricted,1.97,19.7,0.2205882352941176
Field-Tested_P250-Inferno,Restricted,1.09,10.9,0.5588235294117647
Well-Worn_P250-Inferno,Restricted,1.4,14.0,0.6617647058823529
Battle-Scarred_P250-Inferno,Restricted,0.95,9.5,1.4705882352941175
Factory New_Five-SeveN-Buddy,Restricted,2.78,27.799999999999997,0.1272727272727273
Minimal Wear_Five-SeveN-Buddy,Restricted,1.91,19.099999999999998,0.2727272727272727
Field-Tested_Five-SeveN-Buddy,Restricted,1.01,10.1,0.6909090909090908
Well-Worn_Five-SeveN-Buddy,Restricted,0.87,8.7,0.8181818181818181
Battle-Scarred_Five-SeveN-Buddy,Restricted,0.77,7.7,1.8181818181818181
Factory New_M249-Aztec,Restricted,2.66,26.6,0.09333333333333334
Minimal Wear_M249-Aztec,Restricted,1.69,16.9,0.19999999999999998
Field-Tested_M249-Aztec,Restricted,0.9,9.0,0.5066666666666667
Well-Worn_M249-Aztec,Restricted,0.94,9.399999999999999,0.6
Battle-Scarred_M249-Aztec,Restricted,0.65,6.5,1.3333333333333333
Factory New_Glock-18-Sacrifice,Mil-Spec,8.6,86.0,0.07
Minimal Wear_Glock-18-Sacrifice,Mil-Spec,2.18,21.8,0.15
Field-Tested_Glock-18-Sacrifice,Mil-Spec,1.23,12.3,0.38
Well-Worn_Glock-18-Sacrifice,Mil-Spec,0.9,9.0,0.45
Battle-Scarred_Glock-18-Sacrifice,Mil-Spec,0.91,9.1,1.0
Factory New_FAMAS-Decommissioned,Mil-Spec,2.03,20.299999999999997,0.07
Minimal Wear_FAMAS-Decommissioned,Mil-Spec,0.63,6.3,0.15
Field-Tested_FAMAS-Decommissioned,Mil-Spec,0.41,4.1,0.38
Well-Worn_FAMAS-Decommissioned,Mil-Spec,0.38,3.8,0.45
Battle-Scarred_FAMAS-Decommissioned,Mil-Spec,0.38,3.8,1.0
Factory New_MAC-10-Classic-Crate,Mil-Spec,1.03,10.3,0.07
Minimal Wear_MAC-10-Classic-Crate,Mil-Spec,0.29,2.9,0.15
Field-Tested_MAC-10-Classic-Crate,Mil-Spec,0.18,1.7999999999999998,0.38
Well-Worn_MAC-10-Classic-Crate,Mil-Spec,0.16,1.6,0.45
Battle-Scarred_MAC-10-Classic-Crate,Mil-Spec,0.18,1.7999999999999998,1.0
Factory New_MAG-7-Popdog,Mil-Spec,0.61,6.1,0.08750000000000001
Minimal Wear_MAG-7-Popdog,Mil-Spec,0.29,2.9,0.18749999999999997
Field-Tested_MAG-7-Popdog,Mil-Spec,0.18,1.7999999999999998,0.475
Well-Worn_MAG-7-Popdog,Mil-Spec,0.24,2.4,0.5625
Battle-Scarred_MAG-7-Popdog,Mil-Spec,0.18,1.7999999999999998,1.25
Factory New_Dual-Berettas-Elite-1.6,Mil-Spec,0.63,6.3,0.10000000000000002
Minimal Wear_Dual-Berettas-Elite-1.6,Mil-Spec,0.28,2.8000000000000003,0.2142857142857143
Field-Tested_Dual-Berettas-Elite-1.6,Mil-Spec,0.18,1.7999999999999998,0.5428571428571429
Well-Worn_Dual-Berettas-Elite-1.6,Mil-Spec,0.22,2.2,0.6428571428571429
Battle-Scarred_Dual-Berettas-Elite-1.6,Mil-Spec,0.18,1.7999999999999998,1.4285714285714286
Factory New_Tec-9-Flash-Out,Mil-Spec,0.6,6.0,0.10000000000000002
Minimal Wear_Tec-9-Flash-Out,Mil-Spec,0.28,2.8000000000000003,0.2142857142857143
Field-Tested_Tec-9-Flash-Out,Mil-Spec,0.18,1.7999999999999998,0.5428571428571429
Well-Worn_Tec-9-Flash-Out,Mil-Spec,0.19,1.9,0.6428571428571429
Battle-Scarred_Tec-9-Flash-Out,Mil-Spec,0.18,1.7999999999999998,1.4285714285714286
Factory New_SCAR-20-Assault,Mil-Spec,0.59,5.8999999999999995,0.11290322580645162
Minimal Wear_SCAR-20-Assault,Mil-Spec,0.29,2.9,0.24193548387096772
Field-Tested_SCAR-20-Assault,Mil-Spec,0.18,1.7999999999999998,0.6129032258064516
Well-Worn_SCAR-20-Assault,Mil-Spec,0.18,1.7999999999999998,0.7258064516129032
Battle-Scarred_SCAR-20-Assault,Mil-Spec,0.18,1.7999999999999998,1.6129032258064517
