Name,Rarity,Price,Price x 10,Max Avg. Float input
Field-Tested_Galil-AR-Chatterbox,Covert,720.89,7208.9,0.06000000000000005
Well-Worn_Galil-AR-Chatterbox,Covert,720.89,7208.9,0.20000000000000007
Battle-Scarred_Galil-AR-Chatterbox,Covert,720.89,7208.9,1.3
Minimal Wear_AWP-Man-o-war,Covert,39.37,393.7,0.4999999999999999
Field-Tested_AWP-Man-o-war,Covert,39.37,393.7,2.8000000000000003
Factory New_M4A4-%E9%BE%8D%E7%8E%8B-Dragon-King,Classified,64.26,642.6,0.09333333333333334
Minimal Wear_M4A4-%E9%BE%8D%E7%8E%8B-Dragon-King,Classified,36.05,360.5,0.19999999999999998
Field-Tested_M4A4-%E9%BE%8D%E7%8E%8B-Dragon-King,Classified,19.87,198.70000000000002,0.5066666666666667
Well-Worn_M4A4-%E9%BE%8D%E7%8E%8B-Dragon-King,Classified,23.86,238.6,0.6
Battle-Scarred_M4A4-%E9%BE%8D%E7%8E%8B-Dragon-King,Classified,18.29,182.89999999999998,1.3333333333333333
Factory New_AK-47-Cartel,Classified,37.74,377.40000000000003,0.09333333333333334
Minimal Wear_AK-47-Cartel,Classified,23.08,230.79999999999998,0.19999999999999998
Field-Tested_AK-47-Cartel,Classified,17.33,173.29999999999998,0.5066666666666667
Well-Worn_AK-47-Cartel,Classified,20.72,207.2,0.6
Battle-Scarred_AK-47-Cartel,Classified,17.56,175.6,1.3333333333333333
Factory New_P250-Muertos,Classified,16.2,162.0,0.11666666666666668
Minimal Wear_P250-Muertos,Classified,10.18,101.8,0.25
Field-Tested_P250-Muertos,Classified,7.08,70.8,0.6333333333333334
Well-Worn_P250-Muertos,Classified,8.34,83.4,0.75
Battle-Scarred_P250-Muertos,Classified,7.07,70.7,1.6666666666666667
Factory New_Desert-Eagle-Naga,Restricted,15.1,151.0,0.07
Minimal Wear_Desert-Eagle-Naga,Restricted,5.45,54.5,0.15
Field-Tested_Desert-Eagle-Naga,Restricted,3.25,32.5,0.38
Well-Worn_Desert-Eagle-Naga,Restricted,3.29,32.9,0.45
Battle-Scarred_Desert-Eagle-Naga,Restricted,3.32,33.199999999999996,1.0
Factory New_MAC-10-Malachite,Restricted,4.57,45.7,0.14
Minimal Wear_MAC-10-Malachite,Restricted,3.12,31.200000000000003,0.3
Field-Tested_MAC-10-Malachite,Restricted,1.97,19.7,0.76
Well-Worn_MAC-10-Malachite,Restricted,2.2,22.0,0.9
Battle-Scarred_MAC-10-Malachite,Restricted,2.06,20.6,2.0
Factory New_Sawed-Off-Serenity,Restricted,3.6,36.0,0.14
Minimal Wear_Sawed-Off-Serenity,Restricted,3.11,31.099999999999998,0.3
Field-Tested_Sawed-Off-Serenity,Restricted,1.92,19.2,0.76
Well-Worn_Sawed-Off-Serenity,Restricted,1.59,15.9,0.9
Battle-Scarred_Sawed-Off-Serenity,Restricted,1.93,19.3,2.0
Factory New_Dual-Berettas-Urban-Shock,Restricted,3.98,39.8,0.14893617021276598
Minimal Wear_Dual-Berettas-Urban-Shock,Restricted,3.17,31.7,0.3191489361702128
Field-Tested_Dual-Berettas-Urban-Shock,Restricted,1.79,17.9,0.8085106382978724
Well-Worn_Dual-Berettas-Urban-Shock,Restricted,2.3,23.0,0.9574468085106383
Battle-Scarred_Dual-Berettas-Urban-Shock,Restricted,2.48,24.8,2.127659574468085
Factory New_MP9-Deadly-Poison,Mil-Spec,4.86,48.6,0.07
Minimal Wear_MP9-Deadly-Poison,Mil-Spec,1.12,11.200000000000001,0.15
Field-Tested_MP9-Deadly-Poison,Mil-Spec,0.65,6.5,0.38
Well-Worn_MP9-Deadly-Poison,Mil-Spec,0.45,4.5,0.45
Battle-Scarred_MP9-Deadly-Poison,Mil-Spec,0.45,4.5,1.0
Factory New_Glock-18-Catacombs,Mil-Spec,1.53,15.3,0.14
Minimal Wear_Glock-18-Catacombs,Mil-Spec,1.13,11.299999999999999,0.3
Field-Tested_Glock-18-Catacombs,Mil-Spec,0.61,6.1,0.76
Well-Worn_Glock-18-Catacombs,Mil-Spec,1.16,11.6,0.9
Battle-Scarred_Glock-18-Catacombs,Mil-Spec,1.18,11.799999999999999,2.0
Factory New_M249-System-Lock,Mil-Spec,1.78,17.8,0.08750000000000001
Minimal Wear_M249-System-Lock,Mil-Spec,0.64,6.4,0.18749999999999997
Field-Tested_M249-System-Lock,Mil-Spec,0.27,2.7,0.475
Well-Worn_M249-System-Lock,Mil-Spec,0.42,4.2,0.5625
Battle-Scarred_M249-System-Lock,Mil-Spec,0.29,2.9,1.25
Factory New_SCAR-20-Grotto,Mil-Spec,0.85,8.5,0.14
Minimal Wear_SCAR-20-Grotto,Mil-Spec,0.55,5.5,0.3
Field-Tested_SCAR-20-Grotto,Mil-Spec,0.28,2.8000000000000003,0.76
Well-Worn_SCAR-20-Grotto,Mil-Spec,0.34,3.4000000000000004,0.9
Battle-Scarred_SCAR-20-Grotto,Mil-Spec,0.43,4.3,2.0
Factory New_XM1014-Quicksilver,Mil-Spec,0.77,7.7,0.14
Minimal Wear_XM1014-Quicksilver,Mil-Spec,0.46,4.6000000000000005,0.3
Field-Tested_XM1014-Quicksilver,Mil-Spec,0.28,2.8000000000000003,0.76
Well-Worn_XM1014-Quicksilver,Mil-Spec,0.3,3.0,0.9
Battle-Scarred_XM1014-Quicksilver,Mil-Spec,0.3,3.0,2.0
