Name,Rarity,Price,Price x 10,Max Avg. Float input
Factory New_AK-47-Neon-Rider,Covert,281.33,2813.2999999999997,0.08750000000000001
Minimal Wear_AK-47-Neon-Rider,Covert,115.88,1158.8,0.18749999999999997
Field-Tested_AK-47-Neon-Rider,Covert,67.03,670.3,0.475
Well-Worn_AK-47-Neon-Rider,Covert,66.06,660.6,0.5625
Battle-Scarred_AK-47-Neon-Rider,Covert,37.8,378.0,1.25
Factory New_Desert-Eagle-Code-Red,Covert,262.29,2622.9,0.07
Minimal Wear_Desert-Eagle-Code-Red,Covert,98.44,984.4,0.15
Field-Tested_Desert-Eagle-Code-Red,Covert,61.99,619.9,0.38
Well-Worn_Desert-Eagle-Code-Red,Covert,43.43,434.3,0.45
Battle-Scarred_Desert-Eagle-Code-Red,Covert,36.73,367.29999999999995,1.0
Factory New_M4A1-S-Nightmare,Classified,58.68,586.8,0.07
Minimal Wear_M4A1-S-Nightmare,Classified,24.72,247.2,0.15
Field-Tested_M4A1-S-Nightmare,Classified,12.04,120.39999999999999,0.38
Well-Worn_M4A1-S-Nightmare,Classified,8.23,82.30000000000001,0.45
Battle-Scarred_M4A1-S-Nightmare,Classified,8.32,83.2,1.0
Factory New_Sawed-Off-Devourer,Classified,26.7,267.0,0.08750000000000001
Minimal Wear_Sawed-Off-Devourer,Classified,12.0,120.0,0.18749999999999997
Field-Tested_Sawed-Off-Devourer,Classified,5.86,58.6,0.475
Well-Worn_Sawed-Off-Devourer,Classified,6.42,64.2,0.5625
Battle-Scarred_Sawed-Off-Devourer,Classified,4.83,48.3,1.25
Factory New_FAMAS-Eye-of-Athena,Classified,23.68,236.8,0.10000000000000002
Minimal Wear_FAMAS-Eye-of-Athena,Classified,12.18,121.8,0.2142857142857143
Field-Tested_FAMAS-Eye-of-Athena,Classified,6.17,61.7,0.5428571428571429
Well-Worn_FAMAS-Eye-of-Athena,Classified,7.09,70.9,0.6428571428571429
Battle-Scarred_FAMAS-Eye-of-Athena,Classified,5.33,53.3,1.4285714285714286
Factory New_AWP-PAW,Restricted,12.64,126.4,0.14
Minimal Wear_AWP-PAW,Restricted,7.77,77.69999999999999,0.3
Field-Tested_AWP-PAW,Restricted,5.68,56.8,0.76
Well-Worn_AWP-PAW,Restricted,7.14,71.39999999999999,0.9
Battle-Scarred_AWP-PAW,Restricted,6.99,69.9,2.0
Factory New_CZ75-Auto-Eco,Restricted,8.95,89.5,0.07
Minimal Wear_CZ75-Auto-Eco,Restricted,2.51,25.099999999999998,0.15
Field-Tested_CZ75-Auto-Eco,Restricted,1.18,11.799999999999999,0.38
Well-Worn_CZ75-Auto-Eco,Restricted,0.82,8.2,0.45
Battle-Scarred_CZ75-Auto-Eco,Restricted,0.76,7.6,1.0
Factory New_MP7-Powercore,Restricted,4.55,45.5,0.08750000000000001
Minimal Wear_MP7-Powercore,Restricted,2.05,20.5,0.18749999999999997
