Name,Rarity,Price,Price x 10,Max Avg. Float input
Factory New_AK-47-Fuel-Injector,Covert,212.44,2124.4,0.07
Minimal Wear_AK-47-Fuel-Injector,Covert,212.44,2124.4,0.15
Field-Tested_AK-47-Fuel-Injector,Covert,127.55,1275.5,0.38
Well-Worn_AK-47-Fuel-Injector,Covert,83.2,832.0,0.45
Battle-Scarred_AK-47-Fuel-Injector,Covert,72.09,720.9000000000001,1.0
Factory New_M4A4-The-Battlestar,Covert,51.8,518.0,0.10937500000000001
Minimal Wear_M4A4-The-Battlestar,Covert,33.11,331.1,0.234375
Field-Tested_M4A4-The-Battlestar,Covert,18.23,182.3,0.59375
Well-Worn_M4A4-The-Battlestar,Covert,32.3,323.0,0.703125
Battle-Scarred_M4A4-The-Battlestar,Covert,18.52,185.2,1.5625
Factory New_Desert-Eagle-Kumicho-Dragon,Classified,77.5,775.0,0.09210526315789475
Minimal Wear_Desert-Eagle-Kumicho-Dragon,Classified,43.76,437.59999999999997,0.19736842105263158
Field-Tested_Desert-Eagle-Kumicho-Dragon,Classified,27.19,271.90000000000003,0.5
Well-Worn_Desert-Eagle-Kumicho-Dragon,Classified,38.93,389.3,0.5921052631578947
Battle-Scarred_Desert-Eagle-Kumicho-Dragon,Classified,23.41,234.1,1.3157894736842106
Factory New_AWP-Elite-Build,Classified,50.85,508.5,0.07
Minimal Wear_AWP-Elite-Build,Classified,26.36,263.6,0.15
Field-Tested_AWP-Elite-Build,Classified,13.61,136.1,0.38
Well-Worn_AWP-Elite-Build,Classified,12.68,126.8,0.45
Battle-Scarred_AWP-Elite-Build,Classified,14.5,145.0,1.0
Factory New_Nova-Hyper-Beast,Classified,28.71,287.1,0.11666666666666668
Minimal Wear_Nova-Hyper-Beast,Classified,17.06,170.6,0.25
Field-Tested_Nova-Hyper-Beast,Classified,8.1,81.0,0.6333333333333334
Well-Worn_Nova-Hyper-Beast,Classified,10.93,109.3,0.75
Battle-Scarred_Nova-Hyper-Beast,Classified,7.17,71.7,1.6666666666666667
Factory New_Glock-18-Royal-Legion,Restricted,20.94,209.4,0.07
Minimal Wear_Glock-18-Royal-Legion,Restricted,6.73,67.30000000000001,0.15
Field-Tested_Glock-18-Royal-Legion,Restricted,3.41,34.1,0.38
Well-Worn_Glock-18-Royal-Legion,Restricted,2.68,26.8,0.45
Battle-Scarred_Glock-18-Royal-Legion,Restricted,2.01,20.099999999999998,1.0
Factory New_FAMAS-Valence,Restricted,14.3,143.0,0.08750000000000001
Minimal Wear_FAMAS-Valence,Restricted,5.73,57.300000000000004,0.18749999999999997
Field-Tested_FAMAS-Valence,Restricted,3.21,32.1,0.475
Well-Worn_FAMAS-Valence,Restricted,4.45,44.5,0.5625
