Name,Rarity,Price,Price x 10,Max Avg. Float input
Stat-Trak_Factory New_AWP-Wildfire,Covert,375.1,3751.0,0.08695652173913045
Stat-Trak_Minimal Wear_AWP-Wildfire,Covert,202.08,2020.8000000000002,0.20289855072463767
Stat-Trak_Field-Tested_AWP-Wildfire,Covert,100.21,1002.0999999999999,0.5362318840579711
Stat-Trak_Well-Worn_AWP-Wildfire,Covert,100.36,1003.6,0.6376811594202899
Stat-Trak_Battle-Scarred_AWP-Wildfire,Covert,59.16,591.5999999999999,1.4347826086956523
Factory New_AWP-Wildfire,Covert,107.82,1078.1999999999998,0.08695652173913045
Minimal Wear_AWP-Wildfire,Covert,73.69,736.9,0.20289855072463767
Field-Tested_AWP-Wildfire,Covert,48.96,489.6,0.5362318840579711
Well-Worn_AWP-Wildfire,Covert,45.57,455.7,0.6376811594202899
Battle-Scarred_AWP-Wildfire,Covert,26.23,262.3,1.4347826086956523
Stat-Trak_Factory New_FAMAS-Commemoration,Covert,58.36,583.6,0.14
Stat-Trak_Minimal Wear_FAMAS-Commemoration,Covert,36.56,365.6,0.3
Stat-Trak_Field-Tested_FAMAS-Commemoration,Covert,29.81,298.09999999999997,0.76
Stat-Trak_Well-Worn_FAMAS-Commemoration,Covert,29.33,293.29999999999995,0.9
Stat-Trak_Battle-Scarred_FAMAS-Commemoration,Covert,21.96,219.60000000000002,2.0
Factory New_FAMAS-Commemoration,Covert,17.05,170.5,0.14
Minimal Wear_FAMAS-Commemoration,Covert,11.97,119.7,0.3
Field-Tested_FAMAS-Commemoration,Covert,10.12,101.19999999999999,0.76
Well-Worn_FAMAS-Commemoration,Covert,10.21,102.10000000000001,0.9
Battle-Scarred_FAMAS-Commemoration,Covert,9.01,90.1,2.0
Stat-Trak_Factory New_MP9-Hydra,Classified,36.66,366.59999999999997,0.07
Stat-Trak_Minimal Wear_MP9-Hydra,Classified,14.67,146.7,0.15
Stat-Trak_Field-Tested_MP9-Hydra,Classified,8.63,86.30000000000001,0.38
Stat-Trak_Well-Worn_MP9-Hydra,Classified,6.32,63.2,0.45
Stat-Trak_Battle-Scarred_MP9-Hydra,Classified,5.39,53.9,1.0
Factory New_MP9-Hydra,Classified,10.36,103.6,0.07
Minimal Wear_MP9-Hydra,Classified,5.2,52.0,0.15
Field-Tested_MP9-Hydra,Classified,3.39,33.9,0.38
Well-Worn_MP9-Hydra,Classified,2.89,28.900000000000002,0.45
Battle-Scarred_MP9-Hydra,Classified,2.72,27.200000000000003,1.0
Stat-Trak_Factory New_AUG-Death-by-Puppy,Classified,21.45,214.5,0.17500000000000002
Stat-Trak_Minimal Wear_AUG-Death-by-Puppy,Classified,13.89,138.9,0.37499999999999994
Stat-Trak_Field-Tested_AUG-Death-by-Puppy,Classified,8.06,80.60000000000001,0.95
Stat-Trak_Well-Worn_AUG-Death-by-Puppy,Classified,8.42,84.2,1.125
Factory New_AUG-Death-by-Puppy,Classified,7.51,75.1,0.17500000000000002
Minimal Wear_AUG-Death-by-Puppy,Classified,4.63,46.3,0.37499999999999994
Field-Tested_AUG-Death-by-Puppy,Classified,3.42,34.2,0.95
Well-Worn_AUG-Death-by-Puppy,Classified,3.09,30.9,1.125
Stat-Trak_Factory New_P90-Nostalgia,Classified,18.88,188.79999999999998,0.12280701754385967
Stat-Trak_Minimal Wear_P90-Nostalgia,Classified,11.42,114.2,0.2631578947368421
Stat-Trak_Field-Tested_P90-Nostalgia,Classified,8.42,84.2,0.6666666666666667
Stat-Trak_Well-Worn_P90-Nostalgia,Classified,6.66,66.6,0.7894736842105264
Stat-Trak_Battle-Scarred_P90-Nostalgia,Classified,6.42,64.2,1.7543859649122808
Factory New_P90-Nostalgia,Classified,7.31,73.1,0.12280701754385967
Minimal Wear_P90-Nostalgia,Classified,4.51,45.099999999999994,0.2631578947368421
Field-Tested_P90-Nostalgia,Classified,3.6,36.0,0.6666666666666667
Well-Worn_P90-Nostalgia,Classified,3.12,31.200000000000003,0.7894736842105264
Battle-Scarred_P90-Nostalgia,Classified,2.72,27.200000000000003,1.7543859649122808
Stat-Trak_Factory New_MP5-SD-Agent,Restricted,13.55,135.5,0.07
Stat-Trak_Minimal Wear_MP5-SD-Agent,Restricted,2.98,29.8,0.15
Stat-Trak_Field-Tested_MP5-SD-Agent,Restricted,1.61,16.1,0.38
Stat-Trak_Well-Worn_MP5-SD-Agent,Restricted,1.21,12.1,0.45
Stat-Trak_Battle-Scarred_MP5-SD-Agent,Restricted,0.83,8.299999999999999,1.0
Factory New_MP5-SD-Agent,Restricted,2.53,25.299999999999997,0.07
Minimal Wear_MP5-SD-Agent,Restricted,0.72,7.199999999999999,0.15
Field-Tested_MP5-SD-Agent,Restricted,0.41,4.1,0.38
Well-Worn_MP5-SD-Agent,Restricted,0.33,3.3000000000000003,0.45
Battle-Scarred_MP5-SD-Agent,Restricted,0.33,3.3000000000000003,1.0
Stat-Trak_Factory New_UMP-45-Plastique,Restricted,4.66,46.6,0.08750000000000001
Stat-Trak_Minimal Wear_UMP-45-Plastique,Restricted,2.0,20.0,0.18749999999999997
Stat-Trak_Field-Tested_UMP-45-Plastique,Restricted,1.01,10.1,0.475
Stat-Trak_Well-Worn_UMP-45-Plastique,Restricted,1.47,14.7,0.5625
Stat-Trak_Battle-Scarred_UMP-45-Plastique,Restricted,0.91,9.1,1.25
Factory New_UMP-45-Plastique,Restricted,1.05,10.5,0.08750000000000001
Minimal Wear_UMP-45-Plastique,Restricted,0.6,6.0,0.18749999999999997
Field-Tested_UMP-45-Plastique,Restricted,0.36,3.5999999999999996,0.475
Well-Worn_UMP-45-Plastique,Restricted,0.52,5.2,0.5625
Battle-Scarred_UMP-45-Plastique,Restricted,0.35,3.5,1.25
Stat-Trak_Factory New_P250-Inferno,Restricted,3.59,35.9,0.10294117647058824
Stat-Trak_Minimal Wear_P250-Inferno,Restricted,1.97,19.7,0.2205882352941176
Stat-Trak_Field-Tested_P250-Inferno,Restricted,1.15,11.5,0.5588235294117647
Stat-Trak_Well-Worn_P250-Inferno,Restricted,1.44,14.399999999999999,0.6617647058823529
Stat-Trak_Battle-Scarred_P250-Inferno,Restricted,1.06,10.600000000000001,1.4705882352941175
Factory New_P250-Inferno,Restricted,0.91,9.1,0.10294117647058824
Minimal Wear_P250-Inferno,Restricted,0.6,6.0,0.2205882352941176
Field-Tested_P250-Inferno,Restricted,0.39,3.9000000000000004,0.5588235294117647
Well-Worn_P250-Inferno,Restricted,0.41,4.1,0.6617647058823529
Battle-Scarred_P250-Inferno,Restricted,0.35,3.5,1.4705882352941175
Stat-Trak_Factory New_Five-SeveN-Buddy,Restricted,2.97,29.700000000000003,0.1272727272727273
Stat-Trak_Minimal Wear_Five-SeveN-Buddy,Restricted,1.94,19.4,0.2727272727272727
Stat-Trak_Field-Tested_Five-SeveN-Buddy,Restricted,1.01,10.1,0.6909090909090908
Stat-Trak_Well-Worn_Five-SeveN-Buddy,Restricted,0.94,9.399999999999999,0.8181818181818181
Stat-Trak_Battle-Scarred_Five-SeveN-Buddy,Restricted,0.84,8.4,1.8181818181818181
Factory New_Five-SeveN-Buddy,Restricted,0.9,9.0,0.1272727272727273
Minimal Wear_Five-SeveN-Buddy,Restricted,0.6,6.0,0.2727272727272727
Field-Tested_Five-SeveN-Buddy,Restricted,0.39,3.9000000000000004,0.6909090909090908
Well-Worn_Five-SeveN-Buddy,Restricted,0.33,3.3000000000000003,0.8181818181818181
Battle-Scarred_Five-SeveN-Buddy,Restricted,0.32,3.2,1.8181818181818181
Stat-Trak_Factory New_M249-Aztec,Restricted,2.66,26.6,0.09333333333333334
Stat-Trak_Minimal Wear_M249-Aztec,Restricted,1.74,17.4,0.19999999999999998
Stat-Trak_Field-Tested_M249-Aztec,Restricted,0.93,9.3,0.5066666666666667
Stat-Trak_Well-Worn_M249-Aztec,Restricted,0.85,8.5,0.6
Stat-Trak_Battle-Scarred_M249-Aztec,Restricted,0.68,6.800000000000001,1.3333333333333333
Factory New_M249-Aztec,Restricted,0.84,8.4,0.09333333333333334
Minimal Wear_M249-Aztec,Restricted,0.55,5.5,0.19999999999999998
Field-Tested_M249-Aztec,Restricted,0.35,3.5,0.5066666666666667
Well-Worn_M249-Aztec,Restricted,0.36,3.5999999999999996,0.6
Battle-Scarred_M249-Aztec,Restricted,0.34,3.4000000000000004,1.3333333333333333
Stat-Trak_Factory New_Glock-18-Sacrifice,Mil-Spec,8.68,86.8,0.07
Stat-Trak_Minimal Wear_Glock-18-Sacrifice,Mil-Spec,2.27,22.7,0.15
Stat-Trak_Field-Tested_Glock-18-Sacrifice,Mil-Spec,1.29,12.9,0.38
Stat-Trak_Well-Worn_Glock-18-Sacrifice,Mil-Spec,1.05,10.5,0.45
Stat-Trak_Battle-Scarred_Glock-18-Sacrifice,Mil-Spec,1.08,10.8,1.0
Factory New_Glock-18-Sacrifice,Mil-Spec,1.44,14.399999999999999,0.07
Minimal Wear_Glock-18-Sacrifice,Mil-Spec,0.32,3.2,0.15
Field-Tested_Glock-18-Sacrifice,Mil-Spec,0.18,1.7999999999999998,0.38
Well-Worn_Glock-18-Sacrifice,Mil-Spec,0.13,1.3,0.45
Battle-Scarred_Glock-18-Sacrifice,Mil-Spec,0.13,1.3,1.0
Stat-Trak_Factory New_FAMAS-Decommissioned,Mil-Spec,2.23,22.3,0.07
Stat-Trak_Minimal Wear_FAMAS-Decommissioned,Mil-Spec,0.7,7.0,0.15
Stat-Trak_Field-Tested_FAMAS-Decommissioned,Mil-Spec,0.46,4.6000000000000005,0.38
Stat-Trak_Well-Worn_FAMAS-Decommissioned,Mil-Spec,0.4,4.0,0.45
Stat-Trak_Battle-Scarred_FAMAS-Decommissioned,Mil-Spec,0.39,3.9000000000000004,1.0
Factory New_FAMAS-Decommissioned,Mil-Spec,0.48,4.8,0.07
Minimal Wear_FAMAS-Decommissioned,Mil-Spec,0.12,1.2,0.15
Field-Tested_FAMAS-Decommissioned,Mil-Spec,0.09,0.8999999999999999,0.38
Well-Worn_FAMAS-Decommissioned,Mil-Spec,0.09,0.8999999999999999,0.45
Battle-Scarred_FAMAS-Decommissioned,Mil-Spec,0.09,0.8999999999999999,1.0
Stat-Trak_Factory New_MAC-10-Classic-Crate,Mil-Spec,1.04,10.4,0.07
Stat-Trak_Minimal Wear_MAC-10-Classic-Crate,Mil-Spec,0.3,3.0,0.15
Stat-Trak_Field-Tested_MAC-10-Classic-Crate,Mil-Spec,0.2,2.0,0.38
Stat-Trak_Well-Worn_MAC-10-Classic-Crate,Mil-Spec,0.19,1.9,0.45
Stat-Trak_Battle-Scarred_MAC-10-Classic-Crate,Mil-Spec,0.18,1.7999999999999998,1.0
Factory New_MAC-10-Classic-Crate,Mil-Spec,0.23,2.3000000000000003,0.07
Minimal Wear_MAC-10-Classic-Crate,Mil-Spec,0.1,1.0,0.15
Field-Tested_MAC-10-Classic-Crate,Mil-Spec,0.08,0.8,0.38
Well-Worn_MAC-10-Classic-Crate,Mil-Spec,0.08,0.8,0.45
Battle-Scarred_MAC-10-Classic-Crate,Mil-Spec,0.08,0.8,1.0
Stat-Trak_Factory New_MAG-7-Popdog,Mil-Spec,0.72,7.199999999999999,0.08750000000000001
Stat-Trak_Minimal Wear_MAG-7-Popdog,Mil-Spec,0.3,3.0,0.18749999999999997
Stat-Trak_Field-Tested_MAG-7-Popdog,Mil-Spec,0.19,1.9,0.475
Stat-Trak_Well-Worn_MAG-7-Popdog,Mil-Spec,0.24,2.4,0.5625
Stat-Trak_Battle-Scarred_MAG-7-Popdog,Mil-Spec,0.19,1.9,1.25
Factory New_MAG-7-Popdog,Mil-Spec,0.19,1.9,0.08750000000000001
Minimal Wear_MAG-7-Popdog,Mil-Spec,0.1,1.0,0.18749999999999997
Field-Tested_MAG-7-Popdog,Mil-Spec,0.08,0.8,0.475
Well-Worn_MAG-7-Popdog,Mil-Spec,0.09,0.8999999999999999,0.5625
Battle-Scarred_MAG-7-Popdog,Mil-Spec,0.08,0.8,1.25
Stat-Trak_Factory New_Dual-Berettas-Elite-1.6,Mil-Spec,0.66,6.6000000000000005,0.10000000000000002
Stat-Trak_Minimal Wear_Dual-Berettas-Elite-1.6,Mil-Spec,0.3,3.0,0.2142857142857143
Stat-Trak_Field-Tested_Dual-Berettas-Elite-1.6,Mil-Spec,0.18,1.7999999999999998,0.5428571428571429
Stat-Trak_Well-Worn_Dual-Berettas-Elite-1.6,Mil-Spec,0.22,2.2,0.6428571428571429
Stat-Trak_Battle-Scarred_Dual-Berettas-Elite-1.6,Mil-Spec,0.19,1.9,1.4285714285714286
Factory New_Dual-Berettas-Elite-1.6,Mil-Spec,0.2,2.0,0.10000000000000002
Minimal Wear_Dual-Berettas-Elite-1.6,Mil-Spec,0.1,1.0,0.2142857142857143
Field-Tested_Dual-Berettas-Elite-1.6,Mil-Spec,0.08,0.8,0.5428571428571429
Well-Worn_Dual-Berettas-Elite-1.6,Mil-Spec,0.08,0.8,0.6428571428571429
Battle-Scarred_Dual-Berettas-Elite-1.6,Mil-Spec,0.08,0.8,1.4285714285714286
Stat-Trak_Factory New_SCAR-20-Assault,Mil-Spec,0.64,6.4,0.11290322580645162
Stat-Trak_Minimal Wear_SCAR-20-Assault,Mil-Spec,0.3,3.0,0.24193548387096772
Stat-Trak_Field-Tested_SCAR-20-Assault,Mil-Spec,0.18,1.7999999999999998,0.6129032258064516
Stat-Trak_Well-Worn_SCAR-20-Assault,Mil-Spec,0.21,2.1,0.7258064516129032
Stat-Trak_Battle-Scarred_SCAR-20-Assault,Mil-Spec,0.19,1.9,1.6129032258064517
Factory New_SCAR-20-Assault,Mil-Spec,0.19,1.9,0.11290322580645162
Minimal Wear_SCAR-20-Assault,Mil-Spec,0.1,1.0,0.24193548387096772
Field-Tested_SCAR-20-Assault,Mil-Spec,0.08,0.8,0.6129032258064516
Well-Worn_SCAR-20-Assault,Mil-Spec,0.08,0.8,0.7258064516129032
Battle-Scarred_SCAR-20-Assault,Mil-Spec,0.08,0.8,1.6129032258064517
Stat-Trak_Factory New_Tec-9-Flash-Out,Mil-Spec,0.62,6.2,0.10000000000000002
Stat-Trak_Minimal Wear_Tec-9-Flash-Out,Mil-Spec,0.3,3.0,0.2142857142857143
Stat-Trak_Field-Tested_Tec-9-Flash-Out,Mil-Spec,0.18,1.7999999999999998,0.5428571428571429
Stat-Trak_Well-Worn_Tec-9-Flash-Out,Mil-Spec,0.19,1.9,0.6428571428571429
Stat-Trak_Battle-Scarred_Tec-9-Flash-Out,Mil-Spec,0.18,1.7999999999999998,1.4285714285714286
Factory New_Tec-9-Flash-Out,Mil-Spec,0.19,1.9,0.10000000000000002
Minimal Wear_Tec-9-Flash-Out,Mil-Spec,0.1,1.0,0.2142857142857143
Field-Tested_Tec-9-Flash-Out,Mil-Spec,0.08,0.8,0.5428571428571429
Well-Worn_Tec-9-Flash-Out,Mil-Spec,0.08,0.8,0.6428571428571429
Battle-Scarred_Tec-9-Flash-Out,Mil-Spec,0.08,0.8,1.4285714285714286
