Name,Rarity,Price,Price x 10,Max Avg. Float input
Stat-Trak_Factory New_M4A4-Neo-Noir,Covert,302.3,3023.0,0.07777777777777778
Stat-Trak_Minimal Wear_M4A4-Neo-Noir,Covert,120.66,1206.6,0.16666666666666666
Stat-Trak_Field-Tested_M4A4-Neo-Noir,Covert,50.43,504.3,0.4222222222222222
Stat-Trak_Well-Worn_M4A4-Neo-Noir,Covert,39.31,393.1,0.5
Stat-Trak_Battle-Scarred_M4A4-Neo-Noir,Covert,31.01,310.1,1.1111111111111112
Factory New_M4A4-Neo-Noir,Covert,80.66,806.5999999999999,0.07777777777777778
Minimal Wear_M4A4-Neo-Noir,Covert,41.7,417.0,0.16666666666666666
Field-Tested_M4A4-Neo-Noir,Covert,19.07,190.7,0.4222222222222222
Well-Worn_M4A4-Neo-Noir,Covert,15.65,156.5,0.5
Battle-Scarred_M4A4-Neo-Noir,Covert,11.99,119.9,1.1111111111111112
Stat-Trak_Factory New_MP7-Bloodsport,Covert,26.35,263.5,0.1076923076923077
Stat-Trak_Minimal Wear_MP7-Bloodsport,Covert,13.87,138.7,0.23076923076923075
Stat-Trak_Field-Tested_MP7-Bloodsport,Covert,7.41,74.1,0.5846153846153846
Stat-Trak_Well-Worn_MP7-Bloodsport,Covert,8.15,81.5,0.6923076923076923
Stat-Trak_Battle-Scarred_MP7-Bloodsport,Covert,5.69,56.900000000000006,1.5384615384615383
Factory New_MP7-Bloodsport,Covert,7.39,73.89999999999999,0.1076923076923077
Minimal Wear_MP7-Bloodsport,Covert,4.44,44.400000000000006,0.23076923076923075
Field-Tested_MP7-Bloodsport,Covert,3.26,32.599999999999994,0.5846153846153846
Well-Worn_MP7-Bloodsport,Covert,3.99,39.900000000000006,0.6923076923076923
Battle-Scarred_MP7-Bloodsport,Covert,2.64,26.400000000000002,1.5384615384615383
Stat-Trak_Factory New_USP-S-Cortex,Classified,56.83,568.3,0.07
Stat-Trak_Minimal Wear_USP-S-Cortex,Classified,25.23,252.3,0.15
Stat-Trak_Field-Tested_USP-S-Cortex,Classified,13.63,136.3,0.38
Stat-Trak_Well-Worn_USP-S-Cortex,Classified,10.88,108.80000000000001,0.45
Stat-Trak_Battle-Scarred_USP-S-Cortex,Classified,10.5,105.0,1.0
Factory New_USP-S-Cortex,Classified,17.59,175.9,0.07
Minimal Wear_USP-S-Cortex,Classified,8.42,84.2,0.15
Field-Tested_USP-S-Cortex,Classified,5.23,52.300000000000004,0.38
Well-Worn_USP-S-Cortex,Classified,4.45,44.5,0.45
Battle-Scarred_USP-S-Cortex,Classified,4.04,40.4,1.0
Stat-Trak_Factory New_AWP-Mortis,Classified,23.56,235.6,0.10937500000000001
Stat-Trak_Minimal Wear_AWP-Mortis,Classified,13.89,138.9,0.234375
Stat-Trak_Field-Tested_AWP-Mortis,Classified,10.62,106.19999999999999,0.59375
Stat-Trak_Well-Worn_AWP-Mortis,Classified,13.78,137.79999999999998,0.703125
Stat-Trak_Battle-Scarred_AWP-Mortis,Classified,10.21,102.10000000000001,1.5625
Factory New_AWP-Mortis,Classified,6.81,68.1,0.10937500000000001
Minimal Wear_AWP-Mortis,Classified,4.36,43.6,0.234375
Field-Tested_AWP-Mortis,Classified,3.7,37.0,0.59375
Well-Worn_AWP-Mortis,Classified,4.25,42.5,0.703125
Battle-Scarred_AWP-Mortis,Classified,3.69,36.9,1.5625
Stat-Trak_Factory New_AUG-Stymphalian,Classified,21.05,210.5,0.11111111111111112
Stat-Trak_Minimal Wear_AUG-Stymphalian,Classified,8.52,85.19999999999999,0.23809523809523808
Stat-Trak_Field-Tested_AUG-Stymphalian,Classified,4.01,40.099999999999994,0.6031746031746031
Stat-Trak_Well-Worn_AUG-Stymphalian,Classified,3.97,39.7,0.7142857142857143
Stat-Trak_Battle-Scarred_AUG-Stymphalian,Classified,3.61,36.1,1.5873015873015872
Factory New_AUG-Stymphalian,Classified,5.78,57.800000000000004,0.11111111111111112
Minimal Wear_AUG-Stymphalian,Classified,2.88,28.799999999999997,0.23809523809523808
Field-Tested_AUG-Stymphalian,Classified,1.68,16.8,0.6031746031746031
Well-Worn_AUG-Stymphalian,Classified,1.8,18.0,0.7142857142857143
Battle-Scarred_AUG-Stymphalian,Classified,1.74,17.4,1.5873015873015872
