Name,Rarity,Price,Price x 10,Max Avg. Float input
Stat-Trak_Factory New_AK-47-Asiimov,Covert,678.11,6781.1,0.030769230769230778
Stat-Trak_Minimal Wear_AK-47-Asiimov,Covert,115.02,1150.2,0.15384615384615385
Stat-Trak_Field-Tested_AK-47-Asiimov,Covert,62.66,626.5999999999999,0.5076923076923078
Stat-Trak_Well-Worn_AK-47-Asiimov,Covert,64.07,640.6999999999999,0.6153846153846155
Stat-Trak_Battle-Scarred_AK-47-Asiimov,Covert,49.64,496.4,1.4615384615384617
Factory New_AK-47-Asiimov,Covert,143.05,1430.5,0.030769230769230778
Minimal Wear_AK-47-Asiimov,Covert,42.91,429.09999999999997,0.15384615384615385
Field-Tested_AK-47-Asiimov,Covert,30.0,300.0,0.5076923076923078
Well-Worn_AK-47-Asiimov,Covert,31.58,315.79999999999995,0.6153846153846155
Battle-Scarred_AK-47-Asiimov,Covert,22.92,229.20000000000002,1.4615384615384617
Stat-Trak_Factory New_AWP-Neo-Noir,Covert,124.45,1244.5,0.14
Stat-Trak_Minimal Wear_AWP-Neo-Noir,Covert,91.15,911.5,0.3
Stat-Trak_Field-Tested_AWP-Neo-Noir,Covert,67.25,672.5,0.76
Stat-Trak_Well-Worn_AWP-Neo-Noir,Covert,58.4,584.0,0.9
Stat-Trak_Battle-Scarred_AWP-Neo-Noir,Covert,55.01,550.1,2.0
Factory New_AWP-Neo-Noir,Covert,43.34,433.40000000000003,0.14
Minimal Wear_AWP-Neo-Noir,Covert,38.04,380.4,0.3
Field-Tested_AWP-Neo-Noir,Covert,34.72,347.2,0.76
Well-Worn_AWP-Neo-Noir,Covert,29.37,293.7,0.9
Battle-Scarred_AWP-Neo-Noir,Covert,26.06,260.59999999999997,2.0
Stat-Trak_Factory New_Desert-Eagle-Mecha-Industries,Classified,32.61,326.1,0.11666666666666668
Stat-Trak_Minimal Wear_Desert-Eagle-Mecha-Industries,Classified,19.7,197.0,0.25
Stat-Trak_Field-Tested_Desert-Eagle-Mecha-Industries,Classified,13.16,131.6,0.6333333333333334
Stat-Trak_Well-Worn_Desert-Eagle-Mecha-Industries,Classified,15.03,150.29999999999998,0.75
Stat-Trak_Battle-Scarred_Desert-Eagle-Mecha-Industries,Classified,11.17,111.7,1.6666666666666667
Factory New_Desert-Eagle-Mecha-Industries,Classified,7.99,79.9,0.11666666666666668
Minimal Wear_Desert-Eagle-Mecha-Industries,Classified,5.17,51.7,0.25
Field-Tested_Desert-Eagle-Mecha-Industries,Classified,4.24,42.400000000000006,0.6333333333333334
Well-Worn_Desert-Eagle-Mecha-Industries,Classified,4.7,47.0,0.75
Battle-Scarred_Desert-Eagle-Mecha-Industries,Classified,3.84,38.4,1.6666666666666667
Stat-Trak_Factory New_MP5-SD-Phosphor,Classified,22.7,227.0,0.08750000000000001
Stat-Trak_Minimal Wear_MP5-SD-Phosphor,Classified,12.35,123.5,0.18749999999999997
