Name,Rarity,Price,Price x 10,Max Avg. Float input
Stat-Trak_Factory New_AWP-Hyper-Beast,Covert,192.5,1925.0,0.07
Stat-Trak_Minimal Wear_AWP-Hyper-Beast,Covert,90.12,901.2,0.15
Stat-Trak_Field-Tested_AWP-Hyper-Beast,Covert,62.18,621.8,0.38
Stat-Trak_Well-Worn_AWP-Hyper-Beast,Covert,41.1,411.0,0.45
Stat-Trak_Battle-Scarred_AWP-Hyper-Beast,Covert,33.81,338.1,1.0
Factory New_AWP-Hyper-Beast,Covert,57.18,571.8,0.07
Minimal Wear_AWP-Hyper-Beast,Covert,35.49,354.90000000000003,0.15
Field-Tested_AWP-Hyper-Beast,Covert,26.21,262.1,0.38
Well-Worn_AWP-Hyper-Beast,Covert,21.33,213.29999999999998,0.45
Battle-Scarred_AWP-Hyper-Beast,Covert,16.73,167.3,1.0
Stat-Trak_Factory New_AK-47-Aquamarine-Revenge,Covert,164.69,1646.9,0.07
Stat-Trak_Minimal Wear_AK-47-Aquamarine-Revenge,Covert,87.15,871.5,0.15
Stat-Trak_Field-Tested_AK-47-Aquamarine-Revenge,Covert,56.19,561.9,0.38
Stat-Trak_Well-Worn_AK-47-Aquamarine-Revenge,Covert,44.42,444.20000000000005,0.45
Stat-Trak_Battle-Scarred_AK-47-Aquamarine-Revenge,Covert,35.33,353.29999999999995,1.0
Factory New_AK-47-Aquamarine-Revenge,Covert,55.37,553.6999999999999,0.07
Minimal Wear_AK-47-Aquamarine-Revenge,Covert,33.18,331.8,0.15
Field-Tested_AK-47-Aquamarine-Revenge,Covert,23.45,234.5,0.38
Well-Worn_AK-47-Aquamarine-Revenge,Covert,20.7,207.0,0.45
Battle-Scarred_AK-47-Aquamarine-Revenge,Covert,17.33,173.29999999999998,1.0
Stat-Trak_Factory New_SG-553-Cyrex,Classified,88.16,881.5999999999999,0.07
Stat-Trak_Minimal Wear_SG-553-Cyrex,Classified,42.91,429.09999999999997,0.15
Stat-Trak_Field-Tested_SG-553-Cyrex,Classified,24.63,246.29999999999998,0.38
Stat-Trak_Well-Worn_SG-553-Cyrex,Classified,16.49,164.89999999999998,0.45
Stat-Trak_Battle-Scarred_SG-553-Cyrex,Classified,12.34,123.4,1.0
Factory New_SG-553-Cyrex,Classified,31.26,312.6,0.07
Minimal Wear_SG-553-Cyrex,Classified,14.65,146.5,0.15
Field-Tested_SG-553-Cyrex,Classified,7.34,73.4,0.38
Well-Worn_SG-553-Cyrex,Classified,5.59,55.9,0.45
Battle-Scarred_SG-553-Cyrex,Classified,4.69,46.900000000000006,1.0
Stat-Trak_Factory New_MP7-Nemesis,Classified,19.7,197.0,0.21875000000000003
Stat-Trak_Minimal Wear_MP7-Nemesis,Classified,9.99,99.9,0.46875
Stat-Trak_Field-Tested_MP7-Nemesis,Classified,6.31,63.099999999999994,1.1875
Factory New_MP7-Nemesis,Classified,5.92,59.2,0.21875000000000003
Minimal Wear_MP7-Nemesis,Classified,3.57,35.699999999999996,0.46875
Field-Tested_MP7-Nemesis,Classified,3.15,31.5,1.1875
Stat-Trak_Factory New_CZ75-Auto-Yellow-Jacket,Classified,24.48,244.8,0.07
Stat-Trak_Minimal Wear_CZ75-Auto-Yellow-Jacket,Classified,10.07,100.7,0.15
Stat-Trak_Field-Tested_CZ75-Auto-Yellow-Jacket,Classified,5.15,51.5,0.38
Stat-Trak_Well-Worn_CZ75-Auto-Yellow-Jacket,Classified,5.19,51.900000000000006,0.45
Stat-Trak_Battle-Scarred_CZ75-Auto-Yellow-Jacket,Classified,4.74,47.400000000000006,1.0
Factory New_CZ75-Auto-Yellow-Jacket,Classified,7.57,75.7,0.07
Minimal Wear_CZ75-Auto-Yellow-Jacket,Classified,4.21,42.1,0.15
Field-Tested_CZ75-Auto-Yellow-Jacket,Classified,2.9,29.0,0.38
Well-Worn_CZ75-Auto-Yellow-Jacket,Classified,2.78,27.799999999999997,0.45
Battle-Scarred_CZ75-Auto-Yellow-Jacket,Classified,2.54,25.4,1.0
Stat-Trak_Factory New_M4A4-Evil-Daimyo,Restricted,19.71,197.10000000000002,0.13461538461538464
Stat-Trak_Minimal Wear_M4A4-Evil-Daimyo,Restricted,12.46,124.60000000000001,0.28846153846153844
Stat-Trak_Field-Tested_M4A4-Evil-Daimyo,Restricted,8.26,82.6,0.7307692307692307
Stat-Trak_Well-Worn_M4A4-Evil-Daimyo,Restricted,9.25,92.5,0.8653846153846154
Stat-Trak_Battle-Scarred_M4A4-Evil-Daimyo,Restricted,7.65,76.5,1.923076923076923
Factory New_M4A4-Evil-Daimyo,Restricted,6.32,63.2,0.13461538461538464
Minimal Wear_M4A4-Evil-Daimyo,Restricted,4.3,43.0,0.28846153846153844
Field-Tested_M4A4-Evil-Daimyo,Restricted,3.33,33.3,0.7307692307692307
Well-Worn_M4A4-Evil-Daimyo,Restricted,3.67,36.7,0.8653846153846154
Battle-Scarred_M4A4-Evil-Daimyo,Restricted,3.17,31.7,1.923076923076923
Stat-Trak_Minimal Wear_Negev-Loudmouth,Restricted,STFN,STFNSTFNSTFNSTFNSTFNSTFNSTFNSTFNSTFNSTFN,0.019607843137254864
Stat-Trak_Field-Tested_Negev-Loudmouth,Restricted,14.8,148.0,0.47058823529411764
Stat-Trak_Well-Worn_Negev-Loudmouth,Restricted,1.33,13.3,0.6078431372549019
Stat-Trak_Battle-Scarred_Negev-Loudmouth,Restricted,1.51,15.1,1.6862745098039216
Minimal Wear_Negev-Loudmouth,Restricted,FN,FNFNFNFNFNFNFNFNFNFN,0.019607843137254864
Field-Tested_Negev-Loudmouth,Restricted,3.9,39.0,0.47058823529411764
Well-Worn_Negev-Loudmouth,Restricted,0.44,4.4,0.6078431372549019
Battle-Scarred_Negev-Loudmouth,Restricted,0.59,5.8999999999999995,1.6862745098039216
Stat-Trak_Factory New_P2000-Handgun,Restricted,12.07,120.7,0.07
Stat-Trak_Minimal Wear_P2000-Handgun,Restricted,3.21,32.1,0.15
Stat-Trak_Field-Tested_P2000-Handgun,Restricted,1.69,16.9,0.38
Stat-Trak_Well-Worn_P2000-Handgun,Restricted,1.26,12.6,0.45
Stat-Trak_Battle-Scarred_P2000-Handgun,Restricted,1.14,11.399999999999999,1.0
Factory New_P2000-Handgun,Restricted,2.61,26.099999999999998,0.07
Minimal Wear_P2000-Handgun,Restricted,0.93,9.3,0.15
Field-Tested_P2000-Handgun,Restricted,0.53,5.300000000000001,0.38
Well-Worn_P2000-Handgun,Restricted,0.41,4.1,0.45
Battle-Scarred_P2000-Handgun,Restricted,0.41,4.1,1.0
Stat-Trak_Factory New_MP9-Ruby-Poison-Dart,Restricted,5.81,58.099999999999994,0.14
Stat-Trak_Minimal Wear_MP9-Ruby-Poison-Dart,Restricted,3.29,32.9,0.3
Stat-Trak_Field-Tested_MP9-Ruby-Poison-Dart,Restricted,1.93,19.3,0.76
Stat-Trak_Well-Worn_MP9-Ruby-Poison-Dart,Restricted,2.85,28.5,0.9
Stat-Trak_Battle-Scarred_MP9-Ruby-Poison-Dart,Restricted,2.11,21.099999999999998,2.0
Factory New_MP9-Ruby-Poison-Dart,Restricted,1.69,16.9,0.14
Minimal Wear_MP9-Ruby-Poison-Dart,Restricted,1.04,10.4,0.3
Field-Tested_MP9-Ruby-Poison-Dart,Restricted,0.71,7.1,0.76
Well-Worn_MP9-Ruby-Poison-Dart,Restricted,0.69,6.8999999999999995,0.9
Battle-Scarred_MP9-Ruby-Poison-Dart,Restricted,0.76,7.6,2.0
Stat-Trak_Factory New_FAMAS-Neural-Net,Restricted,5.52,55.199999999999996,0.11666666666666668
Stat-Trak_Minimal Wear_FAMAS-Neural-Net,Restricted,3.15,31.5,0.25
Stat-Trak_Field-Tested_FAMAS-Neural-Net,Restricted,1.58,15.8,0.6333333333333334
