Name,Rarity,Price,Price x 10,Max Avg. Float input
Stat-Trak_Factory New_AK-47-Neon-Revolution,Covert,169.86,1698.6000000000001,0.08750000000000001
Stat-Trak_Minimal Wear_AK-47-Neon-Revolution,Covert,76.05,760.5,0.18749999999999997
Stat-Trak_Field-Tested_AK-47-Neon-Revolution,Covert,47.43,474.3,0.475
Stat-Trak_Well-Worn_AK-47-Neon-Revolution,Covert,64.77,647.6999999999999,0.5625
Stat-Trak_Battle-Scarred_AK-47-Neon-Revolution,Covert,37.6,376.0,1.25
Factory New_AK-47-Neon-Revolution,Covert,48.32,483.2,0.08750000000000001
Minimal Wear_AK-47-Neon-Revolution,Covert,30.22,302.2,0.18749999999999997
Field-Tested_AK-47-Neon-Revolution,Covert,20.9,209.0,0.475
Well-Worn_AK-47-Neon-Revolution,Covert,24.68,246.8,0.5625
Battle-Scarred_AK-47-Neon-Revolution,Covert,20.11,201.1,1.25
Stat-Trak_Factory New_FAMAS-Roll-Cage,Covert,140.4,1404.0,0.07
Stat-Trak_Minimal Wear_FAMAS-Roll-Cage,Covert,25.81,258.09999999999997,0.15
Stat-Trak_Field-Tested_FAMAS-Roll-Cage,Covert,12.16,121.6,0.38
Stat-Trak_Well-Worn_FAMAS-Roll-Cage,Covert,9.34,93.4,0.45
Stat-Trak_Battle-Scarred_FAMAS-Roll-Cage,Covert,7.81,78.1,1.0
Factory New_FAMAS-Roll-Cage,Covert,19.42,194.20000000000002,0.07
Minimal Wear_FAMAS-Roll-Cage,Covert,6.78,67.8,0.15
Field-Tested_FAMAS-Roll-Cage,Covert,4.36,43.6,0.38
Well-Worn_FAMAS-Roll-Cage,Covert,3.58,35.8,0.45
Battle-Scarred_FAMAS-Roll-Cage,Covert,3.58,35.8,1.0
Stat-Trak_Factory New_AUG-Syd-Mead,Classified,32.4,324.0,0.08750000000000001
Stat-Trak_Minimal Wear_AUG-Syd-Mead,Classified,12.36,123.6,0.18749999999999997
Stat-Trak_Field-Tested_AUG-Syd-Mead,Classified,4.84,48.4,0.475
Stat-Trak_Well-Worn_AUG-Syd-Mead,Classified,7.53,75.3,0.5625
Stat-Trak_Battle-Scarred_AUG-Syd-Mead,Classified,3.66,36.6,1.25
Factory New_AUG-Syd-Mead,Classified,6.54,65.4,0.08750000000000001
Minimal Wear_AUG-Syd-Mead,Classified,3.42,34.2,0.18749999999999997
Field-Tested_AUG-Syd-Mead,Classified,1.65,16.5,0.475
Well-Worn_AUG-Syd-Mead,Classified,2.21,22.1,0.5625
Battle-Scarred_AUG-Syd-Mead,Classified,1.6,16.0,1.25
Stat-Trak_Factory New_MP9-Airlock,Classified,28.09,280.9,0.07
Stat-Trak_Minimal Wear_MP9-Airlock,Classified,9.41,94.1,0.15
Stat-Trak_Field-Tested_MP9-Airlock,Classified,4.18,41.8,0.38
