Name,Rarity,Price,Price x 10,Max Avg. Float input
Stat-Trak_Factory New_M4A1-S-Mecha-Industries,Covert,128.78,1287.8,0.08750000000000001
Stat-Trak_Minimal Wear_M4A1-S-Mecha-Industries,Covert,55.37,553.6999999999999,0.18749999999999997
Stat-Trak_Field-Tested_M4A1-S-Mecha-Industries,Covert,25.74,257.4,0.475
Stat-Trak_Well-Worn_M4A1-S-Mecha-Industries,Covert,33.24,332.40000000000003,0.5625
Stat-Trak_Battle-Scarred_M4A1-S-Mecha-Industries,Covert,24.23,242.3,1.25
Factory New_M4A1-S-Mecha-Industries,Covert,27.71,277.1,0.08750000000000001
Minimal Wear_M4A1-S-Mecha-Industries,Covert,14.24,142.4,0.18749999999999997
Field-Tested_M4A1-S-Mecha-Industries,Covert,8.85,88.5,0.475
Well-Worn_M4A1-S-Mecha-Industries,Covert,11.4,114.0,0.5625
Battle-Scarred_M4A1-S-Mecha-Industries,Covert,7.42,74.2,1.25
Stat-Trak_Factory New_Glock-18-Wasteland-Rebel,Covert,57.97,579.7,0.12962962962962962
Stat-Trak_Minimal Wear_Glock-18-Wasteland-Rebel,Covert,35.75,357.5,0.27777777777777773
Stat-Trak_Field-Tested_Glock-18-Wasteland-Rebel,Covert,26.66,266.6,0.7037037037037037
Stat-Trak_Well-Worn_Glock-18-Wasteland-Rebel,Covert,29.17,291.70000000000005,0.8333333333333333
Stat-Trak_Battle-Scarred_Glock-18-Wasteland-Rebel,Covert,22.13,221.29999999999998,1.8518518518518516
Factory New_Glock-18-Wasteland-Rebel,Covert,11.0,110.0,0.12962962962962962
Minimal Wear_Glock-18-Wasteland-Rebel,Covert,8.24,82.4,0.27777777777777773
Field-Tested_Glock-18-Wasteland-Rebel,Covert,6.84,68.4,0.7037037037037037
Well-Worn_Glock-18-Wasteland-Rebel,Covert,8.02,80.19999999999999,0.8333333333333333
Battle-Scarred_Glock-18-Wasteland-Rebel,Covert,6.75,67.5,1.8518518518518516
Stat-Trak_Factory New_M4A4-Desolate-Space,Classified,93.5,935.0,0.07
Stat-Trak_Minimal Wear_M4A4-Desolate-Space,Classified,42.35,423.5,0.15
Stat-Trak_Field-Tested_M4A4-Desolate-Space,Classified,31.98,319.8,0.38
Stat-Trak_Well-Worn_M4A4-Desolate-Space,Classified,24.12,241.20000000000002,0.45
Stat-Trak_Battle-Scarred_M4A4-Desolate-Space,Classified,20.74,207.39999999999998,1.0
Factory New_M4A4-Desolate-Space,Classified,31.09,310.9,0.07
Minimal Wear_M4A4-Desolate-Space,Classified,16.91,169.1,0.15
Field-Tested_M4A4-Desolate-Space,Classified,11.65,116.5,0.38
Well-Worn_M4A4-Desolate-Space,Classified,11.01,110.1,0.45
Battle-Scarred_M4A4-Desolate-Space,Classified,9.24,92.4,1.0
Stat-Trak_Factory New_SCAR-20-Bloodsport,Classified,14.72,147.20000000000002,0.15555555555555556
Stat-Trak_Minimal Wear_SCAR-20-Bloodsport,Classified,7.27,72.69999999999999,0.3333333333333333
Stat-Trak_Field-Tested_SCAR-20-Bloodsport,Classified,4.47,44.699999999999996,0.8444444444444444
Stat-Trak_Well-Worn_SCAR-20-Bloodsport,Classified,4.44,44.400000000000006,1.0
Stat-Trak_Battle-Scarred_SCAR-20-Bloodsport,Classified,STBS,STBSSTBSSTBSSTBSSTBSSTBSSTBSSTBSSTBSSTBS,2.2222222222222223
Factory New_SCAR-20-Bloodsport,Classified,4.48,44.800000000000004,0.15555555555555556
Minimal Wear_SCAR-20-Bloodsport,Classified,2.43,24.3,0.3333333333333333
Field-Tested_SCAR-20-Bloodsport,Classified,1.84,18.400000000000002,0.8444444444444444
Well-Worn_SCAR-20-Bloodsport,Classified,1.97,19.7,1.0
Battle-Scarred_SCAR-20-Bloodsport,Classified,BS,BSBSBSBSBSBSBSBSBSBS,2.2222222222222223
Stat-Trak_Factory New_P2000-Imperial-Dragon,Classified,16.04,160.39999999999998,0.11111111111111112
Stat-Trak_Minimal Wear_P2000-Imperial-Dragon,Classified,8.69,86.89999999999999,0.23809523809523808
Stat-Trak_Field-Tested_P2000-Imperial-Dragon,Classified,4.74,47.400000000000006,0.6031746031746031
Stat-Trak_Well-Worn_P2000-Imperial-Dragon,Classified,5.27,52.699999999999996,0.7142857142857143
Stat-Trak_Battle-Scarred_P2000-Imperial-Dragon,Classified,6.42,64.2,1.5873015873015872
Factory New_P2000-Imperial-Dragon,Classified,4.67,46.7,0.11111111111111112
Minimal Wear_P2000-Imperial-Dragon,Classified,2.57,25.7,0.23809523809523808
Field-Tested_P2000-Imperial-Dragon,Classified,1.71,17.1,0.6031746031746031
Well-Worn_P2000-Imperial-Dragon,Classified,1.87,18.700000000000003,0.7142857142857143
Battle-Scarred_P2000-Imperial-Dragon,Classified,1.78,17.8,1.5873015873015872
Stat-Trak_Factory New_AWP-Phobos,Restricted,8.17,81.7,0.17500000000000002
Stat-Trak_Minimal Wear_AWP-Phobos,Restricted,6.06,60.599999999999994,0.37499999999999994
Stat-Trak_Field-Tested_AWP-Phobos,Restricted,5.53,55.300000000000004,0.95
Stat-Trak_Well-Worn_AWP-Phobos,Restricted,7.7,77.0,1.125
Factory New_AWP-Phobos,Restricted,2.24,22.400000000000002,0.17500000000000002
Minimal Wear_AWP-Phobos,Restricted,1.97,19.7,0.37499999999999994
Field-Tested_AWP-Phobos,Restricted,1.81,18.1,0.95
Well-Worn_AWP-Phobos,Restricted,3.42,34.2,1.125
Stat-Trak_Factory New_R8-Revolver-Reboot,Restricted,12.48,124.80000000000001,0.07
Stat-Trak_Minimal Wear_R8-Revolver-Reboot,Restricted,3.28,32.8,0.15
Stat-Trak_Field-Tested_R8-Revolver-Reboot,Restricted,1.55,15.5,0.38
Stat-Trak_Well-Worn_R8-Revolver-Reboot,Restricted,1.31,13.100000000000001,0.45
Stat-Trak_Battle-Scarred_R8-Revolver-Reboot,Restricted,1.19,11.899999999999999,1.0
Factory New_R8-Revolver-Reboot,Restricted,2.73,27.3,0.07
Minimal Wear_R8-Revolver-Reboot,Restricted,0.9,9.0,0.15
Field-Tested_R8-Revolver-Reboot,Restricted,0.6,6.0,0.38
Well-Worn_R8-Revolver-Reboot,Restricted,0.54,5.4,0.45
Battle-Scarred_R8-Revolver-Reboot,Restricted,0.6,6.0,1.0
Stat-Trak_Factory New_AUG-Aristocrat,Restricted,6.19,61.900000000000006,0.10606060606060606
Stat-Trak_Minimal Wear_AUG-Aristocrat,Restricted,3.42,34.2,0.22727272727272727
Stat-Trak_Field-Tested_AUG-Aristocrat,Restricted,1.81,18.1,0.5757575757575757
Stat-Trak_Well-Worn_AUG-Aristocrat,Restricted,2.39,23.900000000000002,0.6818181818181818
Stat-Trak_Battle-Scarred_AUG-Aristocrat,Restricted,1.81,18.1,1.5151515151515151
Factory New_AUG-Aristocrat,Restricted,1.72,17.2,0.10606060606060606
Minimal Wear_AUG-Aristocrat,Restricted,0.96,9.6,0.22727272727272727
Field-Tested_AUG-Aristocrat,Restricted,0.6,6.0,0.5757575757575757
Well-Worn_AUG-Aristocrat,Restricted,0.85,8.5,0.6818181818181818
Battle-Scarred_AUG-Aristocrat,Restricted,0.55,5.5,1.5151515151515151
Stat-Trak_Factory New_P90-Chopper,Restricted,5.45,54.5,0.11666666666666668
Stat-Trak_Minimal Wear_P90-Chopper,Restricted,3.56,35.6,0.25
Stat-Trak_Field-Tested_P90-Chopper,Restricted,1.9,19.0,0.6333333333333334
Stat-Trak_Well-Worn_P90-Chopper,Restricted,2.32,23.2,0.75
Stat-Trak_Battle-Scarred_P90-Chopper,Restricted,1.99,19.9,1.6666666666666667
Factory New_P90-Chopper,Restricted,1.74,17.4,0.11666666666666668
Minimal Wear_P90-Chopper,Restricted,1.03,10.3,0.25
Field-Tested_P90-Chopper,Restricted,0.66,6.6000000000000005,0.6333333333333334
Well-Worn_P90-Chopper,Restricted,0.88,8.8,0.75
Battle-Scarred_P90-Chopper,Restricted,0.61,6.1,1.6666666666666667
Stat-Trak_Factory New_Sawed-Off-Limelight,Restricted,5.89,58.9,0.07
Stat-Trak_Minimal Wear_Sawed-Off-Limelight,Restricted,2.17,21.7,0.15
Stat-Trak_Field-Tested_Sawed-Off-Limelight,Restricted,1.58,15.8,0.38
Stat-Trak_Well-Worn_Sawed-Off-Limelight,Restricted,1.14,11.399999999999999,0.45
Stat-Trak_Battle-Scarred_Sawed-Off-Limelight,Restricted,1.06,10.600000000000001,1.0
Factory New_Sawed-Off-Limelight,Restricted,2.05,20.5,0.07
Minimal Wear_Sawed-Off-Limelight,Restricted,0.89,8.9,0.15
Field-Tested_Sawed-Off-Limelight,Restricted,0.61,6.1,0.38
Well-Worn_Sawed-Off-Limelight,Restricted,0.54,5.4,0.45
Battle-Scarred_Sawed-Off-Limelight,Restricted,0.62,6.2,1.0
Stat-Trak_Factory New_SG-553-Aerial,Mil-Spec,5.56,55.599999999999994,0.11666666666666668
Stat-Trak_Minimal Wear_SG-553-Aerial,Mil-Spec,2.78,27.799999999999997,0.25
Stat-Trak_Field-Tested_SG-553-Aerial,Mil-Spec,1.15,11.5,0.6333333333333334
Stat-Trak_Well-Worn_SG-553-Aerial,Mil-Spec,1.88,18.799999999999997,0.75
Stat-Trak_Battle-Scarred_SG-553-Aerial,Mil-Spec,1.03,10.3,1.6666666666666667
Factory New_SG-553-Aerial,Mil-Spec,0.96,9.6,0.11666666666666668
Minimal Wear_SG-553-Aerial,Mil-Spec,0.56,5.6000000000000005,0.25
