Name,Rarity,Price,Price x 10,Max Avg. Float input
Stat-Trak_Factory New_M4A4-Buzz-Kill,Covert,88.84,888.4000000000001,0.10000000000000002
Stat-Trak_Minimal Wear_M4A4-Buzz-Kill,Covert,51.38,513.8000000000001,0.2142857142857143
Stat-Trak_Field-Tested_M4A4-Buzz-Kill,Covert,34.95,349.5,0.5428571428571429
Stat-Trak_Well-Worn_M4A4-Buzz-Kill,Covert,40.86,408.6,0.6428571428571429
Stat-Trak_Battle-Scarred_M4A4-Buzz-Kill,Covert,30.1,301.0,1.4285714285714286
Factory New_M4A4-Buzz-Kill,Covert,27.93,279.3,0.10000000000000002
Minimal Wear_M4A4-Buzz-Kill,Covert,15.95,159.5,0.2142857142857143
Field-Tested_M4A4-Buzz-Kill,Covert,11.8,118.0,0.5428571428571429
Well-Worn_M4A4-Buzz-Kill,Covert,12.4,124.0,0.6428571428571429
Battle-Scarred_M4A4-Buzz-Kill,Covert,10.38,103.80000000000001,1.4285714285714286
Stat-Trak_Factory New_SSG-08-Dragonfire,Covert,62.02,620.2,0.14
Stat-Trak_Minimal Wear_SSG-08-Dragonfire,Covert,35.06,350.6,0.3
Stat-Trak_Field-Tested_SSG-08-Dragonfire,Covert,26.81,268.09999999999997,0.76
Stat-Trak_Well-Worn_SSG-08-Dragonfire,Covert,31.42,314.20000000000005,0.9
Stat-Trak_Battle-Scarred_SSG-08-Dragonfire,Covert,23.21,232.10000000000002,2.0
Factory New_SSG-08-Dragonfire,Covert,16.35,163.5,0.14
Minimal Wear_SSG-08-Dragonfire,Covert,11.42,114.2,0.3
Field-Tested_SSG-08-Dragonfire,Covert,9.12,91.19999999999999,0.76
Well-Worn_SSG-08-Dragonfire,Covert,9.55,95.5,0.9
Battle-Scarred_SSG-08-Dragonfire,Covert,8.54,85.39999999999999,2.0
Stat-Trak_Factory New_FAMAS-Mecha-Industries,Classified,14.72,147.20000000000002,0.14
Stat-Trak_Minimal Wear_FAMAS-Mecha-Industries,Classified,8.42,84.2,0.3
Stat-Trak_Field-Tested_FAMAS-Mecha-Industries,Classified,5.01,50.099999999999994,0.76
Stat-Trak_Well-Worn_FAMAS-Mecha-Industries,Classified,5.23,52.300000000000004,0.9
Stat-Trak_Battle-Scarred_FAMAS-Mecha-Industries,Classified,4.35,43.5,2.0
Factory New_FAMAS-Mecha-Industries,Classified,4.81,48.099999999999994,0.14
Minimal Wear_FAMAS-Mecha-Industries,Classified,3.21,32.1,0.3
Field-Tested_FAMAS-Mecha-Industries,Classified,2.12,21.200000000000003,0.76
Well-Worn_FAMAS-Mecha-Industries,Classified,2.18,21.8,0.9
Battle-Scarred_FAMAS-Mecha-Industries,Classified,2.07,20.7,2.0
Stat-Trak_Factory New_P90-Shallow-Grave,Classified,16.52,165.2,0.09333333333333334
Stat-Trak_Minimal Wear_P90-Shallow-Grave,Classified,6.64,66.39999999999999,0.19999999999999998
Stat-Trak_Field-Tested_P90-Shallow-Grave,Classified,3.8,38.0,0.5066666666666667
Stat-Trak_Well-Worn_P90-Shallow-Grave,Classified,4.71,47.1,0.6
Stat-Trak_Battle-Scarred_P90-Shallow-Grave,Classified,3.52,35.2,1.3333333333333333
Factory New_P90-Shallow-Grave,Classified,4.41,44.1,0.09333333333333334
Minimal Wear_P90-Shallow-Grave,Classified,2.38,23.799999999999997,0.19999999999999998
Field-Tested_P90-Shallow-Grave,Classified,1.68,16.8,0.5066666666666667
Well-Worn_P90-Shallow-Grave,Classified,2.08,20.8,0.6
Battle-Scarred_P90-Shallow-Grave,Classified,1.68,16.8,1.3333333333333333
Stat-Trak_Factory New_Sawed-Off-Wasteland-Princess,Classified,13.3,133.0,0.10000000000000002
Stat-Trak_Minimal Wear_Sawed-Off-Wasteland-Princess,Classified,5.93,59.3,0.2142857142857143
Stat-Trak_Field-Tested_Sawed-Off-Wasteland-Princess,Classified,3.71,37.1,0.5428571428571429
Stat-Trak_Well-Worn_Sawed-Off-Wasteland-Princess,Classified,3.65,36.5,0.6428571428571429
Stat-Trak_Battle-Scarred_Sawed-Off-Wasteland-Princess,Classified,3.71,37.1,1.4285714285714286
Factory New_Sawed-Off-Wasteland-Princess,Classified,4.4,44.0,0.10000000000000002
Minimal Wear_Sawed-Off-Wasteland-Princess,Classified,2.48,24.8,0.2142857142857143
Field-Tested_Sawed-Off-Wasteland-Princess,Classified,1.58,15.8,0.5428571428571429
Well-Worn_Sawed-Off-Wasteland-Princess,Classified,1.85,18.5,0.6428571428571429
Battle-Scarred_Sawed-Off-Wasteland-Princess,Classified,1.57,15.700000000000001,1.4285714285714286
Stat-Trak_Factory New_USP-S-Cyrex,Restricted,12.9,129.0,0.1272727272727273
Stat-Trak_Minimal Wear_USP-S-Cyrex,Restricted,7.72,77.2,0.2727272727272727
Stat-Trak_Field-Tested_USP-S-Cyrex,Restricted,4.77,47.699999999999996,0.6909090909090908
Stat-Trak_Well-Worn_USP-S-Cyrex,Restricted,6.24,62.400000000000006,0.8181818181818181
Stat-Trak_Battle-Scarred_USP-S-Cyrex,Restricted,4.17,41.7,1.8181818181818181
Factory New_USP-S-Cyrex,Restricted,3.39,33.9,0.1272727272727273
Minimal Wear_USP-S-Cyrex,Restricted,2.37,23.700000000000003,0.2727272727272727
Field-Tested_USP-S-Cyrex,Restricted,1.79,17.9,0.6909090909090908
Well-Worn_USP-S-Cyrex,Restricted,2.03,20.299999999999997,0.8181818181818181
Battle-Scarred_USP-S-Cyrex,Restricted,1.55,15.5,1.8181818181818181
Stat-Trak_Factory New_M4A1-S-Flashback,Restricted,9.31,93.10000000000001,0.07
Stat-Trak_Minimal Wear_M4A1-S-Flashback,Restricted,4.17,41.7,0.15
Stat-Trak_Field-Tested_M4A1-S-Flashback,Restricted,2.66,26.6,0.38
Stat-Trak_Well-Worn_M4A1-S-Flashback,Restricted,2.54,25.4,0.45
Stat-Trak_Battle-Scarred_M4A1-S-Flashback,Restricted,2.58,25.8,1.0
Factory New_M4A1-S-Flashback,Restricted,2.48,24.8,0.07
Minimal Wear_M4A1-S-Flashback,Restricted,1.09,10.9,0.15
Field-Tested_M4A1-S-Flashback,Restricted,0.68,6.800000000000001,0.38
Well-Worn_M4A1-S-Flashback,Restricted,0.65,6.5,0.45
Battle-Scarred_M4A1-S-Flashback,Restricted,0.61,6.1,1.0
Stat-Trak_Factory New_Dual-Berettas-Royal-Consorts,Restricted,4.37,43.7,0.07
Stat-Trak_Minimal Wear_Dual-Berettas-Royal-Consorts,Restricted,1.26,12.6,0.15
Stat-Trak_Field-Tested_Dual-Berettas-Royal-Consorts,Restricted,0.72,7.199999999999999,0.38
Stat-Trak_Well-Worn_Dual-Berettas-Royal-Consorts,Restricted,0.66,6.6000000000000005,0.45
Stat-Trak_Battle-Scarred_Dual-Berettas-Royal-Consorts,Restricted,0.69,6.8999999999999995,1.0
Factory New_Dual-Berettas-Royal-Consorts,Restricted,1.33,13.3,0.07
Minimal Wear_Dual-Berettas-Royal-Consorts,Restricted,0.47,4.699999999999999,0.15
Field-Tested_Dual-Berettas-Royal-Consorts,Restricted,0.3,3.0,0.38
Well-Worn_Dual-Berettas-Royal-Consorts,Restricted,0.3,3.0,0.45
Battle-Scarred_Dual-Berettas-Royal-Consorts,Restricted,0.3,3.0,1.0
Stat-Trak_Factory New_Nova-Gila,Restricted,2.19,21.9,0.23333333333333336
Stat-Trak_Minimal Wear_Nova-Gila,Restricted,1.28,12.8,0.5
Stat-Trak_Field-Tested_Nova-Gila,Restricted,0.72,7.199999999999999,1.2666666666666668
Factory New_Nova-Gila,Restricted,0.9,9.0,0.23333333333333336
Minimal Wear_Nova-Gila,Restricted,0.42,4.2,0.5
Field-Tested_Nova-Gila,Restricted,0.34,3.4000000000000004,1.2666666666666668
Stat-Trak_Factory New_G3SG1-Stinger,Restricted,2.44,24.4,0.10000000000000002
Stat-Trak_Minimal Wear_G3SG1-Stinger,Restricted,1.35,13.5,0.2142857142857143
Stat-Trak_Field-Tested_G3SG1-Stinger,Restricted,0.69,6.8999999999999995,0.5428571428571429
Stat-Trak_Well-Worn_G3SG1-Stinger,Restricted,0.76,7.6,0.6428571428571429
Stat-Trak_Battle-Scarred_G3SG1-Stinger,Restricted,0.72,7.199999999999999,1.4285714285714286
Factory New_G3SG1-Stinger,Restricted,0.89,8.9,0.10000000000000002
Minimal Wear_G3SG1-Stinger,Restricted,0.44,4.4,0.2142857142857143
Field-Tested_G3SG1-Stinger,Restricted,0.3,3.0,0.5428571428571429
Well-Worn_G3SG1-Stinger,Restricted,0.32,3.2,0.6428571428571429
Battle-Scarred_G3SG1-Stinger,Restricted,0.31,3.1,1.4285714285714286
Stat-Trak_Factory New_Glock-18-Ironwork,Mil-Spec,3.09,30.9,0.07
Stat-Trak_Minimal Wear_Glock-18-Ironwork,Mil-Spec,0.78,7.800000000000001,0.15
Stat-Trak_Field-Tested_Glock-18-Ironwork,Mil-Spec,0.54,5.4,0.38
Stat-Trak_Well-Worn_Glock-18-Ironwork,Mil-Spec,0.48,4.8,0.45
Stat-Trak_Battle-Scarred_Glock-18-Ironwork,Mil-Spec,0.48,4.8,1.0
Factory New_Glock-18-Ironwork,Mil-Spec,0.44,4.4,0.07
Minimal Wear_Glock-18-Ironwork,Mil-Spec,0.13,1.3,0.15
Field-Tested_Glock-18-Ironwork,Mil-Spec,0.09,0.8999999999999999,0.38
Well-Worn_Glock-18-Ironwork,Mil-Spec,0.09,0.8999999999999999,0.45
Battle-Scarred_Glock-18-Ironwork,Mil-Spec,0.1,1.0,1.0
Stat-Trak_Factory New_MP7-Cirrus,Mil-Spec,2.08,20.8,0.09333333333333334
Stat-Trak_Minimal Wear_MP7-Cirrus,Mil-Spec,0.82,8.2,0.19999999999999998
Stat-Trak_Field-Tested_MP7-Cirrus,Mil-Spec,0.34,3.4000000000000004,0.5066666666666667
Stat-Trak_Well-Worn_MP7-Cirrus,Mil-Spec,0.69,6.8999999999999995,0.6
Stat-Trak_Battle-Scarred_MP7-Cirrus,Mil-Spec,0.32,3.2,1.3333333333333333
Factory New_MP7-Cirrus,Mil-Spec,0.45,4.5,0.09333333333333334
Minimal Wear_MP7-Cirrus,Mil-Spec,0.22,2.2,0.19999999999999998
Field-Tested_MP7-Cirrus,Mil-Spec,0.11,1.1,0.5066666666666667
Well-Worn_MP7-Cirrus,Mil-Spec,0.18,1.7999999999999998,0.6
Battle-Scarred_MP7-Cirrus,Mil-Spec,0.11,1.1,1.3333333333333333
Stat-Trak_Factory New_Galil-AR-Black-Sand,Mil-Spec,2.12,21.200000000000003,0.07
