Name,Rarity,Price,Price x 10,Max Avg. Float input
Stat-Trak_Factory New_AK-47-Neon-Rider,Covert,326.38,3263.8,0.08750000000000001
Stat-Trak_Minimal Wear_AK-47-Neon-Rider,Covert,111.58,1115.8,0.18749999999999997
Stat-Trak_Field-Tested_AK-47-Neon-Rider,Covert,62.33,623.3,0.475
Stat-Trak_Well-Worn_AK-47-Neon-Rider,Covert,74.48,744.8000000000001,0.5625
Stat-Trak_Battle-Scarred_AK-47-Neon-Rider,Covert,39.53,395.3,1.25
Factory New_AK-47-Neon-Rider,Covert,69.09,690.9000000000001,0.08750000000000001
Minimal Wear_AK-47-Neon-Rider,Covert,41.93,419.3,0.18749999999999997
Field-Tested_AK-47-Neon-Rider,Covert,29.87,298.7,0.475
Well-Worn_AK-47-Neon-Rider,Covert,30.12,301.2,0.5625
Battle-Scarred_AK-47-Neon-Rider,Covert,19.85,198.5,1.25
Stat-Trak_Factory New_Desert-Eagle-Code-Red,Covert,204.82,2048.2,0.07
Stat-Trak_Minimal Wear_Desert-Eagle-Code-Red,Covert,96.25,962.5,0.15
Stat-Trak_Field-Tested_Desert-Eagle-Code-Red,Covert,58.79,587.9,0.38
Stat-Trak_Well-Worn_Desert-Eagle-Code-Red,Covert,45.81,458.1,0.45
Stat-Trak_Battle-Scarred_Desert-Eagle-Code-Red,Covert,40.01,400.09999999999997,1.0
Factory New_Desert-Eagle-Code-Red,Covert,58.45,584.5,0.07
Minimal Wear_Desert-Eagle-Code-Red,Covert,30.43,304.3,0.15
Field-Tested_Desert-Eagle-Code-Red,Covert,18.84,188.4,0.38
Well-Worn_Desert-Eagle-Code-Red,Covert,15.49,154.9,0.45
Battle-Scarred_Desert-Eagle-Code-Red,Covert,13.2,132.0,1.0
Stat-Trak_Factory New_M4A1-S-Nightmare,Classified,58.93,589.3,0.07
Stat-Trak_Minimal Wear_M4A1-S-Nightmare,Classified,26.03,260.3,0.15
Stat-Trak_Field-Tested_M4A1-S-Nightmare,Classified,12.55,125.5,0.38
Stat-Trak_Well-Worn_M4A1-S-Nightmare,Classified,8.92,89.2,0.45
Stat-Trak_Battle-Scarred_M4A1-S-Nightmare,Classified,7.89,78.89999999999999,1.0
Factory New_M4A1-S-Nightmare,Classified,17.27,172.7,0.07
Minimal Wear_M4A1-S-Nightmare,Classified,8.55,85.5,0.15
Field-Tested_M4A1-S-Nightmare,Classified,4.36,43.6,0.38
Well-Worn_M4A1-S-Nightmare,Classified,3.22,32.2,0.45
Battle-Scarred_M4A1-S-Nightmare,Classified,2.85,28.5,1.0
Stat-Trak_Factory New_Sawed-Off-Devourer,Classified,26.51,265.1,0.08750000000000001
Stat-Trak_Minimal Wear_Sawed-Off-Devourer,Classified,11.87,118.69999999999999,0.18749999999999997
Stat-Trak_Field-Tested_Sawed-Off-Devourer,Classified,6.24,62.400000000000006,0.475
Stat-Trak_Well-Worn_Sawed-Off-Devourer,Classified,6.67,66.7,0.5625
Stat-Trak_Battle-Scarred_Sawed-Off-Devourer,Classified,4.58,45.8,1.25
Factory New_Sawed-Off-Devourer,Classified,7.37,73.7,0.08750000000000001
Minimal Wear_Sawed-Off-Devourer,Classified,4.27,42.699999999999996,0.18749999999999997
Field-Tested_Sawed-Off-Devourer,Classified,2.46,24.6,0.475
Well-Worn_Sawed-Off-Devourer,Classified,2.5,25.0,0.5625
Battle-Scarred_Sawed-Off-Devourer,Classified,2.43,24.3,1.25
Stat-Trak_Factory New_FAMAS-Eye-of-Athena,Classified,26.12,261.2,0.10000000000000002
Stat-Trak_Minimal Wear_FAMAS-Eye-of-Athena,Classified,12.14,121.4,0.2142857142857143
Stat-Trak_Field-Tested_FAMAS-Eye-of-Athena,Classified,6.34,63.4,0.5428571428571429
Stat-Trak_Well-Worn_FAMAS-Eye-of-Athena,Classified,7.04,70.4,0.6428571428571429
Stat-Trak_Battle-Scarred_FAMAS-Eye-of-Athena,Classified,5.62,56.2,1.4285714285714286
Factory New_FAMAS-Eye-of-Athena,Classified,6.78,67.8,0.10000000000000002
Minimal Wear_FAMAS-Eye-of-Athena,Classified,4.34,43.4,0.2142857142857143
Field-Tested_FAMAS-Eye-of-Athena,Classified,2.47,24.700000000000003,0.5428571428571429
