Name,Rarity,Price,Price x 10,Max Avg. Float input
Stat-Trak_Factory New_P90-Asiimov,Covert,157.87,1578.7,0.07608695652173914
Stat-Trak_Minimal Wear_P90-Asiimov,Covert,43.09,430.90000000000003,0.16304347826086954
Stat-Trak_Field-Tested_P90-Asiimov,Covert,17.68,176.8,0.41304347826086957
Stat-Trak_Well-Worn_P90-Asiimov,Covert,14.27,142.7,0.4891304347826087
Stat-Trak_Battle-Scarred_P90-Asiimov,Covert,12.09,120.9,1.0869565217391304
Factory New_P90-Asiimov,Covert,32.13,321.3,0.07608695652173914
Minimal Wear_P90-Asiimov,Covert,14.33,143.3,0.16304347826086954
Field-Tested_P90-Asiimov,Covert,7.35,73.5,0.41304347826086957
Well-Worn_P90-Asiimov,Covert,5.99,59.900000000000006,0.4891304347826087
Battle-Scarred_P90-Asiimov,Covert,5.13,51.3,1.0869565217391304
Stat-Trak_Factory New_M4A1-S-Cyrex,Covert,41.02,410.20000000000005,0.14
Stat-Trak_Minimal Wear_M4A1-S-Cyrex,Covert,30.46,304.6,0.3
Stat-Trak_Field-Tested_M4A1-S-Cyrex,Covert,18.62,186.20000000000002,0.76
Stat-Trak_Well-Worn_M4A1-S-Cyrex,Covert,21.07,210.7,0.9
Stat-Trak_Battle-Scarred_M4A1-S-Cyrex,Covert,19.26,192.60000000000002,2.0
Factory New_M4A1-S-Cyrex,Covert,11.68,116.8,0.14
Minimal Wear_M4A1-S-Cyrex,Covert,7.94,79.4,0.3
Field-Tested_M4A1-S-Cyrex,Covert,6.16,61.6,0.76
Well-Worn_M4A1-S-Cyrex,Covert,7.17,71.7,0.9
Battle-Scarred_M4A1-S-Cyrex,Covert,7.21,72.1,2.0
Stat-Trak_Factory New_Glock-18-Water-Elemental,Classified,40.38,403.8,0.10000000000000002
Stat-Trak_Minimal Wear_Glock-18-Water-Elemental,Classified,24.73,247.3,0.2142857142857143
Stat-Trak_Field-Tested_Glock-18-Water-Elemental,Classified,17.15,171.5,0.5428571428571429
Stat-Trak_Well-Worn_Glock-18-Water-Elemental,Classified,15.96,159.60000000000002,0.6428571428571429
Stat-Trak_Battle-Scarred_Glock-18-Water-Elemental,Classified,12.4,124.0,1.4285714285714286
Factory New_Glock-18-Water-Elemental,Classified,10.38,103.80000000000001,0.10000000000000002
Minimal Wear_Glock-18-Water-Elemental,Classified,6.31,63.099999999999994,0.2142857142857143
Field-Tested_Glock-18-Water-Elemental,Classified,4.48,44.800000000000004,0.5428571428571429
Well-Worn_Glock-18-Water-Elemental,Classified,5.95,59.5,0.6428571428571429
Battle-Scarred_Glock-18-Water-Elemental,Classified,3.86,38.6,1.4285714285714286
Stat-Trak_Factory New_Desert-Eagle-Conspiracy,Classified,19.45,194.5,0.23333333333333336
Stat-Trak_Minimal Wear_Desert-Eagle-Conspiracy,Classified,13.76,137.6,0.5
Stat-Trak_Field-Tested_Desert-Eagle-Conspiracy,Classified,11.32,113.2,1.2666666666666668
Factory New_Desert-Eagle-Conspiracy,Classified,4.83,48.3,0.23333333333333336
Minimal Wear_Desert-Eagle-Conspiracy,Classified,3.79,37.9,0.5
Field-Tested_Desert-Eagle-Conspiracy,Classified,3.16,31.6,1.2666666666666668
Stat-Trak_Factory New_Five-SeveN-Fowl-Play,Classified,15.57,155.7,0.07
Stat-Trak_Minimal Wear_Five-SeveN-Fowl-Play,Classified,5.72,57.199999999999996,0.15
Stat-Trak_Field-Tested_Five-SeveN-Fowl-Play,Classified,3.69,36.9,0.38
Stat-Trak_Well-Worn_Five-SeveN-Fowl-Play,Classified,3.35,33.5,0.45
Stat-Trak_Battle-Scarred_Five-SeveN-Fowl-Play,Classified,3.63,36.3,1.0
Factory New_Five-SeveN-Fowl-Play,Classified,5.14,51.4,0.07
Minimal Wear_Five-SeveN-Fowl-Play,Classified,2.47,24.700000000000003,0.15
Field-Tested_Five-SeveN-Fowl-Play,Classified,1.63,16.299999999999997,0.38
Well-Worn_Five-SeveN-Fowl-Play,Classified,1.57,15.700000000000001,0.45
Battle-Scarred_Five-SeveN-Fowl-Play,Classified,1.54,15.4,1.0
Stat-Trak_Factory New_P250-Supernova,Restricted,3.16,31.6,0.17500000000000002
Stat-Trak_Minimal Wear_P250-Supernova,Restricted,2.02,20.2,0.37499999999999994
Stat-Trak_Field-Tested_P250-Supernova,Restricted,1.39,13.899999999999999,0.95
Stat-Trak_Well-Worn_P250-Supernova,Restricted,2.08,20.8,1.125
Factory New_P250-Supernova,Restricted,0.9,9.0,0.17500000000000002
Minimal Wear_P250-Supernova,Restricted,0.54,5.4,0.37499999999999994
Field-Tested_P250-Supernova,Restricted,0.4,4.0,0.95
Well-Worn_P250-Supernova,Restricted,0.78,7.800000000000001,1.125
Stat-Trak_Factory New_CZ75-Auto-Tigris,Restricted,5.56,55.599999999999994,0.07
Stat-Trak_Minimal Wear_CZ75-Auto-Tigris,Restricted,1.87,18.700000000000003,0.15
Stat-Trak_Field-Tested_CZ75-Auto-Tigris,Restricted,1.19,11.899999999999999,0.38
Stat-Trak_Well-Worn_CZ75-Auto-Tigris,Restricted,0.98,9.8,0.45
Stat-Trak_Battle-Scarred_CZ75-Auto-Tigris,Restricted,0.86,8.6,1.0
Factory New_CZ75-Auto-Tigris,Restricted,1.47,14.7,0.07
Minimal Wear_CZ75-Auto-Tigris,Restricted,0.55,5.5,0.15
Field-Tested_CZ75-Auto-Tigris,Restricted,0.35,3.5,0.38
Well-Worn_CZ75-Auto-Tigris,Restricted,0.33,3.3000000000000003,0.45
Battle-Scarred_CZ75-Auto-Tigris,Restricted,0.33,3.3000000000000003,1.0
Stat-Trak_Factory New_Nova-Koi,Restricted,2.7,27.0,0.23333333333333336
Stat-Trak_Minimal Wear_Nova-Koi,Restricted,1.79,17.9,0.5
Stat-Trak_Field-Tested_Nova-Koi,Restricted,1.38,13.799999999999999,1.2666666666666668
Factory New_Nova-Koi,Restricted,0.84,8.4,0.23333333333333336
Minimal Wear_Nova-Koi,Restricted,0.49,4.9,0.5
Field-Tested_Nova-Koi,Restricted,0.45,4.5,1.2666666666666668
Stat-Trak_Factory New_PP-Bizon-Osiris,Restricted,2.78,27.799999999999997,0.14
Stat-Trak_Minimal Wear_PP-Bizon-Osiris,Restricted,1.9,19.0,0.3
Stat-Trak_Field-Tested_PP-Bizon-Osiris,Restricted,1.21,12.1,0.76
Stat-Trak_Well-Worn_PP-Bizon-Osiris,Restricted,0.99,9.9,0.9
Stat-Trak_Battle-Scarred_PP-Bizon-Osiris,Restricted,1.31,13.100000000000001,2.0
Factory New_PP-Bizon-Osiris,Restricted,0.88,8.8,0.14
Minimal Wear_PP-Bizon-Osiris,Restricted,0.49,4.9,0.3
Field-Tested_PP-Bizon-Osiris,Restricted,0.36,3.5999999999999996,0.76
Well-Worn_PP-Bizon-Osiris,Restricted,0.39,3.9000000000000004,0.9
Battle-Scarred_PP-Bizon-Osiris,Restricted,0.36,3.5999999999999996,2.0
Stat-Trak_Factory New_SSG-08-Abyss,Mil-Spec,8.45,84.5,0.07
Stat-Trak_Minimal Wear_SSG-08-Abyss,Mil-Spec,2.17,21.7,0.15
Stat-Trak_Field-Tested_SSG-08-Abyss,Mil-Spec,1.15,11.5,0.38
Stat-Trak_Well-Worn_SSG-08-Abyss,Mil-Spec,1.03,10.3,0.45
Stat-Trak_Battle-Scarred_SSG-08-Abyss,Mil-Spec,0.99,9.9,1.0
Factory New_SSG-08-Abyss,Mil-Spec,2.51,25.099999999999998,0.07
Minimal Wear_SSG-08-Abyss,Mil-Spec,0.76,7.6,0.15
Field-Tested_SSG-08-Abyss,Mil-Spec,0.41,4.1,0.38
Well-Worn_SSG-08-Abyss,Mil-Spec,0.31,3.1,0.45
Battle-Scarred_SSG-08-Abyss,Mil-Spec,0.29,2.9,1.0
Stat-Trak_Factory New_P2000-Ivory,Mil-Spec,1.03,10.3,0.07
Stat-Trak_Minimal Wear_P2000-Ivory,Mil-Spec,0.34,3.4000000000000004,0.15
Stat-Trak_Field-Tested_P2000-Ivory,Mil-Spec,0.19,1.9,0.38
Stat-Trak_Well-Worn_P2000-Ivory,Mil-Spec,0.19,1.9,0.45
Stat-Trak_Battle-Scarred_P2000-Ivory,Mil-Spec,0.19,1.9,1.0
Factory New_P2000-Ivory,Mil-Spec,0.27,2.7,0.07
Minimal Wear_P2000-Ivory,Mil-Spec,0.1,1.0,0.15
Field-Tested_P2000-Ivory,Mil-Spec,0.08,0.8,0.38
Well-Worn_P2000-Ivory,Mil-Spec,0.08,0.8,0.45
Battle-Scarred_P2000-Ivory,Mil-Spec,0.08,0.8,1.0
Stat-Trak_Factory New_UMP-45-Labyrinth,Mil-Spec,0.62,6.2,0.17500000000000002
Stat-Trak_Minimal Wear_UMP-45-Labyrinth,Mil-Spec,0.31,3.1,0.37499999999999994
Stat-Trak_Field-Tested_UMP-45-Labyrinth,Mil-Spec,0.22,2.2,0.95
Stat-Trak_Well-Worn_UMP-45-Labyrinth,Mil-Spec,0.42,4.2,1.125
Factory New_UMP-45-Labyrinth,Mil-Spec,0.18,1.7999999999999998,0.17500000000000002
Minimal Wear_UMP-45-Labyrinth,Mil-Spec,0.1,1.0,0.37499999999999994
Field-Tested_UMP-45-Labyrinth,Mil-Spec,0.08,0.8,0.95
Well-Worn_UMP-45-Labyrinth,Mil-Spec,0.12,1.2,1.125
Stat-Trak_Factory New_MP7-Urban-Hazard,Mil-Spec,0.66,6.6000000000000005,0.14
Stat-Trak_Minimal Wear_MP7-Urban-Hazard,Mil-Spec,0.39,3.9000000000000004,0.3
Stat-Trak_Field-Tested_MP7-Urban-Hazard,Mil-Spec,0.23,2.3000000000000003,0.76
Stat-Trak_Well-Worn_MP7-Urban-Hazard,Mil-Spec,0.3,3.0,0.9
Stat-Trak_Battle-Scarred_MP7-Urban-Hazard,Mil-Spec,0.26,2.6,2.0
Factory New_MP7-Urban-Hazard,Mil-Spec,0.18,1.7999999999999998,0.14
Minimal Wear_MP7-Urban-Hazard,Mil-Spec,0.11,1.1,0.3
