Name,Rarity,Price,Price x 10,Max Avg. Float input
Stat-Trak_Factory New_AWP-Oni-Taiji,Covert,394.84,3948.3999999999996,0.14
Stat-Trak_Minimal Wear_AWP-Oni-Taiji,Covert,244.63,2446.3,0.3
Stat-Trak_Field-Tested_AWP-Oni-Taiji,Covert,130.39,1303.8999999999999,0.76
Stat-Trak_Well-Worn_AWP-Oni-Taiji,Covert,215.92,2159.2,0.9
Stat-Trak_Battle-Scarred_AWP-Oni-Taiji,Covert,91.67,916.7,2.0
Factory New_AWP-Oni-Taiji,Covert,127.41,1274.1,0.14
Minimal Wear_AWP-Oni-Taiji,Covert,84.26,842.6,0.3
Field-Tested_AWP-Oni-Taiji,Covert,59.22,592.2,0.76
Well-Worn_AWP-Oni-Taiji,Covert,44.34,443.40000000000003,0.9
Battle-Scarred_AWP-Oni-Taiji,Covert,42.1,421.0,2.0
Stat-Trak_Factory New_Five-SeveN-Hyper-Beast,Covert,290.16,2901.6000000000004,0.07
Stat-Trak_Minimal Wear_Five-SeveN-Hyper-Beast,Covert,85.89,858.9,0.15
Stat-Trak_Field-Tested_Five-SeveN-Hyper-Beast,Covert,41.26,412.59999999999997,0.38
Stat-Trak_Well-Worn_Five-SeveN-Hyper-Beast,Covert,30.9,309.0,0.45
Stat-Trak_Battle-Scarred_Five-SeveN-Hyper-Beast,Covert,25.27,252.7,1.0
Factory New_Five-SeveN-Hyper-Beast,Covert,55.37,553.6999999999999,0.07
Minimal Wear_Five-SeveN-Hyper-Beast,Covert,26.72,267.2,0.15
Field-Tested_Five-SeveN-Hyper-Beast,Covert,15.71,157.10000000000002,0.38
Well-Worn_Five-SeveN-Hyper-Beast,Covert,12.4,124.0,0.45
Battle-Scarred_Five-SeveN-Hyper-Beast,Covert,11.6,116.0,1.0
Stat-Trak_Factory New_Dual-Berettas-Cobra-Strike,Classified,43.84,438.40000000000003,0.11666666666666668
Stat-Trak_Minimal Wear_Dual-Berettas-Cobra-Strike,Classified,26.58,265.79999999999995,0.25
Stat-Trak_Field-Tested_Dual-Berettas-Cobra-Strike,Classified,772.53,7725.299999999999,0.6333333333333334
Stat-Trak_Well-Worn_Dual-Berettas-Cobra-Strike,Classified,28.94,289.40000000000003,0.75
Stat-Trak_Battle-Scarred_Dual-Berettas-Cobra-Strike,Classified,10.99,109.9,1.6666666666666667
Factory New_Dual-Berettas-Cobra-Strike,Classified,11.39,113.9,0.11666666666666668
Minimal Wear_Dual-Berettas-Cobra-Strike,Classified,8.34,83.4,0.25
Field-Tested_Dual-Berettas-Cobra-Strike,Classified,8.05,80.5,0.6333333333333334
Well-Worn_Dual-Berettas-Cobra-Strike,Classified,6.73,67.30000000000001,0.75
Battle-Scarred_Dual-Berettas-Cobra-Strike,Classified,5.49,54.900000000000006,1.6666666666666667
Stat-Trak_Factory New_M4A4-Hellfire,Classified,103.86,1038.6,0.14
Stat-Trak_Minimal Wear_M4A4-Hellfire,Classified,67.79,677.9000000000001,0.3
Stat-Trak_Field-Tested_M4A4-Hellfire,Classified,30.4,304.0,0.76
Stat-Trak_Well-Worn_M4A4-Hellfire,Classified,36.38,363.8,0.9
Stat-Trak_Battle-Scarred_M4A4-Hellfire,Classified,36.05,360.5,2.0
Factory New_M4A4-Hellfire,Classified,35.99,359.90000000000003,0.14
Minimal Wear_M4A4-Hellfire,Classified,20.76,207.60000000000002,0.3
Field-Tested_M4A4-Hellfire,Classified,14.05,140.5,0.76
Well-Worn_M4A4-Hellfire,Classified,12.84,128.4,0.9
Battle-Scarred_M4A4-Hellfire,Classified,11.15,111.5,2.0
Stat-Trak_Factory New_Galil-AR-Sugar-Rush,Classified,91.67,916.7,0.1272727272727273
Stat-Trak_Minimal Wear_Galil-AR-Sugar-Rush,Classified,38.96,389.6,0.2727272727272727
Stat-Trak_Field-Tested_Galil-AR-Sugar-Rush,Classified,22.74,227.39999999999998,0.6909090909090908
Stat-Trak_Well-Worn_Galil-AR-Sugar-Rush,Classified,20.0,200.0,0.8181818181818181
Stat-Trak_Battle-Scarred_Galil-AR-Sugar-Rush,Classified,25.68,256.8,1.8181818181818181
Factory New_Galil-AR-Sugar-Rush,Classified,22.27,222.7,0.1272727272727273
Minimal Wear_Galil-AR-Sugar-Rush,Classified,13.89,138.9,0.2727272727272727
Field-Tested_Galil-AR-Sugar-Rush,Classified,8.24,82.4,0.6909090909090908
Well-Worn_Galil-AR-Sugar-Rush,Classified,8.2,82.0,0.8181818181818181
Battle-Scarred_Galil-AR-Sugar-Rush,Classified,6.32,63.2,1.8181818181818181
Stat-Trak_Factory New_AK-47-Orbit-Mk01,Restricted,40.59,405.90000000000003,0.1272727272727273
Stat-Trak_Minimal Wear_AK-47-Orbit-Mk01,Restricted,27.33,273.29999999999995,0.2727272727272727
Stat-Trak_Field-Tested_AK-47-Orbit-Mk01,Restricted,22.31,223.1,0.6909090909090908
Stat-Trak_Well-Worn_AK-47-Orbit-Mk01,Restricted,28.96,289.6,0.8181818181818181
Stat-Trak_Battle-Scarred_AK-47-Orbit-Mk01,Restricted,36.03,360.3,1.8181818181818181
Factory New_AK-47-Orbit-Mk01,Restricted,12.87,128.7,0.1272727272727273
Minimal Wear_AK-47-Orbit-Mk01,Restricted,11.22,112.2,0.2727272727272727
Field-Tested_AK-47-Orbit-Mk01,Restricted,9.21,92.10000000000001,0.6909090909090908
Well-Worn_AK-47-Orbit-Mk01,Restricted,10.72,107.2,0.8181818181818181
Battle-Scarred_AK-47-Orbit-Mk01,Restricted,10.24,102.4,1.8181818181818181
Stat-Trak_Factory New_P90-Death-Grip,Restricted,17.18,171.8,0.07
Stat-Trak_Minimal Wear_P90-Death-Grip,Restricted,7.34,73.4,0.15
Stat-Trak_Field-Tested_P90-Death-Grip,Restricted,4.3,43.0,0.38
Stat-Trak_Well-Worn_P90-Death-Grip,Restricted,2.69,26.9,0.45
