Name,Rarity,Price,Price x 10,Max Avg. Float input
Stat-Trak_Factory New_AK-47-Wasteland-Rebel,Covert,STFN,STFNSTFNSTFNSTFNSTFNSTFNSTFNSTFNSTFNSTFN,0.030769230769230778
Stat-Trak_Minimal Wear_AK-47-Wasteland-Rebel,Covert,112.7,1127.0,0.15384615384615385
Stat-Trak_Field-Tested_AK-47-Wasteland-Rebel,Covert,67.79,677.9000000000001,0.5076923076923078
Stat-Trak_Well-Worn_AK-47-Wasteland-Rebel,Covert,74.03,740.3,0.6153846153846155
Stat-Trak_Battle-Scarred_AK-47-Wasteland-Rebel,Covert,59.58,595.8,1.4615384615384617
Factory New_AK-47-Wasteland-Rebel,Covert,149.4,1494.0,0.030769230769230778
Minimal Wear_AK-47-Wasteland-Rebel,Covert,32.67,326.70000000000005,0.15384615384615385
Field-Tested_AK-47-Wasteland-Rebel,Covert,22.92,229.20000000000002,0.5076923076923078
Well-Worn_AK-47-Wasteland-Rebel,Covert,WW,WWWWWWWWWWWWWWWWWWWW,0.6153846153846155
Battle-Scarred_AK-47-Wasteland-Rebel,Covert,19.76,197.60000000000002,1.4615384615384617
Stat-Trak_Factory New_P2000-Fire-Elemental,Covert,87.03,870.3,0.11666666666666668
Stat-Trak_Minimal Wear_P2000-Fire-Elemental,Covert,44.88,448.8,0.25
Stat-Trak_Field-Tested_P2000-Fire-Elemental,Covert,24.48,244.8,0.6333333333333334
Stat-Trak_Well-Worn_P2000-Fire-Elemental,Covert,59.22,592.2,0.75
Stat-Trak_Battle-Scarred_P2000-Fire-Elemental,Covert,23.58,235.79999999999998,1.6666666666666667
Factory New_P2000-Fire-Elemental,Covert,13.09,130.9,0.11666666666666668
Minimal Wear_P2000-Fire-Elemental,Covert,7.64,76.39999999999999,0.25
Field-Tested_P2000-Fire-Elemental,Covert,6.18,61.8,0.6333333333333334
Well-Worn_P2000-Fire-Elemental,Covert,8.69,86.89999999999999,0.75
Battle-Scarred_P2000-Fire-Elemental,Covert,6.09,60.9,1.6666666666666667
Stat-Trak_Factory New_XM1014-Tranquility,Classified,55.37,553.6999999999999,0.14
Stat-Trak_Minimal Wear_XM1014-Tranquility,Classified,17.38,173.79999999999998,0.3
Stat-Trak_Field-Tested_XM1014-Tranquility,Classified,8.9,89.0,0.76
Stat-Trak_Well-Worn_XM1014-Tranquility,Classified,6.86,68.60000000000001,0.9
Stat-Trak_Battle-Scarred_XM1014-Tranquility,Classified,10.6,106.0,2.0
Factory New_XM1014-Tranquility,Classified,12.21,122.10000000000001,0.14
Minimal Wear_XM1014-Tranquility,Classified,4.89,48.9,0.3
Field-Tested_XM1014-Tranquility,Classified,2.9,29.0,0.76
Well-Worn_XM1014-Tranquility,Classified,3.38,33.8,0.9
Battle-Scarred_XM1014-Tranquility,Classified,2.77,27.7,2.0
Stat-Trak_Factory New_SCAR-20-Cardiac,Classified,55.01,550.1,0.07
Stat-Trak_Minimal Wear_SCAR-20-Cardiac,Classified,13.15,131.5,0.15
Stat-Trak_Field-Tested_SCAR-20-Cardiac,Classified,6.84,68.4,0.38
Stat-Trak_Well-Worn_SCAR-20-Cardiac,Classified,5.65,56.5,0.45
Stat-Trak_Battle-Scarred_SCAR-20-Cardiac,Classified,5.92,59.2,1.0
Factory New_SCAR-20-Cardiac,Classified,10.53,105.3,0.07
Minimal Wear_SCAR-20-Cardiac,Classified,3.52,35.2,0.15
Field-Tested_SCAR-20-Cardiac,Classified,2.48,24.8,0.38
Well-Worn_SCAR-20-Cardiac,Classified,1.94,19.4,0.45
Battle-Scarred_SCAR-20-Cardiac,Classified,2.31,23.1,1.0
Stat-Trak_Factory New_P250-Cartel,Classified,42.17,421.70000000000005,0.09333333333333334
Stat-Trak_Minimal Wear_P250-Cartel,Classified,14.3,143.0,0.19999999999999998
Stat-Trak_Field-Tested_P250-Cartel,Classified,8.54,85.39999999999999,0.5066666666666667
Stat-Trak_Well-Worn_P250-Cartel,Classified,10.16,101.6,0.6
Stat-Trak_Battle-Scarred_P250-Cartel,Classified,7.21,72.1,1.3333333333333333
Factory New_P250-Cartel,Classified,7.99,79.9,0.09333333333333334
Minimal Wear_P250-Cartel,Classified,3.52,35.2,0.19999999999999998
Field-Tested_P250-Cartel,Classified,2.6,26.0,0.5066666666666667
Well-Worn_P250-Cartel,Classified,2.85,28.5,0.6
