Name,Rarity,Price,Price x 10,Max Avg. Float input
Stat-Trak_Factory New_AK-47-Fuel-Injector,Covert,511.09,5110.9,0.07
Stat-Trak_Minimal Wear_AK-47-Fuel-Injector,Covert,217.62,2176.2,0.15
Stat-Trak_Field-Tested_AK-47-Fuel-Injector,Covert,128.75,1287.5,0.38
Stat-Trak_Well-Worn_AK-47-Fuel-Injector,Covert,100.82,1008.1999999999999,0.45
Stat-Trak_Battle-Scarred_AK-47-Fuel-Injector,Covert,75.88,758.8,1.0
Factory New_AK-47-Fuel-Injector,Covert,127.48,1274.8,0.07
Minimal Wear_AK-47-Fuel-Injector,Covert,64.18,641.8000000000001,0.15
Field-Tested_AK-47-Fuel-Injector,Covert,45.93,459.3,0.38
Well-Worn_AK-47-Fuel-Injector,Covert,36.17,361.70000000000005,0.45
Battle-Scarred_AK-47-Fuel-Injector,Covert,32.08,320.79999999999995,1.0
Stat-Trak_Factory New_M4A4-The-Battlestar,Covert,61.7,617.0,0.10937500000000001
Stat-Trak_Minimal Wear_M4A4-The-Battlestar,Covert,33.85,338.5,0.234375
Stat-Trak_Field-Tested_M4A4-The-Battlestar,Covert,21.07,210.7,0.59375
Stat-Trak_Well-Worn_M4A4-The-Battlestar,Covert,33.51,335.09999999999997,0.703125
Stat-Trak_Battle-Scarred_M4A4-The-Battlestar,Covert,18.13,181.29999999999998,1.5625
Factory New_M4A4-The-Battlestar,Covert,14.07,140.7,0.10937500000000001
Minimal Wear_M4A4-The-Battlestar,Covert,9.69,96.89999999999999,0.234375
Field-Tested_M4A4-The-Battlestar,Covert,7.52,75.19999999999999,0.59375
Well-Worn_M4A4-The-Battlestar,Covert,8.69,86.89999999999999,0.703125
Battle-Scarred_M4A4-The-Battlestar,Covert,6.78,67.8,1.5625
Stat-Trak_Factory New_Desert-Eagle-Kumicho-Dragon,Classified,75.16,751.5999999999999,0.09210526315789475
Stat-Trak_Minimal Wear_Desert-Eagle-Kumicho-Dragon,Classified,43.51,435.09999999999997,0.19736842105263158
Stat-Trak_Field-Tested_Desert-Eagle-Kumicho-Dragon,Classified,28.54,285.4,0.5
Stat-Trak_Well-Worn_Desert-Eagle-Kumicho-Dragon,Classified,40.78,407.8,0.5921052631578947
Stat-Trak_Battle-Scarred_Desert-Eagle-Kumicho-Dragon,Classified,25.27,252.7,1.3157894736842106
Factory New_Desert-Eagle-Kumicho-Dragon,Classified,18.84,188.4,0.09210526315789475
Minimal Wear_Desert-Eagle-Kumicho-Dragon,Classified,12.07,120.7,0.19736842105263158
Field-Tested_Desert-Eagle-Kumicho-Dragon,Classified,7.95,79.5,0.5
Well-Worn_Desert-Eagle-Kumicho-Dragon,Classified,10.12,101.19999999999999,0.5921052631578947
Battle-Scarred_Desert-Eagle-Kumicho-Dragon,Classified,6.68,66.8,1.3157894736842106
Stat-Trak_Factory New_AWP-Elite-Build,Classified,56.83,568.3,0.07
Stat-Trak_Minimal Wear_AWP-Elite-Build,Classified,25.98,259.8,0.15
Stat-Trak_Field-Tested_AWP-Elite-Build,Classified,14.02,140.2,0.38
Stat-Trak_Well-Worn_AWP-Elite-Build,Classified,13.83,138.3,0.45
Stat-Trak_Battle-Scarred_AWP-Elite-Build,Classified,12.94,129.4,1.0
Factory New_AWP-Elite-Build,Classified,15.1,151.0,0.07
Minimal Wear_AWP-Elite-Build,Classified,7.22,72.2,0.15
Field-Tested_AWP-Elite-Build,Classified,4.2,42.0,0.38
Well-Worn_AWP-Elite-Build,Classified,3.67,36.7,0.45
Battle-Scarred_AWP-Elite-Build,Classified,3.59,35.9,1.0
Stat-Trak_Factory New_Nova-Hyper-Beast,Classified,37.24,372.40000000000003,0.11666666666666668
Stat-Trak_Minimal Wear_Nova-Hyper-Beast,Classified,17.47,174.7,0.25
Stat-Trak_Field-Tested_Nova-Hyper-Beast,Classified,8.48,84.80000000000001,0.6333333333333334
Stat-Trak_Well-Worn_Nova-Hyper-Beast,Classified,16.85,168.5,0.75
Stat-Trak_Battle-Scarred_Nova-Hyper-Beast,Classified,7.52,75.19999999999999,1.6666666666666667
Factory New_Nova-Hyper-Beast,Classified,7.89,78.89999999999999,0.11666666666666668
Minimal Wear_Nova-Hyper-Beast,Classified,6.12,61.2,0.25
Field-Tested_Nova-Hyper-Beast,Classified,3.98,39.8,0.6333333333333334
Well-Worn_Nova-Hyper-Beast,Classified,3.96,39.6,0.75
Battle-Scarred_Nova-Hyper-Beast,Classified,3.18,31.8,1.6666666666666667
Stat-Trak_Factory New_Glock-18-Royal-Legion,Restricted,21.82,218.2,0.07
Stat-Trak_Minimal Wear_Glock-18-Royal-Legion,Restricted,7.15,71.5,0.15
Stat-Trak_Field-Tested_Glock-18-Royal-Legion,Restricted,3.42,34.2,0.38
Stat-Trak_Well-Worn_Glock-18-Royal-Legion,Restricted,2.73,27.3,0.45
Stat-Trak_Battle-Scarred_Glock-18-Royal-Legion,Restricted,2.46,24.6,1.0
Factory New_Glock-18-Royal-Legion,Restricted,4.2,42.0,0.07
Minimal Wear_Glock-18-Royal-Legion,Restricted,1.39,13.899999999999999,0.15
Field-Tested_Glock-18-Royal-Legion,Restricted,0.66,6.6000000000000005,0.38
Well-Worn_Glock-18-Royal-Legion,Restricted,0.6,6.0,0.45
Battle-Scarred_Glock-18-Royal-Legion,Restricted,0.54,5.4,1.0
Stat-Trak_Factory New_FAMAS-Valence,Restricted,13.33,133.3,0.08750000000000001
Stat-Trak_Minimal Wear_FAMAS-Valence,Restricted,6.04,60.4,0.18749999999999997
