Name,Rarity,Price,Price x 10,Max Avg. Float input
Stat-Trak_Factory New_M4A4-Royal-Paladin,Covert,394.84,3948.3999999999996,0.08750000000000001
Stat-Trak_Minimal Wear_M4A4-Royal-Paladin,Covert,112.77,1127.7,0.18749999999999997
Stat-Trak_Field-Tested_M4A4-Royal-Paladin,Covert,34.1,341.0,0.475
Stat-Trak_Well-Worn_M4A4-Royal-Paladin,Covert,45.84,458.40000000000003,0.5625
Stat-Trak_Battle-Scarred_M4A4-Royal-Paladin,Covert,28.87,288.7,1.25
Factory New_M4A4-Royal-Paladin,Covert,109.01,1090.1000000000001,0.08750000000000001
Minimal Wear_M4A4-Royal-Paladin,Covert,35.29,352.9,0.18749999999999997
Field-Tested_M4A4-Royal-Paladin,Covert,11.31,113.10000000000001,0.475
Well-Worn_M4A4-Royal-Paladin,Covert,15.33,153.3,0.5625
Battle-Scarred_M4A4-Royal-Paladin,Covert,9.18,91.8,1.25
Stat-Trak_Factory New_R8-Revolver-Fade,Covert,53.97,539.7,0.17500000000000002
Stat-Trak_Minimal Wear_R8-Revolver-Fade,Covert,22.35,223.5,0.37499999999999994
Stat-Trak_Field-Tested_R8-Revolver-Fade,Covert,15.92,159.2,0.95
Stat-Trak_Well-Worn_R8-Revolver-Fade,Covert,25.29,252.89999999999998,1.125
Factory New_R8-Revolver-Fade,Covert,10.55,105.5,0.17500000000000002
Minimal Wear_R8-Revolver-Fade,Covert,5.96,59.6,0.37499999999999994
Field-Tested_R8-Revolver-Fade,Covert,3.99,39.900000000000006,0.95
Well-Worn_R8-Revolver-Fade,Covert,6.19,61.900000000000006,1.125
Stat-Trak_Factory New_AK-47-Point-Disarray,Classified,115.79,1157.9,0.10447761194029852
Stat-Trak_Minimal Wear_AK-47-Point-Disarray,Classified,66.09,660.9000000000001,0.22388059701492535
Stat-Trak_Field-Tested_AK-47-Point-Disarray,Classified,38.24,382.40000000000003,0.5671641791044776
Stat-Trak_Well-Worn_AK-47-Point-Disarray,Classified,41.5,415.0,0.6716417910447761
Stat-Trak_Battle-Scarred_AK-47-Point-Disarray,Classified,30.43,304.3,1.4925373134328357
Factory New_AK-47-Point-Disarray,Classified,33.33,333.29999999999995,0.10447761194029852
Minimal Wear_AK-47-Point-Disarray,Classified,23.51,235.10000000000002,0.22388059701492535
Field-Tested_AK-47-Point-Disarray,Classified,17.51,175.10000000000002,0.5671641791044776
Well-Worn_AK-47-Point-Disarray,Classified,17.74,177.39999999999998,0.6716417910447761
Battle-Scarred_AK-47-Point-Disarray,Classified,13.53,135.29999999999998,1.4925373134328357
Stat-Trak_Minimal Wear_G3SG1-The-Executioner,Classified,STFN,STFNSTFNSTFNSTFNSTFNSTFNSTFNSTFNSTFNSTFN,0.014084507042253495
Stat-Trak_Field-Tested_G3SG1-The-Executioner,Classified,151.63,1516.3,0.3380281690140845
Stat-Trak_Well-Worn_G3SG1-The-Executioner,Classified,3.8,38.0,0.4366197183098592
Stat-Trak_Battle-Scarred_G3SG1-The-Executioner,Classified,3.58,35.8,1.2112676056338028
Minimal Wear_G3SG1-The-Executioner,Classified,FN,FNFNFNFNFNFNFNFNFNFN,0.014084507042253495
Field-Tested_G3SG1-The-Executioner,Classified,21.24,212.39999999999998,0.3380281690140845
Well-Worn_G3SG1-The-Executioner,Classified,1.63,16.299999999999997,0.4366197183098592
Battle-Scarred_G3SG1-The-Executioner,Classified,1.68,16.8,1.2112676056338028
Stat-Trak_Factory New_P90-Shapewood,Classified,40.64,406.4,0.07
Stat-Trak_Minimal Wear_P90-Shapewood,Classified,10.76,107.6,0.15
Stat-Trak_Field-Tested_P90-Shapewood,Classified,5.23,52.300000000000004,0.38
Stat-Trak_Well-Worn_P90-Shapewood,Classified,4.85,48.5,0.45
Stat-Trak_Battle-Scarred_P90-Shapewood,Classified,4.35,43.5,1.0
Factory New_P90-Shapewood,Classified,8.24,82.4,0.07
Minimal Wear_P90-Shapewood,Classified,3.51,35.099999999999994,0.15
Field-Tested_P90-Shapewood,Classified,1.81,18.1,0.38
Well-Worn_P90-Shapewood,Classified,1.75,17.5,0.45
Battle-Scarred_P90-Shapewood,Classified,1.69,16.9,1.0
Stat-Trak_Factory New_SG-553-Tiger-Moth,Restricted,49.35,493.5,0.07
Stat-Trak_Minimal Wear_SG-553-Tiger-Moth,Restricted,25.28,252.8,0.15
Stat-Trak_Field-Tested_SG-553-Tiger-Moth,Restricted,11.42,114.2,0.38
Stat-Trak_Well-Worn_SG-553-Tiger-Moth,Restricted,8.85,88.5,0.45
Stat-Trak_Battle-Scarred_SG-553-Tiger-Moth,Restricted,7.89,78.89999999999999,1.0
Factory New_SG-553-Tiger-Moth,Restricted,13.42,134.2,0.07
Minimal Wear_SG-553-Tiger-Moth,Restricted,6.66,66.6,0.15
Field-Tested_SG-553-Tiger-Moth,Restricted,3.39,33.9,0.38
Well-Worn_SG-553-Tiger-Moth,Restricted,2.73,27.3,0.45
Battle-Scarred_SG-553-Tiger-Moth,Restricted,2.17,21.7,1.0
Stat-Trak_Factory New_Negev-Power-Loader,Restricted,27.14,271.4,0.07
Stat-Trak_Minimal Wear_Negev-Power-Loader,Restricted,11.69,116.89999999999999,0.15
Stat-Trak_Field-Tested_Negev-Power-Loader,Restricted,5.15,51.5,0.38
Stat-Trak_Well-Worn_Negev-Power-Loader,Restricted,3.76,37.599999999999994,0.45
Stat-Trak_Battle-Scarred_Negev-Power-Loader,Restricted,2.78,27.799999999999997,1.0
Factory New_Negev-Power-Loader,Restricted,7.27,72.69999999999999,0.07
Minimal Wear_Negev-Power-Loader,Restricted,3.56,35.6,0.15
Field-Tested_Negev-Power-Loader,Restricted,1.59,15.9,0.38
Well-Worn_Negev-Power-Loader,Restricted,1.06,10.600000000000001,0.45
Battle-Scarred_Negev-Power-Loader,Restricted,0.85,8.5,1.0
Stat-Trak_Factory New_Five-SeveN-Retrobution,Restricted,13.17,131.7,0.07
Stat-Trak_Minimal Wear_Five-SeveN-Retrobution,Restricted,4.97,49.699999999999996,0.15
Stat-Trak_Field-Tested_Five-SeveN-Retrobution,Restricted,2.34,23.4,0.38
Stat-Trak_Well-Worn_Five-SeveN-Retrobution,Restricted,1.87,18.700000000000003,0.45
Stat-Trak_Battle-Scarred_Five-SeveN-Retrobution,Restricted,1.99,19.9,1.0
Factory New_Five-SeveN-Retrobution,Restricted,4.1,41.0,0.07
Minimal Wear_Five-SeveN-Retrobution,Restricted,1.73,17.3,0.15
Field-Tested_Five-SeveN-Retrobution,Restricted,0.95,9.5,0.38
Well-Worn_Five-SeveN-Retrobution,Restricted,0.85,8.5,0.45
Battle-Scarred_Five-SeveN-Retrobution,Restricted,0.79,7.9,1.0
Stat-Trak_Factory New_PP-Bizon-Fuel-Rod,Restricted,9.59,95.9,0.07
Stat-Trak_Minimal Wear_PP-Bizon-Fuel-Rod,Restricted,4.85,48.5,0.15
Stat-Trak_Field-Tested_PP-Bizon-Fuel-Rod,Restricted,2.33,23.3,0.38
Stat-Trak_Well-Worn_PP-Bizon-Fuel-Rod,Restricted,1.85,18.5,0.45
Stat-Trak_Battle-Scarred_PP-Bizon-Fuel-Rod,Restricted,1.75,17.5,1.0
Factory New_PP-Bizon-Fuel-Rod,Restricted,3.18,31.8,0.07
Minimal Wear_PP-Bizon-Fuel-Rod,Restricted,1.57,15.700000000000001,0.15
Field-Tested_PP-Bizon-Fuel-Rod,Restricted,0.95,9.5,0.38
Well-Worn_PP-Bizon-Fuel-Rod,Restricted,0.84,8.4,0.45
Battle-Scarred_PP-Bizon-Fuel-Rod,Restricted,0.81,8.100000000000001,1.0
Stat-Trak_Factory New_XM1014-Teclu-Burner,Restricted,8.54,85.39999999999999,0.1076923076923077
Stat-Trak_Minimal Wear_XM1014-Teclu-Burner,Restricted,5.0,50.0,0.23076923076923075
Stat-Trak_Field-Tested_XM1014-Teclu-Burner,Restricted,2.5,25.0,0.5846153846153846
Stat-Trak_Well-Worn_XM1014-Teclu-Burner,Restricted,3.02,30.2,0.6923076923076923
Stat-Trak_Battle-Scarred_XM1014-Teclu-Burner,Restricted,1.81,18.1,1.5384615384615383
Factory New_XM1014-Teclu-Burner,Restricted,2.37,23.700000000000003,0.1076923076923077
Minimal Wear_XM1014-Teclu-Burner,Restricted,1.63,16.299999999999997,0.23076923076923075
Field-Tested_XM1014-Teclu-Burner,Restricted,0.9,9.0,0.5846153846153846
Well-Worn_XM1014-Teclu-Burner,Restricted,0.9,9.0,0.6923076923076923
