Name,Rarity,Price,Price x 10,Max Avg. Float input
Stat-Trak_Factory New_USP-S-Kill-Confirmed,Covert,STFN,STFNSTFNSTFNSTFNSTFNSTFNSTFNSTFNSTFNSTFN,0.07
Stat-Trak_Minimal Wear_USP-S-Kill-Confirmed,Covert,233.01,2330.1,0.15
Stat-Trak_Field-Tested_USP-S-Kill-Confirmed,Covert,146.12,1461.2,0.38
Stat-Trak_Well-Worn_USP-S-Kill-Confirmed,Covert,101.28,1012.8,0.45
Stat-Trak_Battle-Scarred_USP-S-Kill-Confirmed,Covert,84.33,843.3,1.0
Factory New_USP-S-Kill-Confirmed,Covert,127.87,1278.7,0.07
Minimal Wear_USP-S-Kill-Confirmed,Covert,68.66,686.5999999999999,0.15
Field-Tested_USP-S-Kill-Confirmed,Covert,43.09,430.90000000000003,0.38
Well-Worn_USP-S-Kill-Confirmed,Covert,36.99,369.90000000000003,0.45
Battle-Scarred_USP-S-Kill-Confirmed,Covert,34.54,345.4,1.0
Stat-Trak_Factory New_M4A1-S-Golden-Coil,Covert,165.0,1650.0,0.07
Stat-Trak_Minimal Wear_M4A1-S-Golden-Coil,Covert,69.36,693.6,0.15
Stat-Trak_Field-Tested_M4A1-S-Golden-Coil,Covert,36.89,368.9,0.38
Stat-Trak_Well-Worn_M4A1-S-Golden-Coil,Covert,30.23,302.3,0.45
Stat-Trak_Battle-Scarred_M4A1-S-Golden-Coil,Covert,23.46,234.60000000000002,1.0
Factory New_M4A1-S-Golden-Coil,Covert,42.91,429.09999999999997,0.07
Minimal Wear_M4A1-S-Golden-Coil,Covert,20.79,207.89999999999998,0.15
Field-Tested_M4A1-S-Golden-Coil,Covert,12.87,128.7,0.38
Well-Worn_M4A1-S-Golden-Coil,Covert,10.36,103.6,0.45
Battle-Scarred_M4A1-S-Golden-Coil,Covert,9.05,90.5,1.0
Stat-Trak_Factory New_AK-47-Frontside-Misty,Classified,105.25,1052.5,0.05882352941176471
Stat-Trak_Minimal Wear_AK-47-Frontside-Misty,Classified,50.41,504.09999999999997,0.15294117647058825
Stat-Trak_Field-Tested_AK-47-Frontside-Misty,Classified,30.26,302.6,0.4235294117647059
Stat-Trak_Well-Worn_AK-47-Frontside-Misty,Classified,28.95,289.5,0.5058823529411764
Stat-Trak_Battle-Scarred_AK-47-Frontside-Misty,Classified,24.67,246.70000000000002,1.1529411764705881
Factory New_AK-47-Frontside-Misty,Classified,41.7,417.0,0.05882352941176471
Minimal Wear_AK-47-Frontside-Misty,Classified,21.71,217.10000000000002,0.15294117647058825
Field-Tested_AK-47-Frontside-Misty,Classified,15.71,157.10000000000002,0.4235294117647059
Well-Worn_AK-47-Frontside-Misty,Classified,14.81,148.1,0.5058823529411764
Battle-Scarred_AK-47-Frontside-Misty,Classified,12.3,123.0,1.1529411764705881
Stat-Trak_Factory New_G3SG1-Flux,Classified,48.22,482.2,0.07777777777777778
Stat-Trak_Minimal Wear_G3SG1-Flux,Classified,22.31,223.1,0.16666666666666666
Stat-Trak_Field-Tested_G3SG1-Flux,Classified,8.14,81.4,0.4222222222222222
Stat-Trak_Well-Worn_G3SG1-Flux,Classified,10.76,107.6,0.5
Stat-Trak_Battle-Scarred_G3SG1-Flux,Classified,7.44,74.4,1.1111111111111112
Factory New_G3SG1-Flux,Classified,10.7,107.0,0.07777777777777778
Minimal Wear_G3SG1-Flux,Classified,5.99,59.900000000000006,0.16666666666666666
Field-Tested_G3SG1-Flux,Classified,3.16,31.6,0.4222222222222222
Well-Worn_G3SG1-Flux,Classified,2.87,28.700000000000003,0.5
Battle-Scarred_G3SG1-Flux,Classified,3.43,34.300000000000004,1.1111111111111112
Stat-Trak_Factory New_SSG-08-Big-Iron,Classified,36.65,366.5,0.10937500000000001
Stat-Trak_Minimal Wear_SSG-08-Big-Iron,Classified,24.75,247.5,0.234375
Stat-Trak_Field-Tested_SSG-08-Big-Iron,Classified,9.17,91.7,0.59375
Stat-Trak_Well-Worn_SSG-08-Big-Iron,Classified,9.7,97.0,0.703125
Stat-Trak_Battle-Scarred_SSG-08-Big-Iron,Classified,8.64,86.4,1.5625
Factory New_SSG-08-Big-Iron,Classified,9.3,93.0,0.10937500000000001
Minimal Wear_SSG-08-Big-Iron,Classified,5.45,54.5,0.234375
Field-Tested_SSG-08-Big-Iron,Classified,3.67,36.7,0.59375
Well-Worn_SSG-08-Big-Iron,Classified,3.21,32.1,0.703125
Battle-Scarred_SSG-08-Big-Iron,Classified,3.18,31.8,1.5625
Stat-Trak_Factory New_Galil-AR-Stone-Cold,Restricted,17.32,173.2,0.07777777777777778
Stat-Trak_Minimal Wear_Galil-AR-Stone-Cold,Restricted,5.63,56.3,0.16666666666666666
Stat-Trak_Field-Tested_Galil-AR-Stone-Cold,Restricted,2.85,28.5,0.4222222222222222
Stat-Trak_Well-Worn_Galil-AR-Stone-Cold,Restricted,2.47,24.700000000000003,0.5
Stat-Trak_Battle-Scarred_Galil-AR-Stone-Cold,Restricted,2.03,20.299999999999997,1.1111111111111112
Factory New_Galil-AR-Stone-Cold,Restricted,5.0,50.0,0.07777777777777778
Minimal Wear_Galil-AR-Stone-Cold,Restricted,1.92,19.2,0.16666666666666666
Field-Tested_Galil-AR-Stone-Cold,Restricted,1.02,10.2,0.4222222222222222
Well-Worn_Galil-AR-Stone-Cold,Restricted,0.94,9.399999999999999,0.5
Battle-Scarred_Galil-AR-Stone-Cold,Restricted,0.83,8.299999999999999,1.1111111111111112
Stat-Trak_Factory New_P250-Wingshot,Restricted,12.64,126.4,0.07777777777777778
Stat-Trak_Minimal Wear_P250-Wingshot,Restricted,4.83,48.3,0.16666666666666666
Stat-Trak_Field-Tested_P250-Wingshot,Restricted,2.47,24.700000000000003,0.4222222222222222
Stat-Trak_Well-Worn_P250-Wingshot,Restricted,2.3,23.0,0.5
Stat-Trak_Battle-Scarred_P250-Wingshot,Restricted,2.09,20.9,1.1111111111111112
Factory New_P250-Wingshot,Restricted,3.0,30.0,0.07777777777777778
Minimal Wear_P250-Wingshot,Restricted,1.42,14.2,0.16666666666666666
Field-Tested_P250-Wingshot,Restricted,0.93,9.3,0.4222222222222222
Well-Worn_P250-Wingshot,Restricted,0.95,9.5,0.5
Battle-Scarred_P250-Wingshot,Restricted,0.86,8.6,1.1111111111111112
Stat-Trak_Factory New_M249-Nebula-Crusader,Restricted,12.65,126.5,0.07
Stat-Trak_Minimal Wear_M249-Nebula-Crusader,Restricted,3.85,38.5,0.15
Stat-Trak_Field-Tested_M249-Nebula-Crusader,Restricted,2.18,21.8,0.38
Stat-Trak_Well-Worn_M249-Nebula-Crusader,Restricted,1.81,18.1,0.45
Stat-Trak_Battle-Scarred_M249-Nebula-Crusader,Restricted,1.54,15.4,1.0
Factory New_M249-Nebula-Crusader,Restricted,2.96,29.6,0.07
Minimal Wear_M249-Nebula-Crusader,Restricted,1.33,13.3,0.15
Field-Tested_M249-Nebula-Crusader,Restricted,0.85,8.5,0.38
Well-Worn_M249-Nebula-Crusader,Restricted,0.78,7.800000000000001,0.45
Battle-Scarred_M249-Nebula-Crusader,Restricted,0.69,6.8999999999999995,1.0
Stat-Trak_Factory New_MP7-Special-Delivery,Restricted,7.3,73.0,0.11290322580645162
Stat-Trak_Minimal Wear_MP7-Special-Delivery,Restricted,3.35,33.5,0.24193548387096772
Stat-Trak_Field-Tested_MP7-Special-Delivery,Restricted,2.05,20.5,0.6129032258064516
Stat-Trak_Well-Worn_MP7-Special-Delivery,Restricted,1.71,17.1,0.7258064516129032
Stat-Trak_Battle-Scarred_MP7-Special-Delivery,Restricted,1.63,16.299999999999997,1.6129032258064517
Factory New_MP7-Special-Delivery,Restricted,2.08,20.8,0.11290322580645162
Minimal Wear_MP7-Special-Delivery,Restricted,1.25,12.5,0.24193548387096772
Field-Tested_MP7-Special-Delivery,Restricted,0.84,8.4,0.6129032258064516
Well-Worn_MP7-Special-Delivery,Restricted,0.86,8.6,0.7258064516129032
Battle-Scarred_MP7-Special-Delivery,Restricted,0.81,8.100000000000001,1.6129032258064517
Stat-Trak_Factory New_Dual-Berettas-Dualing-Dragons,Mil-Spec,5.58,55.8,0.07
Stat-Trak_Minimal Wear_Dual-Berettas-Dualing-Dragons,Mil-Spec,1.05,10.5,0.15
Stat-Trak_Field-Tested_Dual-Berettas-Dualing-Dragons,Mil-Spec,0.5,5.0,0.38
Stat-Trak_Well-Worn_Dual-Berettas-Dualing-Dragons,Mil-Spec,0.43,4.3,0.45
Stat-Trak_Battle-Scarred_Dual-Berettas-Dualing-Dragons,Mil-Spec,0.42,4.2,1.0
Factory New_Dual-Berettas-Dualing-Dragons,Mil-Spec,1.12,11.200000000000001,0.07
Minimal Wear_Dual-Berettas-Dualing-Dragons,Mil-Spec,0.25,2.5,0.15
Field-Tested_Dual-Berettas-Dualing-Dragons,Mil-Spec,0.16,1.6,0.38
Well-Worn_Dual-Berettas-Dualing-Dragons,Mil-Spec,0.12,1.2,0.45
Battle-Scarred_Dual-Berettas-Dualing-Dragons,Mil-Spec,0.13,1.3,1.0
Stat-Trak_Factory New_Glock-18-Wraiths,Mil-Spec,3.35,33.5,0.08750000000000001
Stat-Trak_Minimal Wear_Glock-18-Wraiths,Mil-Spec,1.26,12.6,0.18749999999999997
Stat-Trak_Field-Tested_Glock-18-Wraiths,Mil-Spec,0.64,6.4,0.475
Stat-Trak_Well-Worn_Glock-18-Wraiths,Mil-Spec,1.3,13.0,0.5625
Stat-Trak_Battle-Scarred_Glock-18-Wraiths,Mil-Spec,0.86,8.6,1.25
Factory New_Glock-18-Wraiths,Mil-Spec,0.51,5.1,0.08750000000000001
Minimal Wear_Glock-18-Wraiths,Mil-Spec,0.2,2.0,0.18749999999999997
Field-Tested_Glock-18-Wraiths,Mil-Spec,0.1,1.0,0.475
Well-Worn_Glock-18-Wraiths,Mil-Spec,0.24,2.4,0.5625
Battle-Scarred_Glock-18-Wraiths,Mil-Spec,0.1,1.0,1.25
Stat-Trak_Factory New_FAMAS-Survivor-Z,Mil-Spec,2.05,20.5,0.11666666666666668
Stat-Trak_Minimal Wear_FAMAS-Survivor-Z,Mil-Spec,1.3,13.0,0.25
Stat-Trak_Field-Tested_FAMAS-Survivor-Z,Mil-Spec,0.81,8.100000000000001,0.6333333333333334
Stat-Trak_Well-Worn_FAMAS-Survivor-Z,Mil-Spec,1.21,12.1,0.75
Stat-Trak_Battle-Scarred_FAMAS-Survivor-Z,Mil-Spec,0.88,8.8,1.6666666666666667
Factory New_FAMAS-Survivor-Z,Mil-Spec,0.65,6.5,0.11666666666666668
Minimal Wear_FAMAS-Survivor-Z,Mil-Spec,0.46,4.6000000000000005,0.25
Field-Tested_FAMAS-Survivor-Z,Mil-Spec,0.31,3.1,0.6333333333333334
Well-Worn_FAMAS-Survivor-Z,Mil-Spec,0.44,4.4,0.75
Battle-Scarred_FAMAS-Survivor-Z,Mil-Spec,0.25,2.5,1.6666666666666667
Stat-Trak_Factory New_MAC-10-Rangeen,Mil-Spec,1.39,13.899999999999999,0.14
Stat-Trak_Minimal Wear_MAC-10-Rangeen,Mil-Spec,0.98,9.8,0.3
Stat-Trak_Field-Tested_MAC-10-Rangeen,Mil-Spec,0.52,5.2,0.76
Stat-Trak_Well-Worn_MAC-10-Rangeen,Mil-Spec,0.7,7.0,0.9
Stat-Trak_Battle-Scarred_MAC-10-Rangeen,Mil-Spec,0.72,7.199999999999999,2.0
Factory New_MAC-10-Rangeen,Mil-Spec,0.39,3.9000000000000004,0.14
Minimal Wear_MAC-10-Rangeen,Mil-Spec,0.24,2.4,0.3
Field-Tested_MAC-10-Rangeen,Mil-Spec,0.15,1.5,0.76
Well-Worn_MAC-10-Rangeen,Mil-Spec,0.23,2.3000000000000003,0.9
Battle-Scarred_MAC-10-Rangeen,Mil-Spec,0.3,3.0,2.0
Stat-Trak_Factory New_MAG-7-Cobalt-Core,Mil-Spec,1.31,13.100000000000001,0.14
