Name,Rarity,Price,Price x 10,Max Avg. Float input
Stat-Trak_Factory New_AWP-Containment-Breach,Covert,557.32,5573.200000000001,0.07
Stat-Trak_Minimal Wear_AWP-Containment-Breach,Covert,190.15,1901.5,0.15
Stat-Trak_Field-Tested_AWP-Containment-Breach,Covert,88.85,888.5,0.38
Stat-Trak_Well-Worn_AWP-Containment-Breach,Covert,60.56,605.6,0.45
Stat-Trak_Battle-Scarred_AWP-Containment-Breach,Covert,48.3,483.0,1.0
Factory New_AWP-Containment-Breach,Covert,132.1,1321.0,0.07
Minimal Wear_AWP-Containment-Breach,Covert,59.35,593.5,0.15
Field-Tested_AWP-Containment-Breach,Covert,35.12,351.2,0.38
Well-Worn_AWP-Containment-Breach,Covert,27.22,272.2,0.45
Battle-Scarred_AWP-Containment-Breach,Covert,19.97,199.7,1.0
Stat-Trak_Factory New_MAC-10-Stalker,Covert,217.74,2177.4,0.07
Stat-Trak_Minimal Wear_MAC-10-Stalker,Covert,54.9,549.0,0.15
Stat-Trak_Field-Tested_MAC-10-Stalker,Covert,27.22,272.2,0.38
Stat-Trak_Well-Worn_MAC-10-Stalker,Covert,16.95,169.5,0.45
Stat-Trak_Battle-Scarred_MAC-10-Stalker,Covert,16.55,165.5,1.0
Factory New_MAC-10-Stalker,Covert,42.12,421.2,0.07
Minimal Wear_MAC-10-Stalker,Covert,17.26,172.60000000000002,0.15
Field-Tested_MAC-10-Stalker,Covert,9.84,98.4,0.38
Well-Worn_MAC-10-Stalker,Covert,7.58,75.8,0.45
Battle-Scarred_MAC-10-Stalker,Covert,6.5,65.0,1.0
Stat-Trak_Factory New_SG-553-Colony-IV,Classified,141.54,1415.3999999999999,0.07
Stat-Trak_Minimal Wear_SG-553-Colony-IV,Classified,52.67,526.7,0.15
Stat-Trak_Field-Tested_SG-553-Colony-IV,Classified,18.26,182.60000000000002,0.38
Stat-Trak_Well-Worn_SG-553-Colony-IV,Classified,10.28,102.8,0.45
Stat-Trak_Battle-Scarred_SG-553-Colony-IV,Classified,6.59,65.9,1.0
Factory New_SG-553-Colony-IV,Classified,42.22,422.2,0.07
Minimal Wear_SG-553-Colony-IV,Classified,15.33,153.3,0.15
Field-Tested_SG-553-Colony-IV,Classified,5.53,55.300000000000004,0.38
Well-Worn_SG-553-Colony-IV,Classified,3.6,36.0,0.45
Battle-Scarred_SG-553-Colony-IV,Classified,2.45,24.5,1.0
Stat-Trak_Minimal Wear_SSG-08-Bloodshot,Classified,STFN,STFNSTFNSTFNSTFNSTFNSTFNSTFNSTFNSTFNSTFN,0.02173913043478257
Stat-Trak_Field-Tested_SSG-08-Bloodshot,Classified,138.34,1383.4,0.5217391304347826
Stat-Trak_Well-Worn_SSG-08-Bloodshot,Classified,7.02,70.19999999999999,0.6739130434782609
Stat-Trak_Battle-Scarred_SSG-08-Bloodshot,Classified,9.84,98.4,1.8695652173913044
Minimal Wear_SSG-08-Bloodshot,Classified,FN,FNFNFNFNFNFNFNFNFNFN,0.02173913043478257
Field-Tested_SSG-08-Bloodshot,Classified,29.15,291.5,0.5217391304347826
Well-Worn_SSG-08-Bloodshot,Classified,2.63,26.299999999999997,0.6739130434782609
Battle-Scarred_SSG-08-Bloodshot,Classified,2.81,28.1,1.8695652173913044
Stat-Trak_Factory New_Tec-9-Decimator,Classified,37.66,376.59999999999997,0.09333333333333334
Stat-Trak_Minimal Wear_Tec-9-Decimator,Classified,15.34,153.4,0.19999999999999998
Stat-Trak_Field-Tested_Tec-9-Decimator,Classified,7.02,70.19999999999999,0.5066666666666667
Stat-Trak_Well-Worn_Tec-9-Decimator,Classified,8.1,81.0,0.6
Stat-Trak_Battle-Scarred_Tec-9-Decimator,Classified,5.08,50.8,1.3333333333333333
Factory New_Tec-9-Decimator,Classified,11.06,110.60000000000001,0.09333333333333334
Minimal Wear_Tec-9-Decimator,Classified,5.28,52.800000000000004,0.19999999999999998
Field-Tested_Tec-9-Decimator,Classified,2.75,27.5,0.5066666666666667
Well-Worn_Tec-9-Decimator,Classified,2.62,26.200000000000003,0.6
Battle-Scarred_Tec-9-Decimator,Classified,2.22,22.200000000000003,1.3333333333333333
Stat-Trak_Factory New_AK-47-Rat-Rod,Restricted,24.15,241.5,0.07
Stat-Trak_Minimal Wear_AK-47-Rat-Rod,Restricted,12.99,129.9,0.15
Stat-Trak_Field-Tested_AK-47-Rat-Rod,Restricted,9.1,91.0,0.38
Stat-Trak_Well-Worn_AK-47-Rat-Rod,Restricted,8.97,89.7,0.45
Stat-Trak_Battle-Scarred_AK-47-Rat-Rod,Restricted,8.87,88.69999999999999,1.0
Factory New_AK-47-Rat-Rod,Restricted,7.46,74.6,0.07
Minimal Wear_AK-47-Rat-Rod,Restricted,4.19,41.900000000000006,0.15
Field-Tested_AK-47-Rat-Rod,Restricted,2.93,29.3,0.38
Well-Worn_AK-47-Rat-Rod,Restricted,2.69,26.9,0.45
Battle-Scarred_AK-47-Rat-Rod,Restricted,2.61,26.099999999999998,1.0
Stat-Trak_Factory New_AUG-Arctic-Wolf,Restricted,13.11,131.1,0.10000000000000002
