Name,Rarity,Price,Price x 10,Max Avg. Float input
Factory New_AWP-Gungnir,Covert,FN,FNFNFNFNFNFNFNFNFNFN,0.116666667
Minimal Wear_AWP-Gungnir,Covert,MW,MWMWMWMWMWMWMWMWMWMW,0.25
Field-Tested_AWP-Gungnir,Covert,FT,FTFTFTFTFTFTFTFTFTFT,0.633333333
Well-Worn_AWP-Gungnir,Covert,WW,WWWWWWWWWWWWWWWWWWWW,0.75
Battle-Scarred_AWP-Gungnir,Covert,BS,BSBSBSBSBSBSBSBSBSBS,1.666666667
Factory New_Negev-Mj%C3%B6lnir,Classified,470.53,4705.3,0.116666667
Minimal Wear_Negev-Mj%C3%B6lnir,Classified,411.79,4117.9,0.25
Field-Tested_Negev-Mj%C3%B6lnir,Classified,309.67,3096.7,0.633333333
Well-Worn_Negev-Mj%C3%B6lnir,Classified,313.46,3134.6,0.75
Battle-Scarred_Negev-Mj%C3%B6lnir,Classified,258.58,2585.8,1.666666667
Factory New_Desert-Eagle-Emerald-J%C3%B6rmungandr,Restricted,63.57,635.7,0.14
Minimal Wear_Desert-Eagle-Emerald-J%C3%B6rmungandr,Restricted,49.57,495.7,0.3
Field-Tested_Desert-Eagle-Emerald-J%C3%B6rmungandr,Restricted,36.95,369.5,0.76
Well-Worn_Desert-Eagle-Emerald-J%C3%B6rmungandr,Restricted,44.91,449.1,0.9
Battle-Scarred_Desert-Eagle-Emerald-J%C3%B6rmungandr,Restricted,44.63,446.3,2
Factory New_P90-Astral-J%C3%B6rmungandr,Restricted,52.25,522.5,0.14
Minimal Wear_P90-Astral-J%C3%B6rmungandr,Restricted,42.2,422,0.3
Field-Tested_P90-Astral-J%C3%B6rmungandr,Restricted,32.7,327,0.76
Well-Worn_P90-Astral-J%C3%B6rmungandr,Restricted,33.22,332.2,0.9
Battle-Scarred_P90-Astral-J%C3%B6rmungandr,Restricted,36.63,366.3,2
Factory New_AUG-Flame-J%C3%B6rmungandr,Restricted,47.06,470.6,0.14
Minimal Wear_AUG-Flame-J%C3%B6rmungandr,Restricted,42.12,421.2,0.3
Field-Tested_AUG-Flame-J%C3%B6rmungandr,Restricted,35.41,354.1,0.76
Well-Worn_AUG-Flame-J%C3%B6rmungandr,Restricted,36.88,368.8,0.9
Battle-Scarred_AUG-Flame-J%C3%B6rmungandr,Restricted,33,330,2
Factory New_MAC-10-Copper-Borre,Mil-Spec,7.72,77.2,0.14
Minimal Wear_MAC-10-Copper-Borre,Mil-Spec,7.7,77,0.3
Field-Tested_MAC-10-Copper-Borre,Mil-Spec,6.76,67.6,0.76
Well-Worn_MAC-10-Copper-Borre,Mil-Spec,6.74,67.4,0.9
Battle-Scarred_MAC-10-Copper-Borre,Mil-Spec,6.66,66.6,2
Factory New_XM1014-Frost-Borre,Mil-Spec,7.79,77.9,0.14
Minimal Wear_XM1014-Frost-Borre,Mil-Spec,7.57,75.7,0.3
Field-Tested_XM1014-Frost-Borre,Mil-Spec,6.42,64.2,0.76
Well-Worn_XM1014-Frost-Borre,Mil-Spec,6.65,66.5,0.9
Battle-Scarred_XM1014-Frost-Borre,Mil-Spec,6.63,66.3,2
Factory New_CZ75-Auto-Emerald-Quartz,Mil-Spec,8.34,83.4,0.1
Minimal Wear_CZ75-Auto-Emerald-Quartz,Mil-Spec,7.89,78.9,0.214285714
Field-Tested_CZ75-Auto-Emerald-Quartz,Mil-Spec,6.42,64.2,0.542857143
Well-Worn_CZ75-Auto-Emerald-Quartz,Mil-Spec,6.71,67.1,0.642857143
Battle-Scarred_CZ75-Auto-Emerald-Quartz,Mil-Spec,6.28,62.8,1.428571429
Factory New_SCAR-20-Brass,Mil-Spec,8.16,81.6,0.07
