Name,Rarity,Price,Price x 10,Max Avg. Float input
Stat-Trak_Factory New_SSG-08-Blood-in-the-Water,Covert,205.06,2050.6,0.07142857142857148
Stat-Trak_Minimal Wear_SSG-08-Blood-in-the-Water,Covert,77.2,772.0,0.6428571428571428
Stat-Trak_Field-Tested_SSG-08-Blood-in-the-Water,Covert,84.43,844.3000000000001,2.2857142857142856
Factory New_SSG-08-Blood-in-the-Water,Covert,34.62,346.2,0.07142857142857148
Minimal Wear_SSG-08-Blood-in-the-Water,Covert,27.33,273.29999999999995,0.6428571428571428
Field-Tested_SSG-08-Blood-in-the-Water,Covert,26.4,264.0,2.2857142857142856
Stat-Trak_Factory New_P90-Cold-Blooded,Classified,28.45,284.5,0.8750000000000001
Stat-Trak_Minimal Wear_P90-Cold-Blooded,Classified,36.59,365.90000000000003,1.875
Factory New_P90-Cold-Blooded,Classified,22.19,221.9,0.8750000000000001
Minimal Wear_P90-Cold-Blooded,Classified,20.61,206.1,1.875
Stat-Trak_Factory New_USP-S-Serum,Classified,33.96,339.6,0.28
Stat-Trak_Minimal Wear_USP-S-Serum,Classified,19.54,195.39999999999998,0.6
Stat-Trak_Field-Tested_USP-S-Serum,Classified,18.23,182.3,1.52
Factory New_USP-S-Serum,Classified,22.19,221.9,0.28
Minimal Wear_USP-S-Serum,Classified,12.32,123.2,0.6
Field-Tested_USP-S-Serum,Classified,12.11,121.1,1.52
Stat-Trak_Factory New_Five-SeveN-Case-Hardened,Restricted,34.33,343.29999999999995,0.07
Stat-Trak_Minimal Wear_Five-SeveN-Case-Hardened,Restricted,14.98,149.8,0.15
Stat-Trak_Field-Tested_Five-SeveN-Case-Hardened,Restricted,8.28,82.8,0.38
Stat-Trak_Well-Worn_Five-SeveN-Case-Hardened,Restricted,6.89,68.89999999999999,0.45
Stat-Trak_Battle-Scarred_Five-SeveN-Case-Hardened,Restricted,6.52,65.19999999999999,1.0
Factory New_Five-SeveN-Case-Hardened,Restricted,9.28,92.8,0.07
Minimal Wear_Five-SeveN-Case-Hardened,Restricted,4.35,43.5,0.15
Field-Tested_Five-SeveN-Case-Hardened,Restricted,3.09,30.9,0.38
Well-Worn_Five-SeveN-Case-Hardened,Restricted,2.55,25.5,0.45
Battle-Scarred_Five-SeveN-Case-Hardened,Restricted,2.42,24.2,1.0
