Date,Time,CS20-Case,Shattered-Web-Case,Prisma-Case,Danger-Zone-Case,Horizon-Case,Clutch-Case,Spectrum-2-Case,Operation-Hydra-Case,Spectrum-Case,Glove-Case,Gamma-2-Case,Gamma-Case,Chroma-3-Case,Operation-Wildfire-Case,Revolver-Case,Shadow-Case,Falchion-Case,Chroma-2-Case,Chroma-Case,Operation-Vanguard-Weapon-Case,Operation-Breakout-Weapon-Case,Huntsman-Weapon-Case,Operation-Phoenix-Weapon-Case,CS:GO-Weapon-Case-3,Winter-Offensive-Weapon-Case,CS:GO-Weapon-Case-2,Operation-Bravo-Case,CS:GO-Weapon-Case,Prisma-2-Case
16/03/2020,03:06:43,361461,79980,408298,321979,678844,737756,1013390,1958,285303,127843,399984,291086,506862,123054,237129,162462,98697,460979,26881,17953,115961,3995,116107,2372,1425,1721,454,437,1
16/03/2020,13:03:53,367778,79003,410418,323311,675697,739635,1020205,1970,285172,133186,390314,293712,507745,123328,238963,163124,97798,463488,26703,17959,116107,3962,115379,2401,1415,1715,450,448,1
16/03/2020,13:08:36,367747,79078,410513,323222,675743,739647,1020295,1970,285135,133633,390129,294129,507745,123338,238963,163140,97798,463488,26703,17959,116060,3962,115379,2401,1414,1715,450,448,1
16/03/2020,13:13:35,367790,79131,410813,323244,675997,739766,1020363,1970,285181,133714,390057,294495,507829,123394,239009,163135,97799,463616,26731,17957,116033,3962,115386,2399,1413,1717,450,448,1
16/03/2020,13:18:23,367899,79176,411127,323326,676044,740093,1020673,1971,285217,133844,389820,294830,507892,123395,239220,163269,97811,463655,26761,17960,115991,3959,115674,2394,1413,1718,449,447,1
16/03/2020,13:23:37,367899,79176,411127,323276,676071,739790,1020673,1971,285246,134171,389684,295392,507932,123395,239281,163404,97809,463788,26717,17957,115953,3961,115645,2394,1413,1718,448,448,1
16/03/2020,13:28:50,368187,79251,411364,323276,676071,739790,1020680,1973,285246,134171,389684,295392,507982,123417,239281,163404,97809,463881,26721,17957,115953,3961,115645,2394,1415,1720,448,449,1
16/03/2020,13:33:30,368410,79232,411534,323387,676064,739493,1020988,1975,285237,134094,389398,295493,507982,123413,239278,163392,97821,463881,26721,17946,115994,3962,115656,2394,1414,1720,448,449,1
16/03/2020,14:04:43,368472,79340,411039,324308,676285,739531,1021081,1979,285645,134326,388793,296427,508274,123402,239679,163373,97953,464502,26940,17906,115993,3917,115760,2407,1420,1712,447,450,1
16/03/2020,14:10:36,368168,79340,411173,324385,676238,739786,1021173,1980,285666,134247,388942,296454,508238,123337,239649,163359,98012,464844,26958,17904,115871,3923,115751,2407,1425,1711,449,450,1
