Date,Time,CS20-Case,Shattered-Web-Case,Prisma-Case,Danger-Zone-Case,Horizon-Case,Clutch-Case,Spectrum-2-Case,Operation-Hydra-Case,Spectrum-Case,Glove-Case,Gamma-2-Case,Gamma-Case,Chroma-3-Case,Operation-Wildfire-Case,Revolver-Case,Shadow-Case,Falchion-Case,Chroma-2-Case,Chroma-Case,Operation-Vanguard-Weapon-Case,Operation-Breakout-Weapon-Case,Huntsman-Weapon-Case,Operation-Phoenix-Weapon-Case,CS:GO-Weapon-Case-3,Winter-Offensive-Weapon-Case,CS:GO-Weapon-Case-2,Operation-Bravo-Case,CS:GO-Weapon-Case
16/03/2020,03:06:43,57279,61042,60554,68281,34589,94465,102861,426,55888,66317,59589,42033,22190,8566,11579,13983,9264,23221,5268,1477,24006,737,9356,722,356,276,225,256
16/03/2020,13:03:53,57279,61042,60554,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,13:08:36,57279,61042,60554,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,13:13:35,57279,61042,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,13:18:23,57279,61042,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,13:23:37,57279,61042,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,13:28:50,57279,61042,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,13:33:30,57279,61042,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,14:04:43,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,14:10:36,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,14:19:13,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,14:24:17,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,14:29:40,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,14:34:19,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,14:39:24,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,14:44:39,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,14:49:19,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,14:54:41,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,14:59:49,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,15:04:43,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,15:09:18,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,15:14:27,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,15:19:36,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,15:24:28,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,15:29:35,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,15:34:21,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,15:39:48,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,15:44:19,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,15:49:31,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,15:54:09,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,15:59:26,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,16:04:42,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,16:09:24,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,16:14:37,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,16:19:27,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,16:24:39,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,16:29:27,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,16:34:31,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,16:39:14,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,16:45:19,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,16:50:38,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,16:59:38,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,17:04:59,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
16/03/2020,17:09:57,53643,59842,56428,67049,31325,84388,103094,436,54007,63392,55556,38889,21379,8137,11304,13021,8809,22037,4976,1284,21850,591,9825,512,366,263,263,217
