Product,Volume,Normal Price,Sale Price
UMP-45 | Corporal (Battle-Scarred),241,$0.11 USD,$0.10 USD
UMP-45 | Corporal (Field-Tested),537,$0.12 USD,$0.11 USD
Tec-9 | Sandstorm (Battle-Scarred),209,$0.12 USD,$0.11 USD
Tec-9 | Sandstorm (Field-Tested),1167,$0.12 USD,$0.11 USD
MAG-7 | Heaven Guard (Field-Tested),477,$0.12 USD,$0.11 USD
Negev | Terrain (Field-Tested),406,$0.13 USD,$0.12 USD
Negev | Terrain (Well-Worn),101,$0.14 USD,$0.13 USD
UMP-45 | Corporal (Well-Worn),172,$0.16 USD,$0.15 USD
MAG-7 | Heaven Guard (Well-Worn),121,$0.17 USD,$0.16 USD
Tec-9 | Sandstorm (Well-Worn),139,$0.19 USD,$0.18 USD
UMP-45 | Corporal (Minimal Wear),303,$0.20 USD,$0.19 USD
Negev | Terrain (Minimal Wear),135,$0.21 USD,$0.20 USD
MAG-7 | Heaven Guard (Minimal Wear),202,$0.21 USD,$0.20 USD
StatTrak™ UMP-45 | Corporal (Battle-Scarred),151,$0.24 USD,$0.23 USD
StatTrak™ Tec-9 | Sandstorm (Battle-Scarred),170,$0.28 USD,$0.27 USD
Negev | Terrain (Factory New),156,$0.30 USD,$0.29 USD
Tec-9 | Sandstorm (Minimal Wear),200,$0.31 USD,$0.30 USD
MAG-7 | Heaven Guard (Factory New),253,$0.31 USD,$0.30 USD
StatTrak™ MAG-7 | Heaven Guard (Field-Tested),196,$0.34 USD,$0.33 USD
StatTrak™ Tec-9 | Sandstorm (Well-Worn),118,$0.35 USD,$0.34 USD
StatTrak™ UMP-45 | Corporal (Field-Tested),232,$0.35 USD,$0.34 USD
StatTrak™ Tec-9 | Sandstorm (Field-Tested),869,$0.36 USD,$0.35 USD
StatTrak™ Negev | Terrain (Well-Worn),71,$0.36 USD,$0.35 USD
StatTrak™ Negev | Terrain (Field-Tested),170,$0.39 USD,$0.38 USD
UMP-45 | Corporal (Factory New),54,$0.40 USD,$0.39 USD
StatTrak™ UMP-45 | Corporal (Well-Worn),88,$0.42 USD,$0.41 USD
StatTrak™ MAG-7 | Heaven Guard (Well-Worn),35,$0.55 USD,$0.53 USD
StatTrak™ UMP-45 | Corporal (Minimal Wear),139,$0.59 USD,$0.57 USD
FAMAS | Sergeant (Battle-Scarred),123,$0.69 USD,$0.66 USD
StatTrak™ Negev | Terrain (Minimal Wear),105,$0.70 USD,$0.67 USD
StatTrak™ MAG-7 | Heaven Guard (Minimal Wear),116,$0.71 USD,$0.68 USD
