Product,Volume,Normal Price,Sale Price
P2000 | Pulse (Field-Tested),398,$0.16 USD,$0.15 USD
CZ75-Auto | Twist (Well-Worn),119,$0.18 USD,$0.17 USD
CZ75-Auto | Twist (Field-Tested),199,$0.18 USD,$0.17 USD
CZ75-Auto | Twist (Battle-Scarred),97,$0.21 USD,$0.20 USD
P2000 | Pulse (Minimal Wear),663,$0.24 USD,$0.23 USD
Tec-9 | Isaac (Battle-Scarred),136,$0.25 USD,$0.24 USD
Galil AR | Kami (Battle-Scarred),96,$0.25 USD,$0.24 USD
CZ75-Auto | Twist (Minimal Wear),294,$0.25 USD,$0.24 USD
Tec-9 | Isaac (Well-Worn),431,$0.26 USD,$0.25 USD
Galil AR | Kami (Field-Tested),145,$0.26 USD,$0.25 USD
Tec-9 | Isaac (Field-Tested),452,$0.29 USD,$0.28 USD
P2000 | Pulse (Battle-Scarred),72,$0.31 USD,$0.30 USD
StatTrak™ CZ75-Auto | Twist (Battle-Scarred),175,$0.32 USD,$0.31 USD
StatTrak™ CZ75-Auto | Twist (Well-Worn),188,$0.34 USD,$0.33 USD
Galil AR | Kami (Well-Worn),40,$0.35 USD,$0.34 USD
StatTrak™ CZ75-Auto | Twist (Field-Tested),257,$0.38 USD,$0.37 USD
StatTrak™ P2000 | Pulse (Field-Tested),750,$0.38 USD,$0.37 USD
P2000 | Pulse (Factory New),366,$0.41 USD,$0.40 USD
StatTrak™ P2000 | Pulse (Battle-Scarred),90,$0.42 USD,$0.41 USD
P2000 | Pulse (Well-Worn),91,$0.47 USD,$0.45 USD
StatTrak™ Tec-9 | Isaac (Battle-Scarred),386,$0.47 USD,$0.45 USD
P90 | Module (Field-Tested),388,$0.48 USD,$0.46 USD
P90 | Module (Minimal Wear),623,$0.48 USD,$0.46 USD
Dual Berettas | Retribution (Field-Tested),48,$0.53 USD,$0.51 USD
CZ75-Auto | Poison Dart (Field-Tested),120,$0.53 USD,$0.51 USD
Tec-9 | Isaac (Minimal Wear),349,$0.55 USD,$0.53 USD
Galil AR | Kami (Minimal Wear),97,$0.57 USD,$0.55 USD
Dual Berettas | Retribution (Minimal Wear),53,$0.59 USD,$0.57 USD
StatTrak™ Tec-9 | Isaac (Well-Worn),359,$0.61 USD,$0.59 USD
StatTrak™ Galil AR | Kami (Field-Tested),201,$0.61 USD,$0.59 USD
StatTrak™ Galil AR | Kami (Battle-Scarred),111,$0.65 USD,$0.63 USD
StatTrak™ Tec-9 | Isaac (Field-Tested),393,$0.69 USD,$0.66 USD
Dual Berettas | Retribution (Factory New),80,$0.72 USD,$0.69 USD
SSG 08 | Slashed (Battle-Scarred),152,$0.72 USD,$0.69 USD
StatTrak™ CZ75-Auto | Twist (Minimal Wear),187,$0.73 USD,$0.70 USD
SSG 08 | Slashed (Well-Worn),247,$0.73 USD,$0.70 USD
StatTrak™ P2000 | Pulse (Minimal Wear),323,$0.74 USD,$0.71 USD
StatTrak™ P2000 | Pulse (Well-Worn),113,$0.78 USD,$0.75 USD
SSG 08 | Slashed (Field-Tested),364,$0.81 USD,$0.78 USD
P90 | Module (Factory New),365,$0.84 USD,$0.81 USD
StatTrak™ Dual Berettas | Retribution (Field-Tested),82,$0.86 USD,$0.83 USD
XM1014 | Heaven Guard (Field-Tested),116,$0.92 USD,$0.88 USD
MAC-10 | Tatter (Field-Tested),62,$0.95 USD,$0.91 USD
StatTrak™ Galil AR | Kami (Well-Worn),47,$0.96 USD,$0.92 USD
PP-Bizon | Antique (Field-Tested),55,$0.99 USD,$0.95 USD
CZ75-Auto | Twist (Factory New),68,$1.03 USD,$0.99 USD
PP-Bizon | Antique (Minimal Wear),87,$1.01 USD,$0.97 USD
MAC-10 | Tatter (Minimal Wear),44,$1.06 USD,$1.02 USD
PP-Bizon | Antique (Well-Worn),57,$1.12 USD,$1.08 USD
XM1014 | Heaven Guard (Well-Worn),24,$1.18 USD,$1.13 USD
XM1014 | Heaven Guard (Minimal Wear),65,$1.19 USD,$1.14 USD
StatTrak™ Dual Berettas | Retribution (Minimal Wear),33,$1.21 USD,$1.16 USD
AUG | Torque (Field-Tested),135,$1.23 USD,$1.18 USD
P90 | Desert Warfare (Minimal Wear),48,$1.22 USD,$1.17 USD
StatTrak™ CZ75-Auto | Poison Dart (Field-Tested),134,$1.22 USD,$1.17 USD
CZ75-Auto | Poison Dart (Minimal Wear),59,$1.27 USD,$1.22 USD
StatTrak™ P90 | Module (Field-Tested),170,$1.28 USD,$1.23 USD
MAC-10 | Tatter (Well-Worn),23,$1.29 USD,$1.24 USD
Galil AR | Kami (Factory New),70,$1.31 USD,$1.26 USD
P90 | Desert Warfare (Factory New),71,$1.32 USD,$1.27 USD
StatTrak™ CZ75-Auto | Poison Dart (Battle-Scarred),39,$1.34 USD,$1.29 USD
StatTrak™ Tec-9 | Isaac (Minimal Wear),191,$1.35 USD,$1.30 USD
AUG | Torque (Well-Worn),69,$1.43 USD,$1.37 USD
StatTrak™ SSG 08 | Slashed (Battle-Scarred),116,$1.44 USD,$1.38 USD
StatTrak™ SSG 08 | Slashed (Well-Worn),184,$1.44 USD,$1.38 USD
StatTrak™ Galil AR | Kami (Minimal Wear),99,$1.46 USD,$1.40 USD
StatTrak™ P2000 | Pulse (Factory New),156,$1.54 USD,$1.48 USD
StatTrak™ P90 | Module (Minimal Wear),194,$1.56 USD,$1.50 USD
P90 | Desert Warfare (Well-Worn),21,$1.65 USD,$1.58 USD
StatTrak™ P90 | Desert Warfare (Field-Tested),56,$1.65 USD,$1.58 USD
StatTrak™ SSG 08 | Slashed (Field-Tested),238,$1.69 USD,$1.62 USD
AUG | Torque (Minimal Wear),250,$1.70 USD,$1.63 USD
PP-Bizon | Antique (Factory New),115,$1.73 USD,$1.66 USD
PP-Bizon | Antique (Battle-Scarred),31,$1.76 USD,$1.69 USD
MAC-10 | Tatter (Factory New),57,$1.78 USD,$1.71 USD
StatTrak™ Dual Berettas | Retribution (Factory New),63,$1.96 USD,$1.88 USD
AUG | Torque (Battle-Scarred),26,$2.02 USD,$1.94 USD
StatTrak™ P90 | Desert Warfare (Well-Worn),31,$2.03 USD,$1.95 USD
StatTrak™ P90 | Desert Warfare (Battle-Scarred),18,$2.09 USD,$2.00 USD
StatTrak™ Dual Berettas | Retribution (Well-Worn),43,$2.11 USD,$2.02 USD
Tec-9 | Isaac (Factory New),117,$2.22 USD,$2.13 USD
CZ75-Auto | Poison Dart (Factory New),46,$2.24 USD,$2.15 USD
XM1014 | Heaven Guard (Battle-Scarred),25,$2.26 USD,$2.17 USD
StatTrak™ P90 | Desert Warfare (Minimal Wear),31,$2.34 USD,$2.24 USD
MAC-10 | Tatter (Battle-Scarred),22,$2.46 USD,$2.36 USD
StatTrak™ PP-Bizon | Antique (Well-Worn),20,$2.46 USD,$2.36 USD
MAC-10 | Curse (Minimal Wear),75,$2.55 USD,$2.44 USD
MAC-10 | Curse (Field-Tested),33,$2.55 USD,$2.44 USD
StatTrak™ P90 | Module (Factory New),198,$2.56 USD,$2.45 USD
P90 | Desert Warfare (Battle-Scarred),13,$2.57 USD,$2.46 USD
XM1014 | Heaven Guard (Factory New),40,$2.62 USD,$2.51 USD
AUG | Torque (Factory New),173,$2.76 USD,$2.64 USD
StatTrak™ CZ75-Auto | Twist (Factory New),42,$2.84 USD,$2.72 USD
StatTrak™ MAC-10 | Tatter (Field-Tested),49,$2.87 USD,$2.75 USD
StatTrak™ CZ75-Auto | Poison Dart (Minimal Wear),46,$3.02 USD,$2.89 USD
StatTrak™ PP-Bizon | Antique (Field-Tested),45,$3.05 USD,$2.92 USD
StatTrak™ AUG | Torque (Field-Tested),132,$3.06 USD,$2.93 USD
StatTrak™ PP-Bizon | Antique (Battle-Scarred),16,$3.10 USD,$2.97 USD
StatTrak™ XM1014 | Heaven Guard (Well-Worn),12,$3.16 USD,$3.03 USD
StatTrak™ XM1014 | Heaven Guard (Field-Tested),31,$3.19 USD,$3.06 USD
StatTrak™ AUG | Torque (Well-Worn),24,$3.12 USD,$2.99 USD
StatTrak™ Galil AR | Kami (Factory New),88,$3.18 USD,$3.05 USD
CZ75-Auto | Poison Dart (Well-Worn),15,$3.35 USD,$3.21 USD
StatTrak™ XM1014 | Heaven Guard (Battle-Scarred),16,$3.74 USD,$3.58 USD
Dual Berettas | Retribution (Well-Worn),26,$3.91 USD,$3.74 USD
M4A1-S | Atomic Alloy (Battle-Scarred),61,$3.88 USD,$3.72 USD
M4A1-S | Atomic Alloy (Well-Worn),114,$4.07 USD,$3.90 USD
M4A1-S | Atomic Alloy (Field-Tested),327,$4.02 USD,$3.85 USD
