Product,Skin,Normal Price,Sale Price
MP5-SD,Dirt Drop (Battle-Scarred),$0.04 USD,$0.03 USD
UMP-45,Mudder (Battle-Scarred),$0.04 USD,$0.03 USD
MP5-SD,Dirt Drop (Well-Worn),$0.04 USD,$0.03 USD
UMP-45,Mudder (Well-Worn),$0.04 USD,$0.03 USD
MAG-7,Rust Coat (Well-Worn),$0.04 USD,$0.03 USD
MP9,Slide (Battle-Scarred),$0.04 USD,$0.03 USD
MP5-SD,Dirt Drop (Field-Tested),$0.04 USD,$0.03 USD
MP9,Slide (Well-Worn),$0.04 USD,$0.03 USD
MP9,Slide (Field-Tested),$0.04 USD,$0.03 USD
MAG-7,Rust Coat (Battle-Scarred),$0.04 USD,$0.03 USD
UMP-45,Mudder (Field-Tested),$0.04 USD,$0.03 USD
MAG-7,Rust Coat (Field-Tested),$0.04 USD,$0.03 USD
AUG,Sweeper (Battle-Scarred),$0.04 USD,$0.03 USD
AUG,Sweeper (Field-Tested),$0.04 USD,$0.03 USD
MP5-SD,Dirt Drop (Minimal Wear),$0.05 USD,$0.04 USD
AUG,Sweeper (Well-Worn),$0.05 USD,$0.04 USD
MP9,Slide (Minimal Wear),$0.05 USD,$0.04 USD
MAG-7,Rust Coat (Minimal Wear),$0.05 USD,$0.04 USD
UMP-45,Mudder (Minimal Wear),$0.05 USD,$0.04 USD
AUG,Sweeper (Minimal Wear),$0.05 USD,$0.04 USD
Souvenir MAG-7,Rust Coat (Field-Tested),$0.06 USD,$0.05 USD
Souvenir UMP-45,Mudder (Field-Tested),$0.07 USD,$0.06 USD
Souvenir MAG-7,Rust Coat (Well-Worn),$0.07 USD,$0.06 USD
Souvenir UMP-45,Mudder (Battle-Scarred),$0.07 USD,$0.06 USD
Souvenir UMP-45,Mudder (Well-Worn),$0.07 USD,$0.06 USD
Souvenir MP9,Slide (Field-Tested),$0.08 USD,$0.07 USD
Souvenir MP9,Slide (Battle-Scarred),$0.08 USD,$0.07 USD
AUG,Sweeper (Factory New),$0.08 USD,$0.07 USD
Souvenir MAG-7,Rust Coat (Minimal Wear),$0.09 USD,$0.08 USD
Souvenir MP5-SD,Dirt Drop (Field-Tested),$0.09 USD,$0.08 USD
Souvenir MP9,Slide (Well-Worn),$0.10 USD,$0.09 USD
Souvenir MAG-7,Rust Coat (Battle-Scarred),$0.10 USD,$0.09 USD
MAG-7,Rust Coat (Factory New),$0.10 USD,$0.09 USD
UMP-45,Mudder (Factory New),$0.10 USD,$0.09 USD
Souvenir UMP-45,Mudder (Minimal Wear),$0.11 USD,$0.10 USD
Souvenir MP5-SD,Dirt Drop (Battle-Scarred),$0.11 USD,$0.10 USD
Souvenir MP5-SD,Dirt Drop (Well-Worn),$0.11 USD,$0.10 USD
MP9,Slide (Factory New),$0.12 USD,$0.11 USD
MP5-SD,Dirt Drop (Factory New),$0.13 USD,$0.12 USD
Souvenir MP5-SD,Dirt Drop (Minimal Wear),$0.15 USD,$0.14 USD
Souvenir MP9,Slide (Minimal Wear),$0.16 USD,$0.15 USD
MAC-10,Calf Skin (Battle-Scarred),$0.17 USD,$0.16 USD
Souvenir AUG,Sweeper (Field-Tested),$0.18 USD,$0.17 USD
R8 Revolver,Nitro (Battle-Scarred),$0.18 USD,$0.17 USD
MAC-10,Calf Skin (Well-Worn),$0.19 USD,$0.18 USD
Souvenir R8 Revolver,Nitro (Field-Tested),$0.21 USD,$0.20 USD
R8 Revolver,Nitro (Well-Worn),$0.21 USD,$0.20 USD
Souvenir AUG,Sweeper (Battle-Scarred),$0.23 USD,$0.22 USD
MAC-10,Calf Skin (Field-Tested),$0.23 USD,$0.22 USD
R8 Revolver,Nitro (Field-Tested),$0.23 USD,$0.22 USD
PP-Bizon,Candy Apple (Minimal Wear),$0.23 USD,$0.22 USD
MAC-10,Calf Skin (Minimal Wear),$0.23 USD,$0.22 USD
PP-Bizon,Candy Apple (Field-Tested),$0.23 USD,$0.22 USD
R8 Revolver,Nitro (Minimal Wear),$0.24 USD,$0.23 USD
PP-Bizon,Candy Apple (Factory New),$0.26 USD,$0.25 USD
Glock-18,High Beam (Factory New),$0.29 USD,$0.28 USD
Souvenir R8 Revolver,Nitro (Well-Worn),$0.29 USD,$0.28 USD
Souvenir MAC-10,Calf Skin (Battle-Scarred),$0.30 USD,$0.29 USD
Souvenir AUG,Sweeper (Minimal Wear),$0.32 USD,$0.31 USD
Souvenir PP-Bizon,Candy Apple (Field-Tested),$0.32 USD,$0.31 USD
Souvenir MAC-10,Calf Skin (Well-Worn),$0.34 USD,$0.33 USD
Souvenir R8 Revolver,Nitro (Battle-Scarred),$0.36 USD,$0.35 USD
Souvenir PP-Bizon,Candy Apple (Minimal Wear),$0.41 USD,$0.40 USD
Souvenir MAG-7,Rust Coat (Factory New),$0.43 USD,$0.42 USD
Souvenir AUG,Sweeper (Well-Worn),$0.50 USD,$0.48 USD
Glock-18,High Beam (Minimal Wear),$0.57 USD,$0.55 USD
Souvenir MAC-10,Calf Skin (Field-Tested),$0.62 USD,$0.60 USD
MAC-10,Calf Skin (Factory New),$0.73 USD,$0.70 USD
Souvenir R8 Revolver,Nitro (Minimal Wear),$0.78 USD,$0.75 USD
Souvenir AUG,Sweeper (Factory New),$0.85 USD,$0.82 USD
Souvenir UMP-45,Mudder (Factory New),$0.89 USD,$0.86 USD
Souvenir PP-Bizon,Candy Apple (Factory New),$0.92 USD,$0.88 USD
R8 Revolver,Nitro (Factory New),$1.04 USD,$1.00 USD
Souvenir Sawed-Off,Brake Light (Factory New),$1.06 USD,$1.02 USD
SSG 08,Hand Brake (Battle-Scarred),$1.44 USD,$1.38 USD
Souvenir MAC-10,Calf Skin (Minimal Wear),$1.49 USD,$1.43 USD
SSG 08,Hand Brake (Well-Worn),$1.68 USD,$1.61 USD
Souvenir Sawed-Off,Brake Light (Minimal Wear),$1.76 USD,$1.69 USD
Souvenir MP9,Slide (Factory New),$1.78 USD,$1.71 USD
USP-S,Check Engine (Battle-Scarred),$1.85 USD,$1.77 USD
M4A4,Converter (Field-Tested),$1.86 USD,$1.78 USD
USP-S,Check Engine (Field-Tested),$1.93 USD,$1.85 USD
SSG 08,Hand Brake (Field-Tested),$2.01 USD,$1.93 USD
USP-S,Check Engine (Well-Worn),$2.02 USD,$1.94 USD
Sawed-Off,Brake Light (Minimal Wear),$2.07 USD,$1.98 USD
Sawed-Off,Brake Light (Factory New),$2.16 USD,$2.07 USD
SSG 08,Hand Brake (Minimal Wear),$2.19 USD,$2.10 USD
M4A4,Converter (Minimal Wear),$2.39 USD,$2.29 USD
USP-S,Check Engine (Minimal Wear),$2.47 USD,$2.37 USD
Souvenir SSG 08,Hand Brake (Battle-Scarred),$2.48 USD,$2.38 USD
Souvenir MP5-SD,Dirt Drop (Factory New),$2.62 USD,$2.51 USD
Souvenir SSG 08,Hand Brake (Well-Worn),$2.67 USD,$2.56 USD
SSG 08,Hand Brake (Factory New),$2.80 USD,$2.68 USD
Souvenir SSG 08,Hand Brake (Field-Tested),$2.85 USD,$2.73 USD
M4A4,Converter (Factory New),$2.90 USD,$2.78 USD
Dual Berettas,Twin Turbo (Battle-Scarred),$2.94 USD,$2.82 USD
USP-S,Check Engine (Factory New),$3.01 USD,$2.88 USD
M4A4,Converter (Well-Worn),$3.18 USD,$3.05 USD
Dual Berettas,Twin Turbo (Well-Worn),$3.26 USD,$3.12 USD
Souvenir Glock-18,High Beam (Factory New),$3.77 USD,$3.61 USD
Souvenir USP-S,Check Engine (Battle-Scarred),$5.25 USD,$5.03 USD
Souvenir USP-S,Check Engine (Field-Tested),$5.29 USD,$5.06 USD
Dual Berettas,Twin Turbo (Field-Tested),$5.49 USD,$5.26 USD
Souvenir USP-S,Check Engine (Well-Worn),$5.93 USD,$5.68 USD
Souvenir M4A4,Converter (Field-Tested),$6.28 USD,$6.01 USD
Souvenir P250,Vino Primo (Battle-Scarred),$6.50 USD,$6.22 USD
P250,Vino Primo (Battle-Scarred),$7.06 USD,$6.76 USD
Souvenir Glock-18,High Beam (Minimal Wear),$7.14 USD,$6.83 USD
Souvenir P250,Vino Primo (Well-Worn),$7.21 USD,$6.90 USD
Souvenir R8 Revolver,Nitro (Factory New),$7.42 USD,$7.10 USD
Souvenir SSG 08,Hand Brake (Minimal Wear),$7.61 USD,$7.28 USD
Souvenir MAC-10,Calf Skin (Factory New),$7.76 USD,$7.43 USD
Souvenir Dual Berettas,Twin Turbo (Battle-Scarred),$8.01 USD,$7.67 USD
Dual Berettas,Twin Turbo (Minimal Wear),$8.01 USD,$7.67 USD
P250,Vino Primo (Well-Worn),$8.41 USD,$8.05 USD
Souvenir P250,Vino Primo (Field-Tested),$8.60 USD,$8.23 USD
AK-47,Safety Net (Battle-Scarred),$8.90 USD,$8.52 USD
Souvenir MP7,Fade (Field-Tested),$9.95 USD,$9.52 USD
Souvenir USP-S,Check Engine (Minimal Wear),$10.03 USD,$9.60 USD
Souvenir M4A4,Converter (Well-Worn),$11.08 USD,$10.60 USD
P250,Vino Primo (Field-Tested),$11.15 USD,$10.67 USD
Souvenir M4A4,Converter (Minimal Wear),$11.31 USD,$10.82 USD
AK-47,Safety Net (Well-Worn),$11.65 USD,$11.15 USD
AK-47,Safety Net (Field-Tested),$11.98 USD,$11.46 USD
MP7,Fade (Field-Tested),$12.30 USD,$11.77 USD
Dual Berettas,Twin Turbo (Factory New),$12.91 USD,$12.35 USD
MP7,Fade (Minimal Wear),$14.76 USD,$14.12 USD
Souvenir Dual Berettas,Twin Turbo (Well-Worn),$14.80 USD,$14.16 USD
Souvenir P250,Vino Primo (Minimal Wear),$15.14 USD,$14.49 USD
P250,Vino Primo (Minimal Wear),$15.46 USD,$14.79 USD
AK-47,Safety Net (Minimal Wear),$15.53 USD,$14.86 USD
Souvenir M4A4,Converter (Factory New),$16.92 USD,$16.19 USD
Souvenir AK-47,Safety Net (Battle-Scarred),$17.79 USD,$17.02 USD
MP7,Fade (Factory New),$18.51 USD,$17.71 USD
Souvenir AK-47,Safety Net (Field-Tested),$19.10 USD,$18.27 USD
Souvenir Dual Berettas,Twin Turbo (Field-Tested),$19.10 USD,$18.27 USD
AK-47,Safety Net (Factory New),$19.10 USD,$18.27 USD
Souvenir MP7,Fade (Minimal Wear),$19.18 USD,$18.35 USD
Souvenir SSG 08,Hand Brake (Factory New),$19.78 USD,$18.92 USD
P250,Vino Primo (Factory New),$19.96 USD,$19.10 USD
Souvenir AK-47,Safety Net (Well-Worn),$21.40 USD,$20.47 USD
Souvenir USP-S,Check Engine (Factory New),$23.92 USD,$22.88 USD
Souvenir AK-47,Safety Net (Minimal Wear),$28.89 USD,$27.64 USD
Souvenir MP7,Fade (Factory New),$37.73 USD,$36.09 USD
SG 553,Integrale (Battle-Scarred),$40.25 USD,$38.50 USD
Souvenir AK-47,Safety Net (Factory New),$44.76 USD,$42.82 USD
Souvenir Dual Berettas,Twin Turbo (Minimal Wear),$48.92 USD,$46.80 USD
Souvenir P250,Vino Primo (Factory New),$60.92 USD,$58.28 USD
SG 553,Integrale (Well-Worn),$63.75 USD,$60.98 USD
Souvenir SG 553,Integrale (Well-Worn),$105.00 USD,$100.44 USD
SG 553,Integrale (Field-Tested),$125.74 USD,$120.28 USD
SG 553,Integrale (Minimal Wear),$199.99 USD,$191.30 USD
Souvenir SG 553,Integrale (Battle-Scarred),$240.77 USD,$230.31 USD
Souvenir SG 553,Integrale (Field-Tested),$254.89 USD,$243.81 USD
SG 553,Integrale (Factory New),$313.81 USD,$300.17 USD
Souvenir SG 553,Integrale (Minimal Wear),$715.60 USD,$684.49 USD
