Name,Rarity,Price,Price x 10,Max Avg. Float input
Factory New_AK-47-Asiimov,Covert,731.21,7312.1,0.030769230769230778
Minimal Wear_AK-47-Asiimov,Covert,106.82,1068.1999999999998,0.15384615384615385
Field-Tested_AK-47-Asiimov,Covert,64.92,649.2,0.5076923076923078
Well-Worn_AK-47-Asiimov,Covert,68.91,689.0999999999999,0.6153846153846155
Battle-Scarred_AK-47-Asiimov,Covert,53.56,535.6,1.4615384615384617
Factory New_AWP-Neo-Noir,Covert,112.47,1124.7,0.14
Minimal Wear_AWP-Neo-Noir,Covert,84.15,841.5,0.3
Field-Tested_AWP-Neo-Noir,Covert,62.7,627.0,0.76
Well-Worn_AWP-Neo-Noir,Covert,52.83,528.3,0.9
Battle-Scarred_AWP-Neo-Noir,Covert,48.18,481.8,2.0
Factory New_Desert-Eagle-Mecha-Industries,Classified,30.82,308.2,0.11666666666666668
Minimal Wear_Desert-Eagle-Mecha-Industries,Classified,19.28,192.8,0.25
Field-Tested_Desert-Eagle-Mecha-Industries,Classified,11.01,110.1,0.6333333333333334
Well-Worn_Desert-Eagle-Mecha-Industries,Classified,16.99,169.89999999999998,0.75
Battle-Scarred_Desert-Eagle-Mecha-Industries,Classified,10.67,106.7,1.6666666666666667
Factory New_MP5-SD-Phosphor,Classified,24.93,249.3,0.08750000000000001
Minimal Wear_MP5-SD-Phosphor,Classified,11.41,114.1,0.18749999999999997
Field-Tested_MP5-SD-Phosphor,Classified,6.91,69.1,0.475
Well-Worn_MP5-SD-Phosphor,Classified,6.94,69.4,0.5625
Battle-Scarred_MP5-SD-Phosphor,Classified,6.62,66.2,1.25
Factory New_UMP-45-Momentum,Classified,23.43,234.3,0.14
Minimal Wear_UMP-45-Momentum,Classified,13.44,134.4,0.3
Field-Tested_UMP-45-Momentum,Classified,6.49,64.9,0.76
Well-Worn_UMP-45-Momentum,Classified,7.14,71.39999999999999,0.9
Battle-Scarred_UMP-45-Momentum,Classified,7.18,71.8,2.0
Factory New_USP-S-Flashback,Restricted,4.73,47.300000000000004,0.14
Minimal Wear_USP-S-Flashback,Restricted,3.79,37.9,0.3
Field-Tested_USP-S-Flashback,Restricted,3.04,30.4,0.76
Well-Worn_USP-S-Flashback,Restricted,3.57,35.699999999999996,0.9
Battle-Scarred_USP-S-Flashback,Restricted,3.93,39.300000000000004,2.0
Factory New_P250-Nevermore,Restricted,3.19,31.9,0.17500000000000002
Minimal Wear_P250-Nevermore,Restricted,1.87,18.700000000000003,0.37499999999999994
Field-Tested_P250-Nevermore,Restricted,1.27,12.7,0.95
Well-Worn_P250-Nevermore,Restricted,1.64,16.4,1.125
Factory New_Galil-AR-Signal,Restricted,2.93,29.3,0.14
Minimal Wear_Galil-AR-Signal,Restricted,2.1,21.0,0.3
Field-Tested_Galil-AR-Signal,Restricted,1.12,11.200000000000001,0.76
Well-Worn_Galil-AR-Signal,Restricted,1.3,13.0,0.9
Battle-Scarred_Galil-AR-Signal,Restricted,1.1,11.0,2.0
Factory New_MAC-10-Pipe-Down,Restricted,4.28,42.800000000000004,0.07777777777777778
Minimal Wear_MAC-10-Pipe-Down,Restricted,2.04,20.4,0.16666666666666666
Field-Tested_MAC-10-Pipe-Down,Restricted,1.01,10.1,0.4222222222222222
Well-Worn_MAC-10-Pipe-Down,Restricted,0.81,8.100000000000001,0.5
