Name,Rarity,Price,Price x 10,Max Avg. Float input
Factory New_M4A1-S-Mecha-Industries,Covert,128.95,1289.5,0.08750000000000001
Minimal Wear_M4A1-S-Mecha-Industries,Covert,58.22,582.2,0.18749999999999997
Field-Tested_M4A1-S-Mecha-Industries,Covert,25.08,250.79999999999998,0.475
Well-Worn_M4A1-S-Mecha-Industries,Covert,30.8,308.0,0.5625
Battle-Scarred_M4A1-S-Mecha-Industries,Covert,22.73,227.3,1.25
Factory New_Glock-18-Wasteland-Rebel,Covert,51.91,519.0999999999999,0.12962962962962962
Minimal Wear_Glock-18-Wasteland-Rebel,Covert,39.15,391.5,0.27777777777777773
Field-Tested_Glock-18-Wasteland-Rebel,Covert,23.68,236.8,0.7037037037037037
Well-Worn_Glock-18-Wasteland-Rebel,Covert,28.16,281.6,0.8333333333333333
Battle-Scarred_Glock-18-Wasteland-Rebel,Covert,24.41,244.1,1.8518518518518516
Factory New_M4A4-Desolate-Space,Classified,92.02,920.1999999999999,0.07
Minimal Wear_M4A4-Desolate-Space,Classified,41.96,419.6,0.15
Field-Tested_M4A4-Desolate-Space,Classified,29.3,293.0,0.38
Well-Worn_M4A4-Desolate-Space,Classified,21.98,219.8,0.45
Battle-Scarred_M4A4-Desolate-Space,Classified,19.71,197.10000000000002,1.0
Factory New_SCAR-20-Bloodsport,Classified,13.9,139.0,0.15555555555555556
Minimal Wear_SCAR-20-Bloodsport,Classified,5.99,59.900000000000006,0.3333333333333333
Field-Tested_SCAR-20-Bloodsport,Classified,3.86,38.6,0.8444444444444444
Well-Worn_SCAR-20-Bloodsport,Classified,4.51,45.099999999999994,1.0
Battle-Scarred_SCAR-20-Bloodsport,Classified,4.3,43.0,2.2222222222222223
Factory New_P2000-Imperial-Dragon,Classified,14.41,144.1,0.11111111111111112
Minimal Wear_P2000-Imperial-Dragon,Classified,6.67,66.7,0.23809523809523808
Field-Tested_P2000-Imperial-Dragon,Classified,4.45,44.5,0.6031746031746031
Well-Worn_P2000-Imperial-Dragon,Classified,4.87,48.7,0.7142857142857143
Battle-Scarred_P2000-Imperial-Dragon,Classified,5.18,51.8,1.5873015873015872
Factory New_AWP-Phobos,Restricted,7.86,78.60000000000001,0.17500000000000002
Minimal Wear_AWP-Phobos,Restricted,5.11,51.1,0.37499999999999994
Field-Tested_AWP-Phobos,Restricted,5.21,52.1,0.95
Well-Worn_AWP-Phobos,Restricted,7.97,79.7,1.125
Factory New_R8-Revolver-Reboot,Restricted,12.66,126.6,0.07
Minimal Wear_R8-Revolver-Reboot,Restricted,3.09,30.9,0.15
Field-Tested_R8-Revolver-Reboot,Restricted,1.66,16.599999999999998,0.38
Well-Worn_R8-Revolver-Reboot,Restricted,1.12,11.200000000000001,0.45
Battle-Scarred_R8-Revolver-Reboot,Restricted,1.06,10.600000000000001,1.0
Factory New_P90-Chopper,Restricted,4.96,49.6,0.11666666666666668
Minimal Wear_P90-Chopper,Restricted,3.19,31.9,0.25
Field-Tested_P90-Chopper,Restricted,1.79,17.9,0.6333333333333334
Well-Worn_P90-Chopper,Restricted,2.28,22.799999999999997,0.75
Battle-Scarred_P90-Chopper,Restricted,1.78,17.8,1.6666666666666667
Factory New_AUG-Aristocrat,Restricted,6.3,63.0,0.10606060606060606
Minimal Wear_AUG-Aristocrat,Restricted,3.27,32.7,0.22727272727272727
Field-Tested_AUG-Aristocrat,Restricted,1.7,17.0,0.5757575757575757
Well-Worn_AUG-Aristocrat,Restricted,2.44,24.4,0.6818181818181818
Battle-Scarred_AUG-Aristocrat,Restricted,1.77,17.7,1.5151515151515151
Factory New_Sawed-Off-Limelight,Restricted,5.37,53.7,0.07
Minimal Wear_Sawed-Off-Limelight,Restricted,2.21,22.1,0.15
Field-Tested_Sawed-Off-Limelight,Restricted,1.41,14.1,0.38
Well-Worn_Sawed-Off-Limelight,Restricted,1.06,10.600000000000001,0.45
Battle-Scarred_Sawed-Off-Limelight,Restricted,1.05,10.5,1.0
Factory New_SG-553-Aerial,Mil-Spec,4.37,43.7,0.11666666666666668
Minimal Wear_SG-553-Aerial,Mil-Spec,2.45,24.5,0.25
Field-Tested_SG-553-Aerial,Mil-Spec,0.97,9.7,0.6333333333333334
Well-Worn_SG-553-Aerial,Mil-Spec,1.82,18.2,0.75
Battle-Scarred_SG-553-Aerial,Mil-Spec,1.01,10.1,1.6666666666666667
Factory New_Five-SeveN-Violent-Daimyo,Mil-Spec,2.46,24.6,0.10000000000000002
Minimal Wear_Five-SeveN-Violent-Daimyo,Mil-Spec,1.02,10.2,0.2142857142857143
Field-Tested_Five-SeveN-Violent-Daimyo,Mil-Spec,0.47,4.699999999999999,0.5428571428571429
Well-Worn_Five-SeveN-Violent-Daimyo,Mil-Spec,1.01,10.1,0.6428571428571429
Battle-Scarred_Five-SeveN-Violent-Daimyo,Mil-Spec,0.45,4.5,1.4285714285714286
Factory New_MAC-10-Carnivore,Mil-Spec,1.39,13.899999999999999,0.07
Minimal Wear_MAC-10-Carnivore,Mil-Spec,0.56,5.6000000000000005,0.15
Field-Tested_MAC-10-Carnivore,Mil-Spec,0.26,2.6,0.38
Well-Worn_MAC-10-Carnivore,Mil-Spec,0.22,2.2,0.45
Battle-Scarred_MAC-10-Carnivore,Mil-Spec,0.22,2.2,1.0
Factory New_P250-Iron-Clad,Mil-Spec,1.5,15.0,0.026666666666666672
Minimal Wear_P250-Iron-Clad,Mil-Spec,0.45,4.5,0.13333333333333333
Field-Tested_P250-Iron-Clad,Mil-Spec,0.27,2.7,0.44
Well-Worn_P250-Iron-Clad,Mil-Spec,0.39,3.9000000000000004,0.5333333333333333
Battle-Scarred_P250-Iron-Clad,Mil-Spec,0.27,2.7,1.2666666666666666
Factory New_Tec-9-Ice-Cap,Mil-Spec,0.75,7.5,0.14
Minimal Wear_Tec-9-Ice-Cap,Mil-Spec,0.5,5.0,0.3
Field-Tested_Tec-9-Ice-Cap,Mil-Spec,0.25,2.5,0.76
Well-Worn_Tec-9-Ice-Cap,Mil-Spec,0.3,3.0,0.9
Battle-Scarred_Tec-9-Ice-Cap,Mil-Spec,0.37,3.7,2.0
Factory New_Nova-Exo,Mil-Spec,0.7,7.0,0.14
Minimal Wear_Nova-Exo,Mil-Spec,0.43,4.3,0.3
