Name,Rarity,Price,Price x 10,Max Avg. Float input
Factory New_AWP-Oni-Taiji,Covert,354.49,3544.9,0.14
Minimal Wear_AWP-Oni-Taiji,Covert,216.99,2169.9,0.3
Field-Tested_AWP-Oni-Taiji,Covert,138.5,1385.0,0.76
Well-Worn_AWP-Oni-Taiji,Covert,113.28,1132.8,0.9
Battle-Scarred_AWP-Oni-Taiji,Covert,89.57,895.6999999999999,2.0
Factory New_Five-SeveN-Hyper-Beast,Covert,261.01,2610.1,0.07
Minimal Wear_Five-SeveN-Hyper-Beast,Covert,89.59,895.9000000000001,0.15
Field-Tested_Five-SeveN-Hyper-Beast,Covert,43.12,431.2,0.38
Well-Worn_Five-SeveN-Hyper-Beast,Covert,35.72,357.2,0.45
Battle-Scarred_Five-SeveN-Hyper-Beast,Covert,22.7,227.0,1.0
Factory New_M4A4-Hellfire,Classified,104.06,1040.6,0.14
Minimal Wear_M4A4-Hellfire,Classified,66.35,663.5,0.3
Field-Tested_M4A4-Hellfire,Classified,32.97,329.7,0.76
Well-Worn_M4A4-Hellfire,Classified,35.82,358.2,0.9
Battle-Scarred_M4A4-Hellfire,Classified,37.12,371.2,2.0
Factory New_Galil-AR-Sugar-Rush,Classified,71.58,715.8,0.1272727272727273
Minimal Wear_Galil-AR-Sugar-Rush,Classified,38.01,380.09999999999997,0.2727272727272727
Field-Tested_Galil-AR-Sugar-Rush,Classified,22.39,223.9,0.6909090909090908
Well-Worn_Galil-AR-Sugar-Rush,Classified,20.59,205.9,0.8181818181818181
Battle-Scarred_Galil-AR-Sugar-Rush,Classified,16.12,161.20000000000002,1.8181818181818181
Factory New_Dual-Berettas-Cobra-Strike,Classified,40.62,406.2,0.11666666666666668
Minimal Wear_Dual-Berettas-Cobra-Strike,Classified,26.12,261.2,0.25
Field-Tested_Dual-Berettas-Cobra-Strike,Classified,13.82,138.2,0.6333333333333334
Well-Worn_Dual-Berettas-Cobra-Strike,Classified,13.38,133.8,0.75
Battle-Scarred_Dual-Berettas-Cobra-Strike,Classified,14.1,141.0,1.6666666666666667
Factory New_AK-47-Orbit-Mk01,Restricted,37.42,374.20000000000005,0.1272727272727273
Minimal Wear_AK-47-Orbit-Mk01,Restricted,27.46,274.6,0.2727272727272727
Field-Tested_AK-47-Orbit-Mk01,Restricted,20.32,203.2,0.6909090909090908
Well-Worn_AK-47-Orbit-Mk01,Restricted,28.3,283.0,0.8181818181818181
Battle-Scarred_AK-47-Orbit-Mk01,Restricted,22.79,227.89999999999998,1.8181818181818181
Factory New_P90-Death-Grip,Restricted,21.5,215.0,0.07
Minimal Wear_P90-Death-Grip,Restricted,8.23,82.30000000000001,0.15
Field-Tested_P90-Death-Grip,Restricted,4.28,42.800000000000004,0.38
Well-Worn_P90-Death-Grip,Restricted,2.72,27.200000000000003,0.45
Battle-Scarred_P90-Death-Grip,Restricted,5.11,51.1,1.0
Factory New_SSG-08-Deaths-Head,Restricted,11.36,113.6,0.13725490196078433
Minimal Wear_SSG-08-Deaths-Head,Restricted,7.18,71.8,0.29411764705882354
Field-Tested_SSG-08-Deaths-Head,Restricted,4.39,43.9,0.7450980392156863
Well-Worn_SSG-08-Deaths-Head,Restricted,5.14,51.4,0.8823529411764706
Battle-Scarred_SSG-08-Deaths-Head,Restricted,4.64,46.4,1.9607843137254901
Factory New_P250-Red-Rock,Restricted,9.93,99.3,0.07
Minimal Wear_P250-Red-Rock,Restricted,7.7,77.0,0.15
Field-Tested_P250-Red-Rock,Restricted,3.75,37.5,0.38
Well-Worn_P250-Red-Rock,Restricted,2.15,21.5,0.45
Battle-Scarred_P250-Red-Rock,Restricted,2.3,23.0,1.0
Factory New_P2000-Woodsman,Restricted,11.0,110.0,0.08750000000000001
Minimal Wear_P2000-Woodsman,Restricted,8.04,80.39999999999999,0.18749999999999997
Field-Tested_P2000-Woodsman,Restricted,3.91,39.1,0.475
Well-Worn_P2000-Woodsman,Restricted,3.15,31.5,0.5625
Battle-Scarred_P2000-Woodsman,Restricted,2.67,26.7,1.25
Factory New_USP-S-Blueprint,Mil-Spec,71.09,710.9000000000001,0.08139534883720931
Minimal Wear_USP-S-Blueprint,Mil-Spec,17.32,173.2,0.1744186046511628
Field-Tested_USP-S-Blueprint,Mil-Spec,8.95,89.5,0.4418604651162791
Well-Worn_USP-S-Blueprint,Mil-Spec,8.75,87.5,0.5232558139534884
Battle-Scarred_USP-S-Blueprint,Mil-Spec,5.73,57.300000000000004,1.1627906976744187
Factory New_M4A1-S-Briefing,Mil-Spec,15.2,152.0,0.08750000000000001
Minimal Wear_M4A1-S-Briefing,Mil-Spec,5.87,58.7,0.18749999999999997
Field-Tested_M4A1-S-Briefing,Mil-Spec,3.75,37.5,0.475
Well-Worn_M4A1-S-Briefing,Mil-Spec,5.18,51.8,0.5625
Battle-Scarred_M4A1-S-Briefing,Mil-Spec,3.81,38.1,1.25
Factory New_MAG-7-Hard-Water,Mil-Spec,3.79,37.9,0.15555555555555556
Minimal Wear_MAG-7-Hard-Water,Mil-Spec,1.96,19.6,0.3333333333333333
Field-Tested_MAG-7-Hard-Water,Mil-Spec,1.09,10.9,0.8444444444444444
Well-Worn_MAG-7-Hard-Water,Mil-Spec,1.1,11.0,1.0
Battle-Scarred_MAG-7-Hard-Water,Mil-Spec,0.88,8.8,2.2222222222222223
Factory New_MAC-10-Aloha,Mil-Spec,2.6,26.0,0.1076923076923077
Minimal Wear_MAC-10-Aloha,Mil-Spec,1.82,18.2,0.23076923076923075
Field-Tested_MAC-10-Aloha,Mil-Spec,1.03,10.3,0.5846153846153846
Well-Worn_MAC-10-Aloha,Mil-Spec,2.08,20.8,0.6923076923076923
Battle-Scarred_MAC-10-Aloha,Mil-Spec,1.36,13.600000000000001,1.5384615384615383
Factory New_Tec-9-Cut-Out,Mil-Spec,3.82,38.199999999999996,0.07
Minimal Wear_Tec-9-Cut-Out,Mil-Spec,1.64,16.4,0.15
Field-Tested_Tec-9-Cut-Out,Mil-Spec,1.12,11.200000000000001,0.38
Well-Worn_Tec-9-Cut-Out,Mil-Spec,1.0,10.0,0.45
Battle-Scarred_Tec-9-Cut-Out,Mil-Spec,1.05,10.5,1.0
Factory New_FAMAS-Macabre,Mil-Spec,2.6,26.0,0.11666666666666668
Minimal Wear_FAMAS-Macabre,Mil-Spec,1.79,17.9,0.25
Field-Tested_FAMAS-Macabre,Mil-Spec,1.14,11.399999999999999,0.6333333333333334
Well-Worn_FAMAS-Macabre,Mil-Spec,1.06,10.600000000000001,0.75
Battle-Scarred_FAMAS-Macabre,Mil-Spec,1.11,11.100000000000001,1.6666666666666667
Factory New_UMP-45-Metal-Flowers,Mil-Spec,2.38,23.799999999999997,0.10000000000000002
Minimal Wear_UMP-45-Metal-Flowers,Mil-Spec,1.55,15.5,0.2142857142857143
Field-Tested_UMP-45-Metal-Flowers,Mil-Spec,0.99,9.9,0.5428571428571429
Well-Worn_UMP-45-Metal-Flowers,Mil-Spec,1.09,10.9,0.6428571428571429
Battle-Scarred_UMP-45-Metal-Flowers,Mil-Spec,1.01,10.1,1.4285714285714286
