Product,Volume,Normal Price,Sale Price
Chroma 3 Case,1050961,$0.03 USD,$0.02 USD
Gamma 2 Case,759741,$0.03 USD,$0.02 USD
Horizon Case,1246273,$0.03 USD,$0.02 USD
Spectrum 2 Case,2022875,$0.03 USD,$0.02 USD
Chroma 2 Case,520704,$0.04 USD,$0.03 USD
Clutch Case,939202,$0.04 USD,$0.03 USD
Gamma Case,361064,$0.04 USD,$0.03 USD
Prisma Case,319826,$0.04 USD,$0.03 USD
Revolver Case,231694,$0.04 USD,$0.03 USD
Danger Zone Case,380592,$0.05 USD,$0.04 USD
Spectrum Case,545399,$0.05 USD,$0.04 USD
Shadow Case,181820,$0.06 USD,$0.05 USD
Glove Case,535371,$0.08 USD,$0.07 USD
Operation Wildfire Case,194268,$0.09 USD,$0.08 USD
Falchion Case,162661,$0.10 USD,$0.09 USD
CS20 Case,149557,$0.23 USD,$0.22 USD
Operation Vanguard Weapon Case,33247,$0.23 USD,$0.22 USD
Chroma Case,28217,$0.25 USD,$0.24 USD
Operation Phoenix Weapon Case,126458,$0.29 USD,$0.28 USD
Operation Breakout Weapon Case,228188,$0.31 USD,$0.30 USD
Shattered Web Case,32250,$0.74 USD,$0.71 USD
eSports 2013 Winter Case,9757,$0.92 USD,$0.88 USD
eSports 2014 Summer Case,7608,$1.23 USD,$1.18 USD
Huntsman Weapon Case,7107,$1.70 USD,$1.63 USD
eSports 2013 Case,451,$15.38 USD,$14.72 USD
CS:GO Weapon Case,351,$15.57 USD,$14.90 USD
Operation Hydra Case Key,2386,$2.23 USD,$2.14 USD
Winter Offensive Weapon Case,2393,$2.24 USD,$2.15 USD
Operation Bravo Case,667,$20.05 USD,$19.18 USD
Operation Vanguard Case Key,186,$3.47 USD,$3.32 USD
Horizon Case Key,431,$3.49 USD,$3.34 USD
Winter Offensive Case Key,142,$3.49 USD,$3.34 USD
Prisma Case Key,1555,$3.51 USD,$3.36 USD
Chroma Case Key,523,$3.53 USD,$3.38 USD
Revolver Case Key,454,$3.57 USD,$3.42 USD
Chroma 3 Case Key,299,$3.58 USD,$3.43 USD
Gamma 2 Case Key,347,$3.62 USD,$3.47 USD
Spectrum Case Key,629,$3.69 USD,$3.53 USD
CS:GO Case Key,393,$3.75 USD,$3.59 USD
Danger Zone Case Key,205,$3.75 USD,$3.59 USD
Operation Wildfire Case Key,157,$3.75 USD,$3.59 USD
Huntsman Case Key,175,$3.79 USD,$3.63 USD
Chroma 2 Case Key,213,$3.85 USD,$3.69 USD
Spectrum 2 Case Key,375,$3.86 USD,$3.70 USD
Clutch Case Key,649,$3.87 USD,$3.71 USD
Falchion Case Key,170,$3.87 USD,$3.71 USD
Gamma Case Key,83,$3.87 USD,$3.71 USD
Shadow Case Key,97,$3.98 USD,$3.81 USD
Glove Case Key,439,$4.00 USD,$3.83 USD
CS20 Case Key,707,$4.11 USD,$3.94 USD
Operation Phoenix Case Key,203,$4.28 USD,$4.10 USD
Operation Breakout Case Key,163,$4.50 USD,$4.31 USD
Operation Hydra Case,2228,$4.63 USD,$4.43 USD
